# energy,pi0_pi0_pi0,pi_pi_pi0,pi_e_nu,pi_mu_nu,pi_pi,pi0_pi0
3.180542436808564e-03,0.000000000000000e+00,1.541726437308942e+00,5.701035085386470e+00,3.410979019409869e+00,2.707347004967926e-02,0.000000000000000e+00
3.269830516540655e-03,0.000000000000000e+00,1.499622835176806e+00,5.545350214875690e+00,3.317828210635165e+00,2.633412646691224e-02,0.000000000000000e+00
3.361625200520496e-03,0.000000000000000e+00,1.458668940905114e+00,5.393916574870692e+00,3.227221037359078e+00,2.561497187236185e-02,0.000000000000000e+00
3.455996857210184e-03,0.000000000000000e+00,1.418833359837533e+00,5.246618078558008e+00,3.139088041447852e+00,2.491545497263461e-02,0.000000000000000e+00
3.553017830541410e-03,0.000000000000000e+00,1.380085554600271e+00,5.103341809064822e+00,3.053361661435894e+00,2.423503952830670e-02,0.000000000000000e+00
3.652762495373256e-03,0.000000000000000e+00,1.342395821692577e+00,4.963977932898566e+00,2.969976180734161e+00,2.357320394285059e-02,0.000000000000000e+00
3.755307314506861e-03,0.000000000000000e+00,1.305735268716474e+00,4.828419615750189e+00,2.888867677252792e+00,2.292944086278680e-02,0.000000000000000e+00
3.860730897300696e-03,0.000000000000000e+00,1.270075792228269e+00,4.696562940596511e+00,2.809973974399353e+00,2.230325678875422e-02,0.000000000000000e+00
3.969114059931353e-03,0.000000000000000e+00,1.235390056194857e+00,4.568306828038959e+00,2.733234593415176e+00,2.169417169720054e-02,0.000000000000000e+00
4.080539887346043e-03,0.000000000000000e+00,1.201651471038327e+00,4.443552958817583e+00,2.658590707013221e+00,2.110171867240334e-02,0.000000000000000e+00
4.195093796954284e-03,0.000000000000000e+00,1.168834173252775e+00,4.322205698440957e+00,2.585985094281959e+00,2.052544354853939e-02,0.000000000000000e+00
4.312863604107655e-03,0.000000000000000e+00,1.136913005577724e+00,4.204172023874165e+00,2.515362096820636e+00,1.996490456152760e-02,0.000000000000000e+00
4.433939589417758e-03,0.000000000000000e+00,1.105863497712928e+00,4.089361452228704e+00,2.446667576072366e+00,1.941967201037926e-02,0.000000000000000e+00
4.558414567964020e-03,0.000000000000000e+00,1.075661847559802e+00,3.977685971399623e+00,2.379848871822300e+00,1.888932792779549e-02,0.000000000000000e+00
4.686383960444349e-03,0.000000000000000e+00,1.046284902975086e+00,3.869059972596749e+00,2.314854761829090e+00,1.837346575975969e-02,0.000000000000000e+00
4.817945866323282e-03,0.000000000000000e+00,1.017710144022741e+00,3.763400184718213e+00,2.251635422558648e+00,1.787169005387908e-02,0.000000000000000e+00
4.953201139033565e-03,0.000000000000000e+00,9.899156657105063e-01,3.660625610516070e+00,2.190142390990170e+00,1.738361615623678e-02,0.000000000000000e+00
5.092253463288949e-03,0.000000000000000e+00,9.628801611978416e-01,3.560657464504963e+00,2.130328527465083e+00,1.690886991652166e-02,0.000000000000000e+00
5.235209434567361e-03,0.000000000000000e+00,9.365829054624216e-01,3.463419112566344e+00,2.072147979550474e+00,1.644708740121022e-02,0.000000000000000e+00
5.382178640825431e-03,0.000000000000000e+00,9.110037394126381e-01,3.368836013201878e+00,2.015556146889292e+00,1.599791461458049e-02,0.000000000000000e+00
5.533273746507022e-03,0.000000000000000e+00,8.861230544339315e-01,3.276835660391015e+00,1.960509647010360e+00,1.556100722734410e-02,0.000000000000000e+00
5.688610578910160e-03,0.000000000000000e+00,8.619217773571139e-01,3.187347528008932e+00,1.906966282072008e+00,1.513603031268839e-02,0.000000000000000e+00
5.848308216978537e-03,0.000000000000000e+00,8.383813558371573e-01,3.100303015762240e+00,1.854885006513824e+00,1.472265808952648e-02,0.000000000000000e+00
6.012489082585667e-03,0.000000000000000e+00,8.154837441312391e-01,3.015635396601011e+00,1.804225895591733e+00,1.432057367275832e-02,0.000000000000000e+00
6.181279034381724e-03,0.000000000000000e+00,7.932113892651390e-01,2.933279765566791e+00,1.754950114772270e+00,1.392946883035111e-02,0.000000000000000e+00
6.354807464274954e-03,0.000000000000000e+00,7.715472175773818e-01,2.853172990037402e+00,1.707019889962588e+00,1.354904374705313e-02,0.000000000000000e+00
6.533207396621601e-03,0.000000000000000e+00,7.504746216308213e-01,2.775253661330400e+00,1.660398478553398e+00,1.317900679455980e-02,0.000000000000000e+00
6.716615590200428e-03,0.000000000000000e+00,7.299774474816247e-01,2.699462047628091e+00,1.615050141252622e+00,1.281907430795569e-02,0.000000000000000e+00
6.905172643050000e-03,0.000000000000000e+00,7.100399822958918e-01,2.625740048187979e+00,1.570940114688174e+00,1.246897036826113e-02,0.000000000000000e+00
7.099023100249106e-03,0.000000000000000e+00,6.906469423044249e-01,2.554031148803585e+00,1.528034584758864e+00,1.212842659091672e-02,0.000000000000000e+00
7.298315564722886e-03,0.000000000000000e+00,6.717834610864183e-01,2.484280378481489e+00,1.486300660713002e+00,1.179718192004369e-02,0.000000000000000e+00
7.503202811159643e-03,0.000000000000000e+00,6.534350781730771e-01,2.416434267301373e+00,1.445706349934836e+00,1.147498242832232e-02,0.000000000000000e+00
7.713841903125701e-03,0.000000000000000e+00,6.355877279624338e-01,2.350440805426762e+00,1.406220533419479e+00,1.116158112233489e-02,0.000000000000000e+00
7.930394313468052e-03,0.000000000000000e+00,6.182277289368590e-01,2.286249403235031e+00,1.367812941917524e+00,1.085673775322418e-02,0.000000000000000e+00
8.153026048097058e-03,0.000000000000000e+00,6.013417731750156e-01,2.223810852536156e+00,1.330454132731095e+00,1.056021863252221e-02,0.000000000000000e+00
8.381907773244166e-03,0.000000000000000e+00,5.849169161501983e-01,2.163077288850427e+00,1.294115467143494e+00,1.027179645300807e-02,0.000000000000000e+00
8.617214946292123e-03,0.000000000000000e+00,5.689405668072497e-01,2.104002154716243e+00,1.258769088465190e+00,9.991250114457536e-03,0.000000000000000e+00
8.859127950278056e-03,0.000000000000000e+00,5.534004779104417e-01,2.046540163999839e+00,1.224387900679281e+00,9.718364554150882e-03,0.000000000000000e+00
9.107832232172481e-03,0.000000000000000e+00,5.382847366549224e-01,1.990647267179598e+00,1.190945547670084e+00,9.452930582008912e-03,0.000000000000000e+00
9.363518445040232e-03,0.000000000000000e+00,5.235817555345335e-01,1.936280617578333e+00,1.158416393018924e+00,9.194744720230932e-03,0.000000000000000e+00
9.626382594192287e-03,0.000000000000000e+00,5.092802634590019e-01,1.883398538517652e+00,1.126775500351630e+00,8.943609047311646e-03,0.000000000000000e+00
9.896626187440588e-03,0.000000000000000e+00,4.953692971136826e-01,1.831960491369228e+00,1.095998614222681e+00,8.699331046317413e-03,0.000000000000000e+00
1.017445638957101e-02,0.000000000000000e+00,4.818381925552423e-01,1.781927044478472e+00,1.066062141521321e+00,8.461723457305573e-03,0.000000000000000e+00
1.046008618115281e-02,0.000000000000000e+00,4.686765770368387e-01,1.733259842936810e+00,1.036943133385443e+00,8.230604133773738e-03,0.000000000000000e+00
1.075373452180646e-02,0.000000000000000e+00,4.558743610565226e-01,1.685921579179370e+00,1.008619267609316e+00,8.005795903028922e-03,0.000000000000000e+00
1.105562651805483e-02,0.000000000000000e+00,4.434217306227738e-01,1.639875964385547e+00,9.810688315317114e-01,7.787126430369575e-03,0.000000000000000e+00
1.136599359588663e-02,0.000000000000000e+00,4.313091397312394e-01,1.595087700660523e+00,9.542707053912952e-01,7.574428086976291e-03,0.000000000000000e+00
1.168507367816414e-02,0.000000000000000e+00,4.195273030469050e-01,1.551522453976420e+00,9.282043461365278e-01,7.367537821410028e-03,0.000000000000000e+00
1.201311136701140e-02,0.000000000000000e+00,4.080671887860947e-01,1.509146827852335e+00,9.028497716776599e-01,7.166297034619250e-03,0.000000000000000e+00
1.235035813132262e-02,0.000000000000000e+00,3.969200117928353e-01,1.467928337753084e+00,8.781875455687561e-01,6.970551458360215e-03,0.000000000000000e+00
1.269707249953458e-02,0.000000000000000e+00,3.860772268042869e-01,1.427835386187038e+00,8.541987621079991e-01,6.780151036937196e-03,0.000000000000000e+00
1.305352025781074e-02,0.000000000000000e+00,3.755305219000674e-01,1.388837238483941e+00,8.308650318448552e-01,6.594949812171990e-03,0.000000000000000e+00
1.341997465378899e-02,0.000000000000000e+00,3.652718121304570e-01,1.350903999234168e+00,8.081684674829912e-01,6.414805811514488e-03,0.000000000000000e+00
1.379671660604935e-02,0.000000000000000e+00,3.552932333185930e-01,1.314006589371337e+00,7.860916701681323e-01,6.239580939208616e-03,0.000000000000000e+00
1.418403491946199e-02,0.000000000000000e+00,3.455871360319082e-01,1.278116723880722e+00,7.646177161503578e-01,6.069140870430142e-03,0.000000000000000e+00
1.458222650658085e-02,0.000000000000000e+00,3.361460797181867e-01,1.243206890116377e+00,7.437301438106013e-01,5.903354948315236e-03,0.000000000000000e+00
1.499159661525247e-02,0.000000000000000e+00,3.269628270017455e-01,1.209250326710343e+00,7.234129410414122e-01,5.742096083800811e-03,0.000000000000000e+00
1.541245906261450e-02,0.000000000000000e+00,3.180303381353687e-01,1.176221003057773e+00,7.036505329723112e-01,5.585240658199933e-03,0.000000000000000e+00
1.584513647566332e-02,0.000000000000000e+00,3.093417656037400e-01,1.144093599362253e+00,6.844277700303197e-01,5.432668428437517e-03,0.000000000000000e+00
1.628996053857523e-02,0.000000000000000e+00,3.008904488742369e-01,1.112843487226017e+00,6.657299163265210e-01,5.284262434873756e-03,0.000000000000000e+00
1.674727224697061e-02,0.000000000000000e+00,2.926699092910652e-01,1.082446710770174e+00,6.475426383597421e-01,5.139908911644583e-03,0.000000000000000e+00
1.721742216931625e-02,0.000000000000000e+00,2.846738451088149e-01,1.052879968270485e+00,6.298519940287012e-01,4.999497199450397e-03,0.000000000000000e+00
1.770077071566597e-02,0.000000000000000e+00,2.768961266616349e-01,1.024120594294602e+00,6.126444219441974e-01,4.862919660726290e-03,0.000000000000000e+00
1.819768841394568e-02,0.000000000000000e+00,2.693307916643210e-01,9.961465423270751e-01,5.959067310331481e-01,4.730071597128641e-03,0.000000000000000e+00
1.870855619399472e-02,0.000000000000000e+00,2.619720406417149e-01,9.689363678688229e-01,5.796260904265043e-01,4.600851169274912e-03,0.000000000000000e+00
1.923376567958106e-02,0.000000000000000e+00,2.548142324829116e-01,9.424692119980856e-01,5.637900196232951e-01,4.475159318675062e-03,0.000000000000000e+00
1.977371948861435e-02,0.000000000000000e+00,2.478518801168660e-01,9.167247853802868e-01,5.483863789232583e-01,4.352899691794756e-03,0.000000000000000e+00
2.032883154178696e-02,0.000000000000000e+00,2.410796463060848e-01,8.916833527145230e-01,5.334033601207222e-01,4.233978566192153e-03,0.000000000000000e+00
2.089952737987950e-02,0.000000000000000e+00,2.344923395551780e-01,8.673257176047708e-01,5.188294774526097e-01,4.118304778671656e-03,0.000000000000000e+00
2.148624448997416e-02,0.000000000000000e+00,2.280849101311346e-01,8.436332078442124e-01,5.046535587936184e-01,4.005789655399539e-03,0.000000000000000e+00
2.208943264082590e-02,0.000000000000000e+00,2.218524461922713e-01,8.205876611013923e-01,4.908647370918348e-01,3.896346943927884e-03,0.000000000000000e+00
2.270955422764861e-02,0.000000000000000e+00,2.157901700228861e-01,7.981714109972424e-01,4.774524420382095e-01,3.789892747074709e-03,0.000000000000000e+00
2.334708462658057e-02,0.000000000000000e+00,2.098934343707314e-01,7.763672735622910e-01,4.644063919635130e-01,3.686345458609619e-03,0.000000000000000e+00
2.400251255910071e-02,0.000000000000000e+00,2.041577188844989e-01,7.551585340636859e-01,4.517165859565599e-01,3.585625700695668e-03,0.000000000000000e+00
2.467634046667550e-02,0.000000000000000e+00,1.985786266485835e-01,7.345289341919232e-01,4.393732961976545e-01,3.487656263039463e-03,0.000000000000000e+00
2.536908489592312e-02,0.000000000000000e+00,1.931518808124730e-01,7.144626595974660e-01,4.273670605013883e-01,3.392362043702885e-03,0.000000000000000e+00
2.608127689459059e-02,0.000000000000000e+00,1.878733213121763e-01,6.949443277676938e-01,4.156886750630659e-01,3.299669991531037e-03,0.000000000000000e+00
2.681346241864721e-02,0.000000000000000e+00,1.827389016811794e-01,6.759589762348944e-01,4.043291874032032e-01,3.209509050152304e-03,0.000000000000000e+00
2.756620275080639e-02,0.000000000000000e+00,1.777446859484836e-01,6.574920511062544e-01,3.932798895046872e-01,3.121810103507571e-03,0.000000000000000e+00
2.834007493079679e-02,0.000000000000000e+00,1.728868456213475e-01,6.395293959070589e-01,3.825323111373385e-01,3.036505922866869e-03,0.000000000000000e+00
2.913567219771254e-02,0.000000000000000e+00,1.681616567504202e-01,6.220572407285432e-01,3.720782133647549e-01,2.953531115292799e-03,0.000000000000000e+00
2.995360444478164e-02,0.000000000000000e+00,1.635654970750166e-01,6.050621916720835e-01,3.619095822284647e-01,2.872822073511283e-03,0.000000000000000e+00
3.079449868690120e-02,0.000000000000000e+00,1.590948432463447e-01,5.885312205816297e-01,3.520186226045425e-01,2.794316927151141e-03,0.000000000000000e+00
3.165899954129786e-02,0.000000000000000e+00,1.547462681265588e-01,5.724516550565106e-01,3.423977522279814e-01,2.717955495315171e-03,0.000000000000000e+00
3.254776972168198e-02,0.000000000000000e+00,1.505164381615648e-01,5.568111687369584e-01,3.330395958802393e-01,2.643679240446363e-03,0.000000000000000e+00
3.346149054627421e-02,0.000000000000000e+00,1.464021108255671e-01,5.415977718549005e-01,3.239369797355044e-01,2.571431223453850e-03,0.000000000000000e+00
3.440086246009415e-02,0.000000000000000e+00,1.424001321353952e-01,5.267998020427784e-01,3.150829258613447e-01,2.501156060064241e-03,0.000000000000000e+00
3.536660557191118e-02,0.000000000000000e+00,1.385074342327064e-01,5.124059153933481e-01,3.064706468695274e-01,2.432799878364843e-03,0.000000000000000e+00
3.635946020626937e-02,0.000000000000000e+00,1.347210330322108e-01,4.984050777636056e-01,2.980935407129060e-01,2.366310277506241e-03,0.000000000000000e+00
3.738018747100939e-02,0.000000000000000e+00,1.310380259341146e-01,4.847865563161756e-01,2.899451856243880e-01,2.301636287532573e-03,0.000000000000000e+00
3.842956984072274e-02,0.000000000000000e+00,1.274555895990297e-01,4.715399112916729e-01,2.820193351941007e-01,2.238728330308702e-03,0.000000000000000e+00
3.950841175658522e-02,0.000000000000000e+00,1.239709777836431e-01,4.586549880057383e-01,2.743099135809857e-01,2.177538181514344e-03,0.000000000000000e+00
4.061754024302983e-02,0.000000000000000e+00,1.205815192354869e-01,4.461219090646040e-01,2.668110108551481e-01,2.118018933676017e-03,0.000000000000000e+00
4.175780554173158e-02,0.000000000000000e+00,1.172846156451949e-01,4.339310667932285e-01,2.595168784673898e-01,2.060124960208439e-03,0.000000000000000e+00
4.293008176339035e-02,0.000000000000000e+00,1.140777396546768e-01,4.220731158701932e-01,2.524219248424557e-01,2.003811880437867e-03,0.000000000000000e+00
4.413526755781136e-02,0.000000000000000e+00,1.109584329196823e-01,4.105389661637162e-01,2.455207110926140e-01,1.949036525580519e-03,0.000000000000000e+00
4.537428680279692e-02,0.000000000000000e+00,1.079243042252706e-01,3.993197757632891e-01,2.388079468482842e-01,1.895756905650007e-03,0.000000000000000e+00
4.664808931237771e-02,0.000000000000000e+00,1.049730276527392e-01,3.884069442015978e-01,2.322784862025169e-01,1.843932177268433e-03,0.000000000000000e+00
4.795765156492628e-02,0.000000000000000e+00,1.021023407966096e-01,3.777921058615308e-01,2.259273237662167e-01,1.793522612356448e-03,0.000000000000000e+00
4.930397745171110e-02,0.000000000000000e+00,9.931004303029921e-02,3.674671235632184e-01,2.197495908310836e-01,1.744489567678289e-03,0.000000000000000e+00
5.068809904646493e-02,0.000000000000000e+00,9.659399381915387e-02,3.574240823261892e-01,2.137405516373328e-01,1.696795455218433e-03,0.000000000000000e+00
5.211107739655738e-02,0.000000000000000e+00,9.395211107954506e-02,3.476552833018634e-01,2.078955997433297e-01,1.650403713367176e-03,0.000000000000000e+00
5.357400333637850e-02,0.000000000000000e+00,9.138236958277449e-02,3.381532378717249e-01,2.022102544943589e-01,1.605278778893030e-03,0.000000000000000e+00
5.507799832355615e-02,0.000000000000000e+00,8.888279940256411e-02,3.289106619066594e-01,1.966801575878206e-01,1.561386059680477e-03,0.000000000000000e+00
5.662421529864939e-02,0.000000000000000e+00,8.645148440493845e-02,3.199204701830436e-01,1.913010697322174e-01,1.518691908212149e-03,0.000000000000000e+00
5.821383956897545e-02,0.000000000000000e+00,8.408656077934515e-02,3.111757709513196e-01,1.860688673973773e-01,1.477163595775134e-03,0.000000000000000e+00
5.984808971724941e-02,0.000000000000000e+00,8.178621560988404e-02,3.026698606528771e-01,1.809795396534135e-01,1.436769287371619e-03,0.000000000000000e+00
6.152821853573143e-02,0.000000000000000e+00,7.954868548555293e-02,2.943962187812060e-01,1.760291850960057e-01,1.397478017314648e-03,0.000000000000000e+00
6.325551398659944e-02,0.000000000000000e+00,7.737225514844186e-02,2.863485028833687e-01,1.712140088556383e-01,1.359259665490268e-03,0.000000000000000e+00
6.503130018928163e-02,0.000000000000000e+00,7.525525617884191e-02,2.785205436979707e-01,1.665303196885111e-01,1.322084934267897e-03,0.000000000000000e+00
6.685693843550757e-02,0.000000000000000e+00,7.319606571625817e-02,2.709063404258918e-01,1.619745271468825e-01,1.285925326041177e-03,0.000000000000000e+00
6.873382823285391e-02,0.000000000000000e+00,7.119310521534929e-02,2.635000561301644e-01,1.575431388266870e-01,1.250753121382129e-03,0.000000000000000e+00
