# energy,pi0_pi0_pi0,pi_pi_pi0,pi_e_nu,pi_mu_nu,pi_pi
1.295119613370618e+00,0.000000000000000e+00,1.913442530307147e-05,4.061657021613256e-05,5.172587482128754e-05,4.396711357965717e-07
1.311064991544735e+00,0.000000000000000e+00,1.964642210484818e-05,4.169460189330448e-05,5.310362203540169e-05,4.513445781055607e-07
1.327206687558912e+00,0.000000000000000e+00,2.017076518229637e-05,4.279816640067370e-05,5.451433380668468e-05,4.632957829526829e-07
1.343547118458007e+00,0.000000000000000e+00,2.070775441917389e-05,4.392787181535867e-05,5.595880158658064e-05,4.755313635445970e-07
1.360088731045282e+00,0.000000000000000e+00,2.125769668845953e-05,4.508433997321367e-05,5.743783490483397e-05,4.880580819066249e-07
1.376834002248790e+00,0.000000000000000e+00,2.182090601785533e-05,4.626820678025448e-05,5.895226178422737e-05,5.008828522137941e-07
1.393785439492261e+00,0.000000000000000e+00,2.239770375865602e-05,4.748012252976609e-05,6.050292916313812e-05,5.140127441806993e-07
1.410945581070568e+00,0.000000000000000e+00,2.298841875806946e-05,4.872075222521636e-05,6.209070332609086e-05,5.274549865114109e-07
1.428316996529807e+00,0.000000000000000e+00,2.359338753507219e-05,4.999077590909755e-05,6.371647034248340e-05,5.412169704106210e-07
1.445902287052058e+00,0.000000000000000e+00,2.421295445988426e-05,5.129088899781578e-05,6.538113651365989e-05,5.553062531571983e-07
1.463704085844884e+00,0.000000000000000e+00,2.484747193714782e-05,5.262180262274747e-05,6.708562882850526e-05,5.697305617413074e-07
1.481725058535627e+00,0.000000000000000e+00,2.549730059289389e-05,5.398424397757881e-05,6.883089542773195e-05,5.844977965661971e-07
1.499967903570556e+00,0.000000000000000e+00,2.616280946538268e-05,5.537895667204414e-05,7.061790607703049e-05,5.996160352157738e-07
1.518435352618929e+00,0.000000000000000e+00,2.684437619990270e-05,5.680670109217714e-05,7.244765264925306e-05,6.150935362890269e-07
1.537130170982034e+00,0.000000000000000e+00,2.754238724761464e-05,5.826825476718676e-05,7.432114961579855e-05,6.309387433023609e-07
1.556055158007260e+00,0.000000000000000e+00,2.825723806852661e-05,5.976441274306910e-05,7.623943454736691e-05,6.471602886608629e-07
1.575213147507270e+00,0.000000000000000e+00,2.898933333868767e-05,6.129598796306470e-05,7.820356862424934e-05,6.637669976995167e-07
1.594607008184336e+00,0.000000000000000e+00,2.973908716168749e-05,6.286381165506919e-05,8.021463715631966e-05,6.807678927953411e-07
1.614239644059893e+00,0.000000000000000e+00,3.050692328455024e-05,6.446873372610371e-05,8.227375011289185e-05,6.981721975514144e-07
1.634113994909386e+00,0.000000000000000e+00,3.129327531811205e-05,6.611162316395013e-05,8.438204266260729e-05,7.159893410537182e-07
1.654233036702472e+00,0.000000000000000e+00,3.209858696197141e-05,6.779336844605442e-05,8.654067572351436e-05,7.342289622017008e-07
1.674599782048634e+00,0.000000000000000e+00,3.292331223410319e-05,6.953118774840356e-05,8.875083652350157e-05,7.529009141134524e-07
1.695217280648294e+00,0.000000000000000e+00,3.376791570522727e-05,7.131020851948111e-05,9.101373917124548e-05,7.720152686063320e-07
1.716088619749465e+00,0.000000000000000e+00,3.463287273802386e-05,7.313107877073054e-05,9.333062523783099e-05,7.915823207538651e-07
1.737216924610040e+00,0.000000000000000e+00,3.551866973128807e-05,7.499477172553412e-05,9.570276434920356e-05,8.116125935197138e-07
1.758605358965761e+00,0.000000000000000e+00,3.642580436911696e-05,7.690228228535421e-05,9.813145478960750e-05,8.321168424694548e-07
1.780257125503957e+00,0.000000000000000e+00,3.735478587522366e-05,7.885462748469875e-05,1.006180241161669e-04,8.531060605609038e-07
1.802175466343109e+00,0.000000000000000e+00,3.830613527247297e-05,8.085284695402879e-05,1.031638297847600e-04,8.745914830136475e-07
1.824363663518325e+00,0.000000000000000e+00,3.928038564773434e-05,8.289800339069464e-05,1.057702597873397e-04,8.965845922584431e-07
1.846825039472789e+00,0.000000000000000e+00,4.027808242214864e-05,8.499118303798508e-05,1.084387333008472e-04,9.190971229670691e-07
1.869562957555261e+00,0.000000000000000e+00,4.129978362690543e-05,8.713349617236900e-05,1.111707013478658e-04,9.421410671631852e-07
1.892580822523698e+00,0.000000000000000e+00,4.234606018462878e-05,8.932607759900831e-05,1.139676474691593e-04,9.657286794147102e-07
1.915882081055088e+00,0.000000000000000e+00,4.341749619646987e-05,9.157008715561501e-05,1.168310884082339e-04,9.898724821081620e-07
1.939470222261546e+00,0.000000000000000e+00,4.451468923500548e-05,9.386671022472377e-05,1.197625748080639e-04,1.014585270805376e-06
1.963348778212772e+00,0.000000000000000e+00,4.563825064304163e-05,9.621715825444540e-05,1.227636919201139e-04,1.039880119682919e-06
1.987521324464942e+00,0.000000000000000e+00,4.678880583842312e-05,9.862266928776439e-05,1.258360603257893e-04,1.065770387054509e-06
2.011991480596109e+00,0.000000000000000e+00,4.796699462494908e-05,1.010845085004379e-04,1.289813366704423e-04,1.092269720976637e-06
2.036762910748195e+00,0.000000000000000e+00,4.917347150949588e-05,1.036039687475487e-04,1.322012144100551e-04,1.119392064937537e-06
2.061839324175658e+00,0.000000000000000e+00,5.040890602544918e-05,1.061823711187605e-04,1.354974245707205e-04,1.147151663629606e-06
2.087224475800907e+00,0.000000000000000e+00,5.167398306254633e-05,1.088210655023175e-04,1.388717365210306e-04,1.175563068805232e-06
2.112922166776571e+00,0.000000000000000e+00,5.296940320323266e-05,1.115214311578259e-04,1.423259587574849e-04,1.204641145215986e-06
2.138936245054673e+00,0.000000000000000e+00,5.429588306563235e-05,1.142848772978454e-04,1.458619397030164e-04,1.234401076634970e-06
2.165270605962821e+00,0.000000000000000e+00,5.565415565323822e-05,1.171128436783166e-04,1.494815685187347e-04,1.264858371962096e-06
2.191929192787494e+00,0.000000000000000e+00,5.704497071142217e-05,1.200068011978406e-04,1.531867759289749e-04,1.296028871411912e-06
2.218915997364503e+00,0.000000000000000e+00,5.846909509086933e-05,1.229682525058193e-04,1.569795350597336e-04,1.327928752783510e-06
2.246235060676729e+00,0.000000000000000e+00,5.992731311803868e-05,1.259987326194585e-04,1.608618622905685e-04,1.360574537811983e-06
2.273890473459210e+00,0.000000000000000e+00,6.142042697275247e-05,1.290998095496267e-04,1.648358181200273e-04,1.393983098600692e-06
2.301886376811694e+00,0.000000000000000e+00,6.294925707301690e-05,1.322730849355531e-04,1.689035080446645e-04,1.428171664133590e-06
2.330226962818716e+00,0.000000000000000e+00,6.451464246717630e-05,1.355201946883419e-04,1.730670834516965e-04,1.463157826866638e-06
2.358916475177322e+00,0.000000000000000e+00,6.611744123350126e-05,1.388428096432630e-04,1.773287425253293e-04,1.498959549397258e-06
2.387959209832515e+00,0.000000000000000e+00,6.775853088731295e-05,1.422426362207788e-04,1.816907311667948e-04,1.535595171210610e-06
2.417359515620525e+00,0.000000000000000e+00,6.943880879574249e-05,1.457214437560430e-04,1.861553439281062e-04,1.573083415501343e-06
2.447121794920005e+00,0.000000000000000e+00,7.115919260022583e-05,1.492832298576124e-04,1.907249249595421e-04,1.611443396069291e-06
2.477250504311235e+00,0.000000000000000e+00,7.292062064683137e-05,1.529275950585432e-04,1.954018689708522e-04,1.650694624287439e-06
2.507750155243447e+00,0.000000000000000e+00,7.472405242451858e-05,1.566563952470345e-04,2.001886222061612e-04,1.690857016140303e-06
2.538625314710371e+00,0.000000000000000e+00,7.657046901142293e-05,1.604715253344222e-04,2.050876834325419e-04,1.731950899330683e-06
2.569880605934086e+00,0.000000000000000e+00,7.846087352926116e-05,1.643749199670207e-04,2.101016049422006e-04,1.773997020452537e-06
2.601520709057305e+00,0.000000000000000e+00,8.039629160595151e-05,1.683685542460297e-04,2.152329935682179e-04,1.817016552227574e-06
2.633550361844168e+00,0.000000000000000e+00,8.237777184653695e-05,1.724544444553445e-04,2.204845117137537e-04,1.861031100802860e-06
2.665974360389677e+00,0.000000000000000e+00,8.440638631250372e-05,1.766346487971043e-04,2.258588783946239e-04,1.906062713106609e-06
2.698797559837858e+00,0.000000000000000e+00,8.648323100957943e-05,1.809112681347832e-04,2.313588702951256e-04,1.952133884259020e-06
2.732024875108764e+00,0.000000000000000e+00,8.860942638409609e-05,1.852864467436164e-04,2.369873228369716e-04,1.999267565034770e-06
2.765661281634436e+00,0.000000000000000e+00,9.078611782800040e-05,1.897623730681334e-04,2.427471312611773e-04,2.047487169373608e-06
2.799711816103916e+00,0.000000000000000e+00,9.301447619258812e-05,1.943412804865428e-04,2.486412517227143e-04,2.096816581935061e-06
2.834181577217438e+00,0.000000000000000e+00,9.529569831104052e-05,1.990254480817028e-04,2.546727023977278e-04,2.147280165693134e-06
2.869075726449905e+00,0.000000000000000e+00,9.763100752983324e-05,2.038172014183734e-04,2.608445646030854e-04,2.198902769566476e-06
2.904399488823761e+00,0.000000000000000e+00,1.000216542490868e-04,2.087189133264342e-04,2.671599839280015e-04,2.251709736079209e-06
2.940158153691387e+00,0.000000000000000e+00,1.024689164719240e-04,2.137330046897210e-04,2.736221713774550e-04,2.305726909047310e-06
2.976357075527116e+00,0.000000000000000e+00,1.049741003628918e-04,2.188619452401029e-04,2.802344045270833e-04,2.360980641284983e-06
3.013001674729020e+00,0.000000000000000e+00,1.075385408155076e-04,2.241082543564026e-04,2.870000286892145e-04,2.417497802325272e-06
3.050097438430542e+00,0.000000000000000e+00,1.101636020289745e-04,2.294745018677225e-04,2.939224580896574e-04,2.475305786148564e-06
3.087649921322147e+00,0.000000000000000e+00,1.128506780941179e-04,2.349633088607175e-04,3.010051770548439e-04,2.534432518912421e-06
3.125664746483070e+00,0.000000000000000e+00,1.156011935885756e-04,2.405773484903134e-04,3.082517412088769e-04,2.594906466675665e-06
3.164147606223313e+00,0.000000000000000e+00,1.184166041812808e-04,2.463193467933406e-04,3.156657786800013e-04,2.656756643109168e-06
3.203104262936010e+00,0.000000000000000e+00,1.212983972462612e-04,2.522375156179568e-04,3.232509913159818e-04,2.720012617185447e-06
3.242540549960277e+00,0.000000000000000e+00,1.242480924857754e-04,2.583194562564479e-04,3.310111559078153e-04,2.784704520838565e-06
3.282462372454700e+00,0.000000000000000e+00,1.272672425627993e-04,2.645387903025095e-04,3.389501254211842e-04,2.850863056585435e-06
3.322875708281561e+00,0.000000000000000e+00,1.303574337428660e-04,2.708984749589638e-04,3.470718302349881e-04,2.918519505098967e-06
3.363786608901962e+00,0.000000000000000e+00,1.335202865452569e-04,2.774015245423486e-04,3.553802793862653e-04,2.987705732723121e-06
3.405201200281967e+00,0.000000000000000e+00,1.367574564035297e-04,2.840510113024607e-04,3.638795618207454e-04,3.058454198919160e-06
3.447125683809896e+00,0.000000000000000e+00,1.400706343353619e-04,2.908500662399956e-04,3.725738476482396e-04,3.130797963631919e-06
3.489566337224920e+00,0.000000000000000e+00,1.434615476216777e-04,2.978018799214073e-04,3.814673894020088e-04,3.204770694564252e-06
3.532529515557081e+00,0.000000000000000e+00,1.469319604950145e-04,3.049097032900601e-04,3.905645233011928e-04,3.280406674347063e-06
3.576021652078892e+00,0.000000000000000e+00,1.504836748370759e-04,3.121768484726909e-04,3.998696705153308e-04,3.357740807591799e-06
3.620049259268648e+00,0.000000000000000e+00,1.541185308854035e-04,3.196066895801368e-04,4.093873384299301e-04,3.436808627811380e-06
3.664618929785601e+00,0.000000000000000e+00,1.578384079490907e-04,3.272026635012331e-04,4.191221219119826e-04,3.517646304194927e-06
3.709737337457141e+00,0.000000000000000e+00,1.616452251334440e-04,3.349682706887104e-04,4.290787045742480e-04,3.600290648220746e-06
3.755411238278121e+00,0.000000000000000e+00,1.655409420734876e-04,3.429070759358646e-04,4.392618600370643e-04,3.684779120091294e-06
3.801647471422511e+00,0.000000000000000e+00,1.695275596761891e-04,3.510227091426992e-04,4.496764531863541e-04,3.771149834972911e-06
3.848452960267472e+00,0.000000000000000e+00,1.736071208712680e-04,3.593188660701665e-04,4.603274414264266e-04,3.859441569022247e-06
3.895834713430071e+00,0.000000000000000e+00,1.777817113704369e-04,3.677993090810611e-04,4.712198759260864e-04,3.949693765180316e-06
3.943799825816738e+00,0.000000000000000e+00,1.820534604349008e-04,3.764656777914568e-04,4.823589028564725e-04,4.041946538714234e-06
3.992355479685652e+00,0.000000000000000e+00,1.864245416509266e-04,3.852725606899012e-04,4.937497646189605e-04,4.136240682485477e-06
4.041508945722215e+00,0.000000000000000e+00,1.908971737132737e-04,3.942747625291196e-04,5.053978010613673e-04,4.232617671922693e-06
4.091267584127745e+00,0.000000000000000e+00,1.954736212162562e-04,4.034763110276850e-04,5.173084506805858e-04,4.331119669675615e-06
4.141638845721601e+00,0.000000000000000e+00,2.001561954521854e-04,4.128813038536720e-04,5.294872518096942e-04,4.431789529925902e-06
4.192630273056851e+00,0.000000000000000e+00,2.049472552169189e-04,4.224939092491483e-04,5.419398437874447e-04,4.534670802329030e-06
4.244249501549699e+00,0.000000000000000e+00,2.098492076222194e-04,4.323183666287533e-04,5.546719681079535e-04,4.639807735560504e-06
4.296504260622792e+00,0.000000000000000e+00,2.148645089145989e-04,4.423589871501673e-04,5.676894695482639e-04,4.747245280438016e-06
4.349402374862632e+00,0.000000000000000e+00,2.199956653003014e-04,4.526201542541759e-04,5.809982972713565e-04,4.857029092589990e-06
4.402951765191218e+00,0.000000000000000e+00,2.252452337760463e-04,4.631063241719123e-04,5.946045059020246e-04,4.969205534639397e-06
4.457160450052112e+00,0.000000000000000e+00,2.306158229651253e-04,4.738220263967333e-04,6.085142565729120e-04,5.083821677870211e-06
4.512036546611128e+00,0.000000000000000e+00,2.361100939584188e-04,4.847718641180697e-04,6.227338179378658e-04,5.200925303342395e-06
4.567588271971776e+00,0.000000000000000e+00,2.417307611598612e-04,4.959605146144438e-04,6.372695671495931e-04,5.320564902419513e-06
4.623823944405695e+00,0.000000000000000e+00,2.474805931358549e-04,5.073927296027225e-04,6.521279907984792e-04,5.442789676671524e-06
4.680751984598219e+00,0.000000000000000e+00,2.533624134680920e-04,5.190733355405155e-04,6.673156858092320e-04,5.567649537113303e-06
4.738380916909285e+00,0.000000000000000e+00,2.593791016092138e-04,5.310554997940955e-04,6.828393602918740e-04,5.695195102737825e-06
4.796719370649865e+00,0.000000000000000e+00,2.655335937406888e-04,5.433301023267024e-04,6.987058343434086e-04,5.825477698300762e-06
4.855776081374112e+00,0.000000000000000e+00,2.718288836322611e-04,5.558690408113230e-04,7.149220407963046e-04,5.958549351311409e-06
4.915559892187413e+00,0.000000000000000e+00,2.782680235022661e-04,5.686774551346813e-04,7.314950259097557e-04,6.094462788182555e-06
4.976079755070551e+00,0.000000000000000e+00,2.848541248780754e-04,5.817605607684370e-04,7.484319499994580e-04,6.233271429489926e-06
5.037344732220165e+00,0.000000000000000e+00,2.915903594558813e-04,5.951236487186784e-04,7.657400880014514e-04,6.375029384289294e-06
5.099363997405724e+00,0.000000000000000e+00,2.984799599589823e-04,6.087720854023869e-04,7.834268299653377e-04,6.519791443437165e-06
5.162146837343184e+00,0.000000000000000e+00,3.055262209936794e-04,6.227113124463739e-04,8.014996814719600e-04,6.667613071858314e-06
5.225702653085592e+00,0.000000000000000e+00,3.127324999018418e-04,6.369468464040003e-04,8.199662639704012e-04,6.818550399700880e-06
5.290040961430781e+00,0.000000000000000e+00,3.201022176091413e-04,6.514842783847420e-04,8.388343150288878e-04,6.972660212317096e-06
5.355171396346407e+00,0.000000000000000e+00,3.276388594678936e-04,6.663292735914573e-04,8.581116884939437e-04,7.129999939004748e-06
5.421103710412537e+00,0.000000000000000e+00,3.353459760933926e-04,6.814875707599606e-04,8.778063545518529e-04,7.290627640441698e-06
5.487847776281999e+00,0.000000000000000e+00,3.432271841925441e-04,6.969819294017868e-04,8.979263996862169e-04,7.454601994742639e-06
5.555413588158686e+00,0.000000000000000e+00,3.512861673835508e-04,7.128383015541940e-04,9.184800265250759e-04,7.621982282063944e-06
5.623811263294097e+00,0.000000000000000e+00,3.595266770053247e-04,7.290262902845653e-04,9.394755535707924e-04,7.792828367679510e-06
5.693051043502275e+00,0.000000000000000e+00,3.679525329152255e-04,7.455519288793964e-04,9.609214148055261e-04,7.967200683446572e-06
5.763143296693426e+00,0.000000000000000e+00,3.765676242736551e-04,7.624213197844794e-04,9.828261591648354e-04,8.145160207577260e-06
5.834098518426378e+00,0.000000000000000e+00,3.853759103139449e-04,7.796406333315528e-04,1.005198449871559e-03,8.326768442627575e-06
5.905927333480195e+00,0.000000000000000e+00,3.943814210959026e-04,7.972161063219185e-04,1.028047063621788e-03,8.512087391611877e-06
5.978640497445113e+00,0.000000000000000e+00,4.035882582412836e-04,8.151540404593029e-04,1.051380889614350e-03,8.701179532146621e-06
6.052248898333080e+00,0.000000000000000e+00,4.130005956493678e-04,8.334608006239117e-04,1.075208928414827e-03,8.894107788523009e-06
6.126763558208122e+00,0.000000000000000e+00,4.226226801907265e-04,8.521428129792597e-04,1.099540290644731e-03,9.090935501603786e-06
6.202195634836765e+00,0.000000000000000e+00,4.324588323771522e-04,8.712065629029739e-04,1.124384195485993e-03,9.291726396434691e-06
6.278556423358800e+00,0.000000000000000e+00,4.425134470056367e-04,8.907282315380709e-04,1.149749968990541e-03,9.496544547456462e-06
6.355857357978606e+00,0.000000000000000e+00,4.527909937741588e-04,9.106838363009043e-04,1.175647042184196e-03,9.705454341198295e-06
6.434110013677297e+00,0.000000000000000e+00,4.632960178669315e-04,9.310423048023553e-04,1.202084948953686e-03,9.918520436328174e-06
6.513326107945961e+00,0.000000000000000e+00,4.740331405066433e-04,9.518103512107395e-04,1.229073323705058e-03,1.013580772093066e-05
