# energy,pi_pi_pi0,pi0_a,pi_pi,eta_a,e_e,mu_mu
2.470325138332733e+00,7.671673592232732e-04,0.000000000000000e+00,1.907188954375246e-05,8.378726230272720e-08,0.000000000000000e+00,1.132133841228749e-07
2.503253457382630e+00,7.873190781143901e-04,0.000000000000000e+00,1.955926221333668e-05,8.601338358129643e-08,0.000000000000000e+00,1.160415110970395e-07
2.536620696062428e+00,8.079740495254663e-04,0.000000000000000e+00,2.005821867519655e-05,8.829618555833338e-08,0.000000000000000e+00,1.189339687655190e-07
2.570432704972677e+00,8.291442848722799e-04,0.000000000000000e+00,2.056901007307109e-05,9.063706791401135e-08,0.000000000000000e+00,1.218920209677317e-07
2.604695412699788e+00,8.508420569235024e-04,0.000000000000000e+00,2.109189186085927e-05,9.303746295343226e-08,0.000000000000000e+00,1.249169466667160e-07
2.639414826855558e+00,8.730799043612075e-04,0.000000000000000e+00,2.162712382033612e-05,9.549883625029994e-08,0.000000000000000e+00,1.280100395966471e-07
2.674597035130533e+00,8.958706363637831e-04,0.000000000000000e+00,2.217497007536031e-05,9.802268733218059e-08,0.000000000000000e+00,1.311726078700770e-07
2.710248206361430e+00,9.192273372078288e-04,0.000000000000000e+00,2.273569910231872e-05,1.006105503756913e-07,0.000000000000000e+00,1.344059735425713e-07
2.746374591612771e+00,9.431633708853478e-04,0.000000000000000e+00,2.330958373653914e-05,1.032639949115385e-07,0.000000000000000e+00,1.377114721323056e-07
2.782982525272950e+00,9.676923857322853e-04,0.000000000000000e+00,2.389690117438935e-05,1.059846265393199e-07,0.000000000000000e+00,1.410904520920629e-07
2.820078426164898e+00,9.928283190641768e-04,0.000000000000000e+00,2.449793297076476e-05,1.087740876519812e-07,0.000000000000000e+00,1.445442742309522e-07
2.857668798671556e+00,1.018585401814367e-03,0.000000000000000e+00,2.511296503165307e-05,1.116340581698034e-07,0.000000000000000e+00,1.480743110830381e-07
2.895760233876358e+00,1.044978163169954e-03,0.000000000000000e+00,2.574228760144688e-05,1.145662562837789e-07,0.000000000000000e+00,1.516819462199389e-07
2.934359410718901e+00,1.072021435200280e-03,0.000000000000000e+00,2.638619524465933e-05,1.175724392082085e-07,0.000000000000000e+00,1.553685735043064e-07
2.973473097166036e+00,1.099730357472434e-03,0.000000000000000e+00,2.704498682168002e-05,1.206544039423401e-07,0.000000000000000e+00,1.591355962809570e-07
3.013108151398554e+00,1.128120381647878e-03,0.000000000000000e+00,2.771896545818997e-05,1.238139880408366e-07,0.000000000000000e+00,1.629844265022669e-07
3.053271523013702e+00,1.157207276053938e-03,0.000000000000000e+00,2.840843850783522e-05,1.270530701997552e-07,0.000000000000000e+00,1.669164837842894e-07
3.093970254243720e+00,1.187007130223442e-03,0.000000000000000e+00,2.911371750773884e-05,1.303735710138257e-07,0.000000000000000e+00,1.709331943898750e-07
3.135211481190627e+00,1.217536359395451e-03,0.000000000000000e+00,2.983511812640961e-05,1.337774543364563e-07,0.000000000000000e+00,1.750359901349139e-07
3.177002435077460e+00,1.248811708969500e-03,0.000000000000000e+00,3.057296010358427e-05,1.372667277697062e-07,0.000000000000000e+00,1.792263072136228e-07
3.219350443516193e+00,1.280850258905354e-03,0.000000000000000e+00,3.132756718151656e-05,1.408434434317326e-07,0.000000000000000e+00,1.835055849386192e-07
3.262262931792566e+00,1.313669428059782e-03,0.000000000000000e+00,3.209926702720327e-05,1.445096987753199e-07,0.000000000000000e+00,1.878752643913232e-07
3.305747424168018e+00,1.347286978451314e-03,0.000000000000000e+00,3.288839114501113e-05,1.482676374209873e-07,0.000000000000000e+00,1.923367869780134e-07
3.349811545199005e+00,1.381721019443437e-03,0.000000000000000e+00,3.369527477914329e-05,1.521194499871315e-07,0.000000000000000e+00,1.968915928866578e-07
3.394463021073872e+00,1.416990011836124e-03,0.000000000000000e+00,3.452025680535627e-05,1.560673749258628e-07,0.000000000000000e+00,2.015411194394040e-07
3.439709680967573e+00,1.453112771854947e-03,0.000000000000000e+00,3.536367961130954e-05,1.601136993640126e-07,0.000000000000000e+00,2.062867993353809e-07
3.485559458414426e+00,1.490108475026467e-03,0.000000000000000e+00,3.622588896489979e-05,1.642607599487556e-07,0.000000000000000e+00,2.111300587782172e-07
3.532020392699181e+00,1.527996659927897e-03,0.000000000000000e+00,3.710723386990149e-05,1.685109436972452e-07,0.000000000000000e+00,2.160723154824241e-07
3.579100630266629e+00,1.566797231798375e-03,0.000000000000000e+00,3.800806640820175e-05,1.728666888496121e-07,0.000000000000000e+00,2.211149765525191e-07
3.626808426149988e+00,1.606530465998431e-03,0.000000000000000e+00,3.892874156788352e-05,1.773304857246321e-07,0.000000000000000e+00,2.262594362284893e-07
3.675152145418345e+00,1.647217011303543e-03,0.000000000000000e+00,3.986961705637627e-05,1.819048775773176e-07,0.000000000000000e+00,2.315070734908982e-07
3.724140264643382e+00,1.688877893016812e-03,0.000000000000000e+00,4.083105309785472e-05,1.865924614101552e-07,0.000000000000000e+00,2.368592495186353e-07
3.773781373385656e+00,1.731534515885027e-03,0.000000000000000e+00,4.181341221402874e-05,1.913958881934338e-07,0.000000000000000e+00,2.423173049919875e-07
3.824084175700687e+00,1.775208666801484e-03,0.000000000000000e+00,4.281705898742557e-05,1.963178648058801e-07,0.000000000000000e+00,2.478825572333803e-07
3.875057491665128e+00,1.819922517278035e-03,0.000000000000000e+00,4.384235980622388e-05,2.013611547120948e-07,0.000000000000000e+00,2.535562971777864e-07
3.926710258923273e+00,1.865698625667888e-03,0.000000000000000e+00,4.488968258965483e-05,2.065285785906580e-07,0.000000000000000e+00,2.593397861644422e-07
3.979051534254178e+00,1.912559939119696e-03,0.000000000000000e+00,4.595939649293824e-05,2.118230151838301e-07,0.000000000000000e+00,2.652342525411262e-07
4.032090495159680e+00,1.960529795242405e-03,0.000000000000000e+00,4.705187159067477e-05,2.172474021422631e-07,0.000000000000000e+00,2.712408880718696e-07
4.085836441473566e+00,2.009631923459276e-03,0.000000000000000e+00,4.816747853756353e-05,2.228047368634677e-07,0.000000000000000e+00,2.773608441385464e-07
4.140298796992218e+00,2.059890446028343e-03,0.000000000000000e+00,4.930658820526253e-05,2.284980773226963e-07,0.000000000000000e+00,2.835952277263720e-07
4.195487111126964e+00,2.111329878705338e-03,0.000000000000000e+00,5.046957129415369e-05,2.343305429339489e-07,0.000000000000000e+00,2.899450971828796e-07
4.251411060578477e+00,2.163975131023942e-03,0.000000000000000e+00,5.165679791871758e-05,2.403053153553411e-07,0.000000000000000e+00,2.964114577394906e-07
4.308080451033482e+00,2.217851506166836e-03,0.000000000000000e+00,5.286863716516209e-05,2.464256391982471e-07,0.000000000000000e+00,3.029952567842919e-07
4.365505218884080e+00,2.272984700399698e-03,0.000000000000000e+00,5.410545661988737e-05,2.526948228699926e-07,0.000000000000000e+00,3.096973788741398e-07
4.423695432969999e+00,2.329400802038862e-03,0.000000000000000e+00,5.536762186730390e-05,2.591162393446690e-07,0.000000000000000e+00,3.165186404736693e-07
4.482661296344049e+00,2.387126289921820e-03,0.000000000000000e+00,5.665549595545176e-05,2.656933269155353e-07,0.000000000000000e+00,3.234597844082383e-07
4.542413148061134e+00,2.446188031348243e-03,0.000000000000000e+00,5.796943882779909e-05,2.724295899278990e-07,0.000000000000000e+00,3.305214740172617e-07
4.602961464991089e+00,2.506613279457484e-03,0.000000000000000e+00,5.930980671952214e-05,2.793285994319655e-07,0.000000000000000e+00,3.377042869937853e-07
4.664316863655698e+00,2.568429670006882e-03,0.000000000000000e+00,6.067695151649331e-05,2.863939927196214e-07,0.000000000000000e+00,3.450087088955246e-07
4.726490102090186e+00,2.631665217513333e-03,0.000000000000000e+00,6.207122007512061e-05,2.936294757911909e-07,0.000000000000000e+00,3.524351263119359e-07
4.789492081729535e+00,2.696348310718774e-03,0.000000000000000e+00,6.349295350110035e-05,3.010388238419064e-07,0.000000000000000e+00,3.599838196712128e-07
4.853333849319930e+00,2.762507707338193e-03,0.000000000000000e+00,6.494248638505321e-05,3.086258813949703e-07,0.000000000000000e+00,3.676549556703796e-07
4.918026598855699e+00,2.830172528046838e-03,0.000000000000000e+00,6.642014599292606e-05,3.163945628669854e-07,0.000000000000000e+00,3.754485793109183e-07
4.983581673542062e+00,2.899372249661031e-03,0.000000000000000e+00,6.792625140894190e-05,3.243488530960959e-07,0.000000000000000e+00,3.833646055215949e-07
5.050010567784043e+00,2.970136697464831e-03,0.000000000000000e+00,6.946111262878326e-05,3.324928078297128e-07,0.000000000000000e+00,3.914028103493318e-07
5.117324929201901e+00,3.042496036632454e-03,0.000000000000000e+00,7.102502960058903e-05,3.408305541685361e-07,0.000000000000000e+00,3.995628216981511e-07
5.185536560673408e+00,3.116480762693845e-03,0.000000000000000e+00,7.261829121123427e-05,3.493662909633922e-07,0.000000000000000e+00,4.078441095953174e-07
5.254657422403379e+00,3.192121690988318e-03,0.000000000000000e+00,7.424117421525261e-05,3.581042891612358e-07,0.000000000000000e+00,4.162459759629147e-07
5.324699634020748e+00,3.269449945048441e-03,0.000000000000000e+00,7.589394210363749e-05,3.670488920964556e-07,0.000000000000000e+00,4.247675438721179e-07
