# energy,dnde
3.422382069212712e+01,5.851621324634272e-03
3.467930157762179e+01,5.847562569220236e-03
3.514084440572998e+01,5.843373624102581e-03
3.560852985414733e+01,5.839132027037143e-03
3.608243967429962e+01,5.834760654557858e-03
3.656265670563297e+01,5.830277325551442e-03
3.704926489009410e+01,5.825727002293456e-03
3.754234928680349e+01,5.820952901756713e-03
3.804199608692354e+01,5.816120537810636e-03
3.854829262872498e+01,5.811225033169647e-03
3.906132741285352e+01,5.805757267059470e-03
3.958119011779974e+01,5.800859938209657e-03
4.010797161557493e+01,5.795527409020768e-03
4.064176398759550e+01,5.789893707604044e-03
4.118266054077882e+01,5.784419674856714e-03
4.173075582385326e+01,5.778659241662115e-03
4.228614564388533e+01,5.772736313613709e-03
4.284892708302681e+01,5.766703440757531e-03
4.341919851548447e+01,5.760477005558884e-03
4.399705962471624e+01,5.754064586506586e-03
4.458261142085563e+01,5.747568193122892e-03
4.517595625836839e+01,5.740892996472150e-03
4.577719785394407e+01,5.733966897014458e-03
4.638644130462564e+01,5.727014444521413e-03
4.700379310618057e+01,5.719795968662216e-03
4.762936117171617e+01,5.712444865761925e-03
4.826325485054295e+01,5.704855462011749e-03
4.890558494728861e+01,5.697107543876092e-03
4.955646374126705e+01,5.689144808729498e-03
5.021600500610452e+01,5.681013343976834e-03
5.088432402962743e+01,5.672638128392887e-03
5.156153763401451e+01,5.664069875024152e-03
5.224776419621742e+01,5.655329447788611e-03
5.294312366865308e+01,5.646340966311751e-03
5.364773760017123e+01,5.637135116124783e-03
5.436172915730128e+01,5.627705015216772e-03
5.508522314578180e+01,5.618035326212173e-03
5.581834603237651e+01,5.608123316756233e-03
5.656122596698081e+01,5.597969546379257e-03
5.731399280502210e+01,5.587571010539925e-03
5.807677813015886e+01,5.576911047274732e-03
5.884971527728129e+01,5.566003121101880e-03
5.963293935581825e+01,5.554815174209678e-03
6.042658727335442e+01,5.543365615741217e-03
6.123079775956176e+01,5.531639790128428e-03
6.204571139044944e+01,5.519592448060921e-03
6.287147061293653e+01,5.507299024997196e-03
6.370821976975175e+01,5.494676317788299e-03
6.455610512466460e+01,5.481765049327725e-03
6.541527488805204e+01,5.468535488267096e-03
6.628587924280608e+01,5.454980816932328e-03
6.716807037058544e+01,5.441119716537002e-03
6.806200247841700e+01,5.426908846986237e-03
6.896783182565119e+01,5.412291685205695e-03
6.988571675127615e+01,5.397267268320172e-03
7.081581770159534e+01,5.382256979978932e-03
7.175829725827359e+01,5.366570740577750e-03
7.271332016675643e+01,5.350578814650194e-03
7.368105336506736e+01,5.334206713208689e-03
7.466166601298896e+01,5.317446040058971e-03
7.565532952163183e+01,5.300320855255461e-03
7.666221758339726e+01,5.282718599256159e-03
7.768250620233873e+01,5.264753520291809e-03
7.871637372492735e+01,5.246352827351046e-03
7.976400087122686e+01,5.227505670156353e-03
8.082557076648352e+01,5.208235364646493e-03
8.190126897313637e+01,5.188302675083551e-03
8.299128352325367e+01,5.168244810200179e-03
8.409580495140055e+01,5.147669066520989e-03
8.521502632794494e+01,5.126537222055564e-03
8.634914329280599e+01,5.104917263487431e-03
8.749835408965197e+01,5.082795055041841e-03
8.866285960055329e+01,5.060169865879472e-03
8.984286338109669e+01,5.037027683868996e-03
9.103857169596677e+01,5.013349476331141e-03
9.225019355500098e+01,4.989133096733201e-03
9.347794074972479e+01,4.964366218436381e-03
9.472202789037235e+01,4.939043213966755e-03
9.598267244340094e+01,4.913128125712780e-03
9.726009476950384e+01,4.886657032202530e-03
9.855451816212930e+01,4.859575163961704e-03
9.986616888651244e+01,4.831896421700131e-03
1.011952762192263e+02,4.803606345056268e-03
1.025420724882593e+02,4.774666916887760e-03
1.039067931136263e+02,4.745101092254916e-03
1.052896766485204e+02,4.714826768822268e-03
1.066909648210110e+02,4.684000239148760e-03
1.081109025762989e+02,4.652441479442181e-03
1.095497381195323e+02,4.620202167716561e-03
1.110077229591932e+02,4.587252145758835e-03
1.124851119510608e+02,4.553591805104017e-03
1.139821633427607e+02,4.519218068843671e-03
1.154991388189062e+02,4.484100309011212e-03
1.170363035468412e+02,4.448239642465812e-03
1.185939262229909e+02,4.411619881237584e-03
1.201722791198306e+02,4.374227517857732e-03
1.217716381334782e+02,4.336045901432669e-03
1.233922828319216e+02,4.297063047596174e-03
1.250344965038866e+02,4.257289113940234e-03
1.266985662083563e+02,4.216686024111953e-03
1.283847828247484e+02,4.175138169081208e-03
1.300934411037613e+02,4.132964841616889e-03
1.318248397188966e+02,4.089811204257414e-03
1.335792813186672e+02,4.045817509823346e-03
1.353570725795000e+02,4.000927045695558e-03
1.371585242593430e+02,3.955096104005837e-03
1.389839512519861e+02,3.908469864788205e-03
1.408336726421045e+02,3.860872849688402e-03
1.427080117610342e+02,3.812351169021182e-03
1.446072962432912e+02,3.762889408868431e-03
1.465318580838409e+02,3.712488250504049e-03
1.484820336961319e+02,3.661117878149303e-03
1.504581639709005e+02,3.608804254646506e-03
1.524605943357584e+02,3.555504927166885e-03
1.544896748155739e+02,3.501218492472737e-03
1.565457600936553e+02,3.445942376256854e-03
1.586292095737508e+02,3.389670595474354e-03
1.607403874428715e+02,3.332384741848948e-03
1.628796627349512e+02,3.274086796504780e-03
1.650474093953542e+02,3.214779269004244e-03
1.672440063462402e+02,3.154429047987125e-03
1.694698375528006e+02,3.093058575371378e-03
1.717252920903749e+02,3.030642624112865e-03
1.740107642124619e+02,2.967216455492932e-03
1.763266534196341e+02,2.902725450024351e-03
1.786733645293719e+02,2.837204609630821e-03
1.810513077468242e+02,2.770641475750713e-03
1.834608987365135e+02,2.703031015632933e-03
1.859025586949932e+02,2.634401130181965e-03
1.883767144244731e+02,2.564713341737857e-03
1.908837984074246e+02,2.494028188557067e-03
1.934242488821783e+02,2.422304715821914e-03
1.959985099195283e+02,2.349569453680519e-03
1.986070315003560e+02,2.275820693147852e-03
2.012502695942857e+02,2.201094924687833e-03
2.039286862393896e+02,2.125380047031120e-03
2.066427496229513e+02,2.048698951394908e-03
2.093929341633047e+02,1.971073577922904e-03
2.121797205927629e+02,1.892513169075066e-03
2.150035960416497e+02,1.813069268009419e-03
2.178650541234505e+02,1.734100967335010e-03
2.207645950210955e+02,1.656538876739973e-03
2.237027255743923e+02,1.580408507390017e-03
2.266799593686202e+02,1.505735561663441e-03
2.296968168243065e+02,1.432545918351727e-03
2.327538252881952e+02,1.360865616657653e-03
2.358515191254273e+02,1.290720838926067e-03
2.389904398129478e+02,1.222137892039071e-03
2.421711360341562e+02,1.155143187404958e-03
2.453941637748159e+02,1.089763219466229e-03
2.486600864202407e+02,1.026024542648810e-03
2.519694748537749e+02,9.639537466710285e-04
2.553229075565834e+02,9.035774301269281e-04
2.587209707087696e+02,8.449221722547011e-04
2.621642582918412e+02,7.880145027967444e-04
2.656533721925371e+02,7.328808698536627e-04
2.691889223080370e+02,6.795476056299108e-04
2.727715266525726e+02,6.280408899642558e-04
2.764018114654552e+02,5.783867115329957e-04
2.800804113205432e+02,5.306108266091268e-04
2.838079692371653e+02,4.847387152551858e-04
2.875851367925205e+02,4.407955348216057e-04
2.914125742355731e+02,3.988060706172079e-04
2.952909506024652e+02,3.587946836117937e-04
2.992209438334639e+02,3.207852550248408e-04
3.032032408914650e+02,2.848011276474528e-04
3.072385378820745e+02,2.508650437381772e-04
3.113275401752874e+02,2.189990793255469e-04
3.154709625287869e+02,1.892245747432578e-04
3.196695292128837e+02,1.615620612157437e-04
3.239239741371186e+02,1.360311833037866e-04
3.282350409785505e+02,1.126506170114300e-04
3.326034833117492e+02,9.143798334633430e-05
3.370300647405228e+02,7.240975711669837e-05
3.415155590313941e+02,5.558117073800117e-05
3.460607502488554e+02,4.096611281291903e-05
3.506664328924230e+02,2.857702123704446e-05
3.553334120355156e+02,1.842477057231740e-05
3.600625034661813e+02,1.051855341845205e-05
3.648545338296974e+02,4.865755500823731e-06
3.697103407730682e+02,1.471824180807444e-06
3.746307730914443e+02,0.000000000000000e+00
