# energy,pi_pi_eta,rho0_a,pi0_pi0_eta,omega_a,a_a,pi_rho
1.127507937633643e+00,6.894502685700968e-05,3.795223913788842e-05,7.964314183596642e-06,4.015332830291701e-06,0.000000000000000e+00,1.376339593784445e-07
1.142997980905242e+00,7.107366144525335e-05,3.910446764273855e-05,8.210002613083687e-06,4.138489704808606e-06,0.000000000000000e+00,1.418393698869689e-07
1.158700831051674e+00,7.325913044470414e-05,4.028652778819410e-05,8.462241179725848e-06,4.264896127806417e-06,0.000000000000000e+00,1.461549640496864e-07
1.174619411677809e+00,7.550298793476295e-05,4.149919917563708e-05,8.721208617629904e-06,4.394639460377327e-06,0.000000000000000e+00,1.505836733854905e-07
1.190756686553883e+00,7.780682753587689e-05,4.274327955593975e-05,8.987088190896430e-06,4.527809216285431e-06,0.000000000000000e+00,1.551285001977469e-07
1.207115660167299e+00,8.017228349550790e-05,4.401958526810983e-05,9.260067819208340e-06,4.664497118730181e-06,0.000000000000000e+00,1.597925193860093e-07
1.223699378282012e+00,8.260103179184623e-05,4.532895168224231e-05,9.540340193720345e-06,4.804797154055702e-06,0.000000000000000e+00,1.645788802831358e-07
1.240510928505596e+00,8.509479127452555e-05,4.667223364698834e-05,9.828102912975779e-06,4.948805625145944e-06,0.000000000000000e+00,1.694908085189829e-07
1.257553440864110e+00,8.765532481111895e-05,4.805030594172266e-05,1.012355862216408e-05,5.096621231170277e-06,0.000000000000000e+00,1.745316079117602e-07
1.274830088384850e+00,9.028444047011526e-05,4.946406368792593e-05,1.042691513976547e-05,5.248345118143629e-06,0.000000000000000e+00,1.797046623880446e-07
1.292344087687119e+00,9.298399269278191e-05,5.091442268763875e-05,1.073838559838670e-05,5.404080939744421e-06,0.000000000000000e+00,1.850134379323778e-07
1.310098699581101e+00,9.575588355130789e-05,5.240232022785451e-05,1.105818857833888e-05,5.563934920136885e-06,0.000000000000000e+00,1.904614845672992e-07
1.328097229674972e+00,9.860206400041359e-05,5.392871540750506e-05,1.138654825508778e-05,5.728015917925724e-06,0.000000000000000e+00,1.960524383645976e-07
1.346343028990348e+00,1.015245351511495e-04,5.549458959037274e-05,1.172369453991013e-05,5.896435491273439e-06,0.000000000000000e+00,2.017900234885064e-07
1.364839494586187e+00,1.045253495859040e-04,5.710094688766416e-05,1.206986322325167e-05,6.069307964209734e-06,0.000000000000000e+00,2.076780542715072e-07
1.383590070191268e+00,1.076066126734729e-04,5.874881464582262e-05,1.242529613749779e-05,6.246750494160675e-06,0.000000000000000e+00,2.137204372954759e-07
1.402598246845348e+00,1.107704839669193e-04,6.043924393956413e-05,1.279024131156759e-05,6.428883140724514e-06,0.000000000000000e+00,2.199211730836897e-07
1.421867563549142e+00,1.140191785646373e-04,6.217331007010164e-05,1.316495312839401e-05,6.615828935719819e-06,0.000000000000000e+00,2.262843590246938e-07
1.441401607923219e+00,1.173549685327289e-04,6.395211306849677e-05,1.354969248740669e-05,6.807713954530368e-06,0.000000000000000e+00,2.328141914849669e-07
1.461204016875961e+00,1.207801843753741e-04,6.577677820405968e-05,1.394472696370344e-05,7.004667388770403e-06,0.000000000000000e+00,2.395149678817239e-07
1.481278477280689e+00,1.242972165318046e-04,6.764845649769213e-05,1.435033098290377e-05,7.206821620292638e-06,0.000000000000000e+00,2.463910889648903e-07
1.501628726662102e+00,1.279085168951767e-04,6.956832524004735e-05,1.476678598455743e-05,7.414312296560765e-06,0.000000000000000e+00,2.534470611347759e-07
1.522258553892135e+00,1.316166003599399e-04,7.153758851435559e-05,1.519438059608696e-05,7.627278407406832e-06,0.000000000000000e+00,2.606874987956828e-07
1.543171799895387e+00,1.354240464113132e-04,7.355747772374126e-05,1.563341082503427e-05,7.845862363089036e-06,0.000000000000000e+00,2.681171267456209e-07
1.564372358364234e+00,1.393335007548374e-04,7.562925212283033e-05,1.608418023891359e-05,8.070210060678782e-06,0.000000000000000e+00,2.757407826022460e-07
1.585864176483771e+00,1.433476769686010e-04,7.775419935342289e-05,1.654700015998964e-05,8.300470981021477e-06,0.000000000000000e+00,2.835634192650871e-07
1.607651255666707e+00,1.474693582076338e-04,7.993363598306333e-05,1.702218984767247e-05,8.536798277222907e-06,0.000000000000000e+00,2.915901074140549e-07
1.629737652298364e+00,1.517013989034276e-04,8.216890783903358e-05,1.751007669994003e-05,8.779348849810499e-06,0.000000000000000e+00,2.998260380456191e-07
1.652127478491906e+00,1.560467265793780e-04,8.446139079075092e-05,1.801099645717546e-05,9.028283432161515e-06,0.000000000000000e+00,3.082765250770672e-07
1.674824902853945e+00,1.605083436649272e-04,8.681249142172185e-05,1.852529338755587e-05,9.283766677428575e-06,0.000000000000000e+00,3.169470079062975e-07
1.697834151260664e+00,1.650893293263085e-04,8.922364742958006e-05,1.905332050558710e-05,9.545967246974109e-06,0.000000000000000e+00,3.258430540543677e-07
1.721159507644605e+00,1.697928413641810e-04,9.169632817965340e-05,1.959543978183339e-05,9.815057900323557e-06,0.000000000000000e+00,3.349703618563274e-07
1.744805314792264e+00,1.746221181554219e-04,9.423203526017929e-05,2.015202237509093e-05,1.009121558664574e-05,0.000000000000000e+00,3.443347631738189e-07
1.768775975152645e+00,1.795804805916981e-04,9.683230303869654e-05,2.072344884667423e-05,1.037462153776790e-05,0.000000000000000e+00,3.539422261420442e-07
1.793075951656918e+00,1.846713341449711e-04,9.949869921909048e-05,2.131010939467339e-05,1.066546136273033e-05,0.000000000000000e+00,3.637988579505041e-07
1.817709768549350e+00,1.898981708840670e-04,1.022328253987406e-04,2.191240407693779e-05,1.096392514388455e-05,0.000000000000000e+00,3.739109076568372e-07
1.842682012229631e+00,1.952645715750158e-04,1.050363176251685e-04,2.253074305879080e-05,1.127020753453690e-05,0.000000000000000e+00,3.842847690329682e-07
1.867997332106793e+00,2.007742078617337e-04,1.079108469515487e-04,2.316554684725962e-05,1.158450785813740e-05,0.000000000000000e+00,3.949269833643885e-07
1.893660441464847e+00,2.064308444753832e-04,1.108581199903850e-04,2.381724653388821e-05,1.190703020901196e-05,0.000000000000000e+00,4.058442416070227e-07
1.919676118340319e+00,2.122383414452972e-04,1.138798794646260e-04,2.448628403497820e-05,1.223798355463377e-05,0.000000000000000e+00,4.170433887021866e-07
1.946049206411837e+00,2.182006564035431e-04,1.169779047554202e-04,2.517311235325426e-05,1.257758183942724e-05,0.000000000000000e+00,4.285314262181238e-07
1.972784615901944e+00,2.243218469357464e-04,1.201540124456769e-04,2.587819586778284e-05,1.292604409009591e-05,0.000000000000000e+00,4.403155151081658e-07
1.999887324491296e+00,2.306060729068933e-04,1.234100568585289e-04,2.660201058148771e-05,1.328359452246270e-05,0.000000000000000e+00,4.524029787277379e-07
2.027362378245428e+00,2.370575989609943e-04,1.267479305897435e-04,2.734504439808342e-05,1.365046264980812e-05,0.000000000000000e+00,4.648013058750365e-07
2.055214892554234e+00,2.436807969683502e-04,1.301695650330577e-04,2.810779740288806e-05,1.402688339268981e-05,0.000000000000000e+00,4.775181538536214e-07
2.083450053084381e+00,2.504801485208709e-04,1.336769308973573e-04,2.889078214750846e-05,1.441309719018397e-05,0.000000000000000e+00,4.905613515550002e-07
2.112073116744780e+00,2.574602475913454e-04,1.372720387145427e-04,2.969452393796490e-05,1.480935009211806e-05,0.000000000000000e+00,5.039389025591361e-07
2.141089412665341e+00,2.646258031529876e-04,1.409569393368591e-04,3.051956112634881e-05,1.521589389443707e-05,0.000000000000000e+00,5.176589882506211e-07
2.170504343189161e+00,2.719816418791767e-04,1.447337243499011e-04,3.136644540448125e-05,1.563298626981738e-05,0.000000000000000e+00,5.317299709480846e-07
2.200323384878355e+00,2.795327108804141e-04,1.486045262056905e-04,3.223574207487458e-05,1.606089086840719e-05,0.000000000000000e+00,5.461603970442245e-07
2.230552089533695e+00,2.872840805268148e-04,1.525715194323677e-04,3.312803042582290e-05,1.649987743597069e-05,0.000000000000000e+00,5.609590001536259e-07
2.261196085228260e+00,2.952409472454578e-04,1.566369208219109e-04,3.404390403995572e-05,1.695022193329650e-05,0.000000000000000e+00,5.761347042653456e-07
2.292261077355294e+00,3.034086364565158e-04,1.608029897749792e-04,3.498397110244476e-05,1.741220665682268e-05,0.000000000000000e+00,5.916966268969976e-07
2.323752849690446e+00,3.117926055587102e-04,1.650720286726746e-04,3.594885473014219e-05,1.788612036042641e-05,0.000000000000000e+00,6.076540822468511e-07
2.355677265468620e+00,3.203984468853395e-04,1.694463832775338e-04,3.693919332374048e-05,1.837225837832115e-05,0.000000000000000e+00,6.240165843402109e-07
2.388040268475601e+00,3.292318908014851e-04,1.739284430926288e-04,3.795564090934376e-05,1.887092274899845e-05,0.000000000000000e+00,6.407938501660666e-07
2.420847884154692e+00,3.382988088911508e-04,1.785206416948406e-04,3.899886746459840e-05,1.938242234014644e-05,0.000000000000000e+00,6.579958027997651e-07
2.454106220728550e+00,3.476052171179362e-04,1.832254570404926e-04,4.006955930315469e-05,1.990707297447032e-05,0.000000000000000e+00,6.756325745071154e-07
2.487821470336432e+00,3.571572791017270e-04,1.880454117410594e-04,4.116841937418346e-05,2.044519755633445e-05,0.000000000000000e+00,6.937145098251001e-07
2.521999910187067e+00,3.669613094059797e-04,1.929830733065201e-04,4.229616763630827e-05,2.099712619913851e-05,0.000000000000000e+00,7.122521686139924e-07
2.556647903727367e+00,3.770237769390550e-04,1.980410543538068e-04,4.345354147952042e-05,2.156319635333349e-05,0.000000000000000e+00,7.312563290753712e-07
2.591771901827192e+00,3.873513083223235e-04,2.032220127776491e-04,4.464129610238353e-05,2.214375293497566e-05,0.000000000000000e+00,7.507379907301772e-07
2.627378443980391e+00,3.979506914323006e-04,2.085286518809714e-04,4.586020487340665e-05,2.273914845470889e-05,0.000000000000000e+00,7.707083773505684e-07
2.663474159522349e+00,4.088288788993194e-04,2.139637204618447e-04,4.711105972103770e-05,2.334974314705641e-05,0.000000000000000e+00,7.911789391852575e-07
2.700065768864255e+00,4.199929916867048e-04,2.195300128538319e-04,4.839467154848335e-05,2.397590509989648e-05,0.000000000000000e+00,8.121613550288550e-07
2.737160084744327e+00,4.314503227654505e-04,2.252303689164001e-04,4.971187062890623e-05,2.461801038398514e-05,0.000000000000000e+00,8.336675380004729e-07
2.774764013496234e+00,4.432083409010862e-04,2.310676739718893e-04,5.106350700559161e-05,2.527644318238092e-05,0.000000000000000e+00,8.557096366915789e-07
2.812884556334931e+00,4.552746944144607e-04,2.370448586853443e-04,5.245045094719139e-05,2.595159591961520e-05,0.000000000000000e+00,8.783000376385602e-07
2.851528810660171e+00,4.676572150492012e-04,2.431648988833261e-04,5.387359326392674e-05,2.664386939044224e-05,0.000000000000000e+00,9.014513678216259e-07
2.890703971377922e+00,4.803639218547679e-04,2.494308153076005e-04,5.533384575700570e-05,2.735367288799033e-05,0.000000000000000e+00,9.251764970617222e-07
2.930417332239935e+00,4.934030251527514e-04,2.558456732994102e-04,5.683214171083234e-05,2.808142433112484e-05,0.000000000000000e+00,9.494885403055491e-07
2.970676287201715e+00,5.067829305272140e-04,2.624125824097863e-04,5.836943634905501e-05,2.882755039082034e-05,0.000000000000000e+00,9.744008597881186e-07
3.011488331799153e+00,5.205122429863384e-04,2.691346959311439e-04,5.994670723268959e-05,2.959248659266869e-05,0.000000000000000e+00,9.999270673704954e-07
3.052861064544067e+00,5.345997709606431e-04,2.760152103334188e-04,6.156495471900155e-05,3.037667742414045e-05,0.000000000000000e+00,1.026081026509107e-06
3.094802188338917e+00,5.490545305399574e-04,2.830573637981328e-04,6.322520240467151e-05,3.118057655319335e-05,0.000000000000000e+00,1.052876853041403e-06
3.137319511910954e+00,5.638857496914502e-04,2.902644365351049e-04,6.492849760413136e-05,3.200464688976576e-05,0.000000000000000e+00,1.080328917280973e-06
3.180420951266075e+00,5.791028726476226e-04,2.976397501999249e-04,6.667591179875548e-05,3.284936070111578e-05,0.000000000000000e+00,1.108451845406678e-06
3.224114531162646e+00,5.947155642498784e-04,3.051866664695138e-04,6.846854115984528e-05,3.371519973028710e-05,0.000000000000000e+00,1.137260520634616e-06
3.268408386605576e+00,6.107337143117706e-04,3.129085859859078e-04,7.030750692433014e-05,3.460265530864408e-05,0.000000000000000e+00,1.166770084175407e-06
3.313310764360925e+00,6.271674422029637e-04,3.208089471803514e-04,7.219395582293154e-05,3.551222846526044e-05,0.000000000000000e+00,1.196995935960590e-06
3.358830024491298e+00,6.440271012407712e-04,3.288912249706157e-04,7.412906068355216e-05,3.644443003281259e-05,0.000000000000000e+00,1.227953735120941e-06
3.404974641912363e+00,6.613232832191354e-04,3.371589293241019e-04,7.611402088453910e-05,3.739978074961016e-05,0.000000000000000e+00,1.259659400198725e-06
3.451753207970723e+00,6.790668231570274e-04,3.456156036789128e-04,7.815006290668939e-05,3.837881135737182e-05,0.000000000000000e+00,1.292129109074815e-06
3.499174432043491e+00,6.972688038251051e-04,3.542648232147007e-04,8.023844076561501e-05,3.938206269433479e-05,0.000000000000000e+00,1.325379298590682e-06
3.547247143159818e+00,7.159405603399849e-04,3.631101929646812e-04,8.238043651454014e-05,4.041008578326049e-05,0.000000000000000e+00,1.359426663844113e-06
3.595980291644718e+00,7.350936849401825e-04,3.721553457597924e-04,8.457736073312741e-05,4.146344191387466e-05,0.000000000000000e+00,1.394288157136520e-06
3.645382950785459e+00,7.547400318106299e-04,3.814039399955160e-04,8.683055300135580e-05,4.254270271925389e-05,0.000000000000000e+00,1.429980986548386e-06
3.695464318520864e+00,7.748917219383683e-04,3.908596572114397e-04,8.914138250855487e-05,4.364845024564436e-05,0.000000000000000e+00,1.466522614118330e-06
3.746233719153801e+00,7.955611478595628e-04,4.005261994731272e-04,9.151124846972977e-05,4.478127701516681e-05,0.000000000000000e+00,1.503930753599857e-06
3.797700605087222e+00,8.167609786272986e-04,4.104072865453766e-04,9.394158051120520e-05,4.594178608083488e-05,0.000000000000000e+00,1.542223367768629e-06
3.849874558584031e+00,8.385041646006285e-04,4.205066528454044e-04,9.643383927473909e-05,4.713059107327876e-05,0.000000000000000e+00,1.581418665251612e-06
3.902765293551143e+00,8.608039423100501e-04,4.308280441639454e-04,9.898951694930844e-05,4.834831623853818e-05,0.000000000000000e+00,1.621535096312525e-06
3.956382657348052e+00,8.836738394140691e-04,4.413752141416717e-04,1.016101378198288e-04,4.959559646624798e-05,0.000000000000000e+00,1.662591344009578e-06
4.010736632620232e+00,9.071276797337549e-04,4.521519205184415e-04,1.042972587237797e-04,5.087307730750716e-05,0.000000000000000e+00,1.704606328005398e-06
4.065837339157754e+00,9.311795878020578e-04,4.631619213847642e-04,1.070524695995443e-04,5.218141498168128e-05,0.000000000000000e+00,1.747599197008704e-06
4.121695035779399e+00,9.558439940254646e-04,4.744089703008617e-04,1.098773939267270e-04,5.352127637135020e-05,0.000000000000000e+00,1.791589321368984e-06
4.178320122242697e+00,9.811356394118231e-04,4.858968117750949e-04,1.127736892020274e-04,5.489333900457020e-05,0.000000000000000e+00,1.836596286343815e-06
4.235723141180169e+00,1.007069580780729e-03,4.976291763991362e-04,1.157430474472219e-04,5.629829102357526e-05,0.000000000000000e+00,1.882639884642302e-06
4.293914780062196e+00,1.033661195584009e-03,5.096097755563561e-04,1.187871957834357e-04,5.773683113899678e-05,0.000000000000000e+00,1.929740108202153e-06
4.352905873186842e+00,1.060926186670476e-03,5.218422957787992e-04,1.219078967179024e-04,5.920966856863257e-05,0.000000000000000e+00,1.977917139155795e-06
4.412707403697018e+00,1.088880587399764e-03,5.343303927344688e-04,1.251069485168041e-04,6.071752295974486e-05,0.000000000000000e+00,2.027191339938729e-06
4.473330505625356e+00,1.117540766137956e-03,5.470776848241912e-04,1.283861858958445e-04,6.226112428407685e-05,0.000000000000000e+00,2.077583242490996e-06
4.534786465967178e+00,1.146923430982474e-03,5.600877443978005e-04,1.317474804168868e-04,6.384121257239987e-05,0.000000000000000e+00,2.129113536500220e-06
4.597086726781944e+00,1.177045634733249e-03,5.733640924053020e-04,1.351927410335524e-04,6.545853802886310e-05,0.000000000000000e+00,2.181803056632167e-06
4.660242887323570e+00,1.207924779301202e-03,5.869101923837018e-04,1.387239143850116e-04,6.711386084321288e-05,0.000000000000000e+00,2.235672768692076e-06
4.724266706200011e+00,1.239578619880189e-03,6.007294406575472e-04,1.423429853429382e-04,6.880795095715366e-05,0.000000000000000e+00,2.290743754657310e-06
4.789170103562516e+00,1.272025269721681e-03,6.148251576704445e-04,1.460519773124609e-04,7.054158786309589e-05,0.000000000000000e+00,2.347037196658049e-06
4.854965163324958e+00,1.305283204302412e-03,6.292005787922573e-04,1.498529525402410e-04,7.231556037765505e-05,0.000000000000000e+00,2.404574362659516e-06
4.921664135413656e+00,1.339371265954821e-03,6.438588445756106e-04,1.537480127296354e-04,7.413066638837955e-05,0.000000000000000e+00,2.463376583024438e-06
4.989279438048100e+00,1.374308667787950e-03,6.588029904340708e-04,1.577392991932996e-04,7.598771257210931e-05,0.000000000000000e+00,2.523465230596042e-06
5.057823660053018e+00,1.410114997680281e-03,6.740359357131177e-04,1.618289929998642e-04,7.788751408328840e-05,0.000000000000000e+00,2.584861700385856e-06
5.127309563202195e+00,1.446810222350121e-03,6.895604721236594e-04,1.660193152476073e-04,7.983089421047094e-05,0.000000000000000e+00,2.647587386417064e-06
5.197750084594509e+00,1.484414690634887e-03,7.053792515064666e-04,1.703125276350133e-04,8.181868401872921e-05,0.000000000000000e+00,2.711663656934091e-06
5.269158339062596e+00,1.522949136992858e-03,7.214947728944300e-04,1.747109326323505e-04,8.385172195915471e-05,0.000000000000000e+00,2.777111827891746e-06
5.341547621614599e+00,1.562434685263326e-03,7.379093688380191e-04,1.792168738046858e-04,8.593085332959255e-05,0.000000000000000e+00,2.843953134633075e-06
5.414931409909491e+00,1.602892850997807e-03,7.546251909577330e-04,1.838327358869248e-04,8.805692982911607e-05,0.000000000000000e+00,2.912208701660864e-06
5.489323366766382e+00,1.644345544184228e-03,7.716441946856830e-04,1.885609450046748e-04,9.023080902932987e-05,0.000000000000000e+00,2.981899510403079e-06
5.564737342708288e+00,1.686815071966772e-03,7.889681231566607e-04,1.934039687358244e-04,9.245335379792830e-05,0.000000000000000e+00,3.053046364867868e-06
5.641187378540891e+00,1.730324140973691e-03,8.065984902073191e-04,1.983643160316459e-04,9.472543167543614e-05,0.000000000000000e+00,3.125669855078930e-06
5.718687707966680e+00,1.774895859693987e-03,8.245365624401023e-04,2.034445377747100e-04,9.704791420254415e-05,0.000000000000000e+00,3.199790318176701e-06
5.797252760235033e+00,1.820553739726139e-03,8.427833403066553e-04,2.086472262179496e-04,9.942167619532969e-05,0.000000000000000e+00,3.275427797065586e-06
5.876897162828691e+00,1.867321697456879e-03,8.613395381633504e-04,2.139750147357861e-04,1.018475949655188e-04,0.000000000000000e+00,3.352601992996187e-06
