# energy,mu_nu,pi_pi0,pi_pi_pi,pi0_e_nu,pi0_mu_nu,pi_pi0_pi0,e_nu
2.203493739299603e+00,2.727286411581319e-04,6.863624111791922e-05,3.782636405920968e-05,2.933648317869588e-07,9.612865866752384e-06,4.097867626424232e-06,0.000000000000000e+00
2.230953740301221e+00,2.794290676990435e-04,7.034566559919934e-05,3.878284986489860e-05,2.996584953097233e-07,9.853704110468546e-06,4.201380460931858e-06,0.000000000000000e+00
2.258755948608247e+00,2.862843716293693e-04,7.209554640029273e-05,3.976254954144533e-05,3.069989971342878e-07,1.010029931948923e-05,4.307401343930016e-06,0.000000000000000e+00
2.286904628817754e+00,2.932979518038887e-04,7.388680959422401e-05,4.076601728358907e-05,3.144309764992054e-07,1.035278553416439e-05,4.415989989242515e-06,0.000000000000000e+00
2.315404098672341e+00,3.004732737390280e-04,7.572040107297708e-05,4.179382009329479e-05,3.219555734001591e-07,1.061129975723635e-05,4.527207484214864e-06,0.000000000000000e+00
2.344258729722440e+00,3.078138705894878e-04,7.759728691754096e-05,4.284653806063532e-05,3.295739420394896e-07,1.087598201328741e-05,4.641116319574702e-06,0.000000000000000e+00
2.373472947996867e+00,3.153233441228004e-04,7.951845377236696e-05,4.392476465015823e-05,3.372872510032405e-07,1.114697540910766e-05,4.757780419863814e-06,0.000000000000000e+00
2.403051234681732e+00,3.230053656907657e-04,8.148490922416585e-05,4.502910699281710e-05,3.450966834404065e-07,1.142442619498493e-05,4.877265174449544e-06,0.000000000000000e+00
2.432998126807813e+00,3.308636771966572e-04,8.349768218496485e-05,4.616018618354719e-05,3.530034372444191e-07,1.170848382691785e-05,4.999637469123305e-06,0.000000000000000e+00
2.463318217946495e+00,3.389020920570209e-04,8.555782327933637e-05,4.731863758456426e-05,3.610087252368915e-07,1.199930102975230e-05,5.124965718293840e-06,0.000000000000000e+00
2.494016158914376e+00,3.471244961568082e-04,8.766640523569699e-05,4.850511113446581e-05,3.691137753536534e-07,1.229703386124056e-05,5.253319897782743e-06,0.000000000000000e+00
2.525096658486664e+00,3.555348487965333e-04,8.982452328157105e-05,4.972027166321312e-05,3.773198308331059e-07,1.260184177702173e-05,5.384771578229802e-06,0.000000000000000e+00
2.556564484119456e+00,3.641371836300416e-04,9.203329554269587e-05,5.096479921307151e-05,3.856281504069221e-07,1.291388769652053e-05,5.519393959115417e-06,0.000000000000000e+00
2.588424462681018e+00,3.729356095914145e-04,9.429386344583766e-05,5.223938936558615e-05,3.940400084931239e-07,1.323333806976139e-05,5.657261903407382e-06,0.000000000000000e+00
2.620681481192188e+00,3.819343118094412e-04,9.660739212517663e-05,5.354475357466924e-05,4.025566953915675e-07,1.356036294509250e-05,5.798451972839167e-06,0.000000000000000e+00
2.653340487575993e+00,3.911375525080035e-04,9.897507083210187e-05,5.488161950587391e-05,4.111795174818616e-07,1.389513603781440e-05,5.943042463826548e-06,0.000000000000000e+00
2.686406491416617e+00,4.005496718906239e-04,1.013981133482492e-04,5.625073138192869e-05,4.199097974237543e-07,1.423783479970571e-05,6.091113444029445e-06,0.000000000000000e+00
2.719884564727822e+00,4.101750890073352e-04,1.038777584015979e-04,5.765285033460560e-05,4.287488743600168e-07,1.458864048943768e-05,6.242746789565587e-06,0.000000000000000e+00
2.753779842730951e+00,4.200183026019230e-04,1.064152700854276e-04,5.908875476299293e-05,4.376981041218557e-07,1.494773824386748e-05,6.398026222882309e-06,0.000000000000000e+00
2.788097524642615e+00,4.300838919374878e-04,1.090119382799220e-04,6.055924069824238e-05,4.467588594368832e-07,1.531531715019916e-05,6.557037351292735e-06,0.000000000000000e+00
2.822842874472214e+00,4.403765175981698e-04,1.116690790761906e-04,6.206512217485951e-05,4.559325301396829e-07,1.569157031899927e-05,6.719867706182277e-06,0.000000000000000e+00
2.858021221829379e+00,4.509009222647494e-04,1.143880352024603e-04,6.360723160860244e-05,4.652205233849951e-07,1.607669495805249e-05,6.886606782891103e-06,0.000000000000000e+00
2.893637962741485e+00,4.616619314617301e-04,1.171701764521735e-04,6.518642018105389e-05,4.746242638635627e-07,1.647089244704123e-05,7.057346081277946e-06,0.000000000000000e+00
2.929698560481353e+00,4.726644542733746e-04,1.200169001137076e-04,6.680355823092808e-05,4.841451940206643e-07,1.687436841303097e-05,7.232179146970450e-06,0.000000000000000e+00
2.966208546405266e+00,4.839134840260393e-04,1.229296314014155e-04,6.845953565217185e-05,4.937847742773727e-07,1.728733280674122e-05,7.411201613306686e-06,0.000000000000000e+00
3.003173520801421e+00,4.954140989340027e-04,1.259098238876593e-04,7.015526229891632e-05,5.035444832545684e-07,1.770999997958034e-05,7.594511243972266e-06,0.000000000000000e+00
3.040599153748967e+00,5.071714627058606e-04,1.289589599354964e-04,7.189166839733418e-05,5.134258179997479e-07,1.814258876141969e-05,7.782207976337245e-06,0.000000000000000e+00
3.078491185987736e+00,5.191908251083820e-04,1.320785511316458e-04,7.366970496445126e-05,5.234302942166548e-07,1.858532253908085e-05,7.974393965496107e-06,0.000000000000000e+00
3.116855429798824e+00,5.314775224845915e-04,1.352701387193450e-04,7.549034423396162e-05,5.335594464977761e-07,1.903842933550704e-05,8.171173629014341e-06,0.000000000000000e+00
3.155697769896137e+00,5.440369782226535e-04,1.385352940306789e-04,7.735458008908830e-05,5.438148285597335e-07,1.950214188958750e-05,8.372653692384093e-06,0.000000000000000e+00
3.195024164329051e+00,5.568747031719846e-04,1.418756189179392e-04,7.926342850253013e-05,5.541980134816084e-07,1.997669773660058e-05,8.578943235191154e-06,0.000000000000000e+00
3.234840645396321e+00,5.699962960028239e-04,1.452927461835426e-04,8.121792798353032e-05,5.647105939462389e-07,2.046233928923939e-05,8.790153737995032e-06,0.000000000000000e+00
3.275153320571380e+00,5.834074435053165e-04,1.487883400080078e-04,8.321914003209665e-05,5.753541824845207e-07,2.095931391917974e-05,9.006399129923041e-06,0.000000000000000e+00
3.315968373439163e+00,5.971139208239591e-04,1.523640963754633e-04,8.526814960040060e-05,5.861304117227550e-07,2.146787403914822e-05,9.227795836979022e-06,0.000000000000000e+00
3.357292064644620e+00,6.111215916230698e-04,1.560217434961250e-04,8.736606556137609e-05,5.970409346330783e-07,2.198827718544440e-05,9.454462831066495e-06,0.000000000000000e+00
3.399130732853031e+00,6.254364081787105e-04,1.597630422251480e-04,8.951402118453264e-05,6.146686256151996e-07,2.252078610086767e-05,9.686521679725348e-06,0.000000000000000e+00
3.441490795722302e+00,6.400644113922825e-04,1.635897864772254e-04,9.171317461899310e-05,6.328774694287866e-07,2.306566881799646e-05,9.924096596580480e-06,0.000000000000000e+00
