,photon_energies,1e15.0,1e15.05,1e15.1,1e15.15,1e15.2,1e15.25,1e15.3,1e15.35,1e15.4,1e15.45,1e15.5,1e15.55,1e15.6,1e15.65,1e15.7,1e15.75,1e15.8,1e15.85,1e15.9,1e15.95,1e16.0,1e16.05,1e16.1,1e16.15,1e16.2,1e16.25,1e16.3,1e16.35,1e16.4,1e16.45,1e16.5,1e16.55,1e16.6,1e16.65,1e16.7,1e16.75,1e16.8,1e16.85,1e16.9,1e16.95,1e17.0,1e17.05,1e17.1,1e17.15,1e17.2,1e17.25,1e17.3,1e17.35,1e17.4,1e17.45,1e17.5,1e17.55,1e17.6,1e17.65,1e17.7,1e17.75,1e17.8,1e17.85,1e17.9,1e17.95,1e18.0
10,1.661e-06,3.40247e+23,2.69113e+23,2.13827e+23,1.703e+23,1.35591e+23,1.07851e+23,8.5791e+22,6.83116e+22,5.4455e+22,4.34334e+22,3.46273e+22,2.75726e+22,2.19257e+22,1.74181e+22,1.38256e+22,1.09523e+22,8.63464e+21,6.74636e+21,5.19494e+21,3.91923e+21,2.88437e+21,2.07154e+21,1.463e+21,1.02667e+21,7.17933e+20,4.94777e+20,3.28494e+20,2.04814e+20,1.17916e+20,6.24569e+19,3.07643e+19,1.44092e+19,6.5088e+18,2.72116e+18,9.55126e+17,2.77212e+17,7.31316e+16,1.72277e+16,3085300000000000.0,535253000000000.0,169069000000000.0,167001000000000.0,227639000000000.0,318401000000000.0,445901000000000.0,624484000000000.0,874590000000000.0,1224870000000000.0,1715420000000000.0,2402450000000000.0,3364640000000000.0,4712180000000000.0,6599420000000000.0,9242500000000000.0,1.29441e+16,1.81283e+16,2.53887e+16,3.55568e+16,4.97974e+16,6.96943e+16,1.01314e+17
11,1.748e-06,3.24576e+23,2.567e+23,2.03932e+23,1.62331e+23,1.29133e+23,1.02634e+23,8.15961e+22,6.4936e+22,5.1729e+22,4.12225e+22,3.28322e+22,2.6127e+22,2.07824e+22,1.65324e+22,1.31477e+22,1.04335e+22,8.2356e+21,6.43789e+21,4.95708e+21,3.7389e+21,2.75149e+21,1.97708e+21,1.39786e+21,9.82117e+20,6.87255e+20,4.73746e+20,3.14657e+20,1.96339e+20,1.13102e+20,5.99173e+19,2.95067e+19,1.38167e+19,6.24604e+18,2.61249e+18,9.16166e+17,2.65827e+17,7.02009e+16,1.65135e+16,2970400000000000.0,529376000000000.0,185521000000000.0,192948000000000.0,264238000000000.0,369674000000000.0,517710000000000.0,725053000000000.0,1015440000000000.0,1422120000000000.0,1991680000000000.0,2789360000000000.0,3906500000000000.0,5471050000000000.0,7662220000000000.0,1.07309e+16,1.50287e+16,2.10477e+16,2.94773e+16,4.12831e+16,5.57727e+16,8.26977e+16,1.17696e+17
12,1.839e-06,3.08291e+23,2.44048e+23,1.93912e+23,1.54263e+23,1.22675e+23,9.75705e+22,7.76873e+22,6.1933e+22,4.9411e+22,3.94145e+22,3.14105e+22,2.50063e+22,1.98976e+22,1.58319e+22,1.25889e+22,9.98323e+21,7.86961e+21,6.13942e+21,4.71606e+21,3.54936e+21,2.60798e+21,1.87298e+21,1.32466e+21,9.31361e+20,6.52558e+20,4.50913e+20,3.00764e+20,1.88697e+20,1.09261e+20,5.80932e+19,2.86638e+19,1.34437e+19,6.10262e+18,2.56828e+18,9.05202e+17,2.63319e+17,6.97297e+16,1.64871e+16,2981570000000000.0,545765000000000.0,207334000000000.0,223151000000000.0,306502000000000.0,428862000000000.0,600603000000000.0,841144000000000.0,1178020000000000.0,1649820000000000.0,2310580000000000.0,3235970000000000.0,4531980000000000.0,6347040000000000.0,8889040000000000.0,1.24491e+16,1.7435e+16,2.44177e+16,3.41971e+16,4.7893e+16,6.65652e+16,9.72559e+16,1.35322e+17
13,1.935e-06,2.94136e+23,2.32795e+23,1.84866e+23,1.46934e+23,1.16751e+23,9.28056e+22,7.38531e+22,5.8838e+22,4.69012e+22,3.7375e+22,2.97645e+22,2.37002e+22,1.88818e+22,1.50517e+22,1.19896e+22,9.51976e+21,7.50824e+21,5.85695e+21,4.49763e+21,3.38433e+21,2.48764e+21,1.78854e+21,1.26674e+21,8.91774e+20,6.25467e+20,4.32711e+20,2.89059e+20,1.81568e+20,1.05181e+20,5.59166e+19,2.75784e+19,1.294e+19,5.87967e+18,2.4731e+18,8.70022e+17,2.52926e+17,6.69557e+16,1.58051e+16,2866330000000000.0,544258000000000.0,229902000000000.0,258016000000000.0,355627000000000.0,497682000000000.0,696986000000000.0,976129000000000.0,1367070000000000.0,1914580000000000.0,2681380000000000.0,3755270000000000.0,5259260000000000.0,7365600000000000.0,1.03155e+16,1.44469e+16,2.02329e+16,2.83362e+16,3.96849e+16,5.31677e+16,7.91183e+16,1.13238e+17,1.54599e+17
14,2.035e-06,2.79616e+23,2.21358e+23,1.75689e+23,1.39583e+23,1.10975e+23,8.83419e+22,7.04238e+22,5.61925e+22,4.48397e+22,3.57545e+22,2.84862e+22,2.26899e+22,1.80809e+22,1.44119e+22,1.14728e+22,9.0977e+21,7.16147e+21,5.57349e+21,4.27078e+21,3.20873e+21,2.35718e+21,1.69503e+21,1.20113e+21,8.46346e+20,5.94635e+20,4.12646e+20,2.76684e+20,1.74312e+20,1.01139e+20,5.3792e+19,2.6541e+19,1.24764e+19,5.68056e+18,2.38872e+18,8.39486e+17,2.4412e+17,6.46279e+16,1.52387e+16,2780280000000000.0,549135000000000.0,256884000000000.0,298172000000000.0,412080000000000.0,576759000000000.0,807734000000000.0,1131230000000000.0,1584290000000000.0,2218800000000000.0,3107430000000000.0,4351970000000000.0,6094930000000000.0,8535960000000000.0,1.19546e+16,1.67425e+16,2.34478e+16,3.28387e+16,4.59907e+16,6.34521e+16,9.31413e+16,1.30364e+17,1.76106e+17
15,2.141e-06,2.6681e+23,2.11088e+23,1.67373e+23,1.32858e+23,1.05563e+23,8.39879e+22,6.69101e+22,5.33444e+22,4.25245e+22,3.38824e+22,2.69964e+22,2.15275e+22,1.7186e+22,1.37232e+22,1.09386e+22,8.67926e+21,6.8317e+21,5.31505e+21,4.07181e+21,3.06004e+21,2.25023e+21,1.62053e+21,1.1502e+21,8.11822e+20,5.71586e+20,3.97745e+20,2.67442e+20,1.68917e+20,9.82143e+19,5.23161e+19,2.58482e+19,1.21656e+19,5.54391e+18,2.33579e+18,8.23198e+17,2.39679e+17,6.34951e+16,1.50282e+16,2761660000000000.0,568357000000000.0,290041000000000.0,345209000000000.0,478005000000000.0,669089000000000.0,937043000000000.0,1312330000000000.0,1837920000000000.0,2574010000000000.0,3604900000000000.0,5048670000000000.0,7070660000000000.0,9902470000000000.0,1.38684e+16,1.94227e+16,2.72016e+16,3.80959e+16,5.06396e+16,7.54932e+16,1.08717e+17,1.49133e+17,2.01352e+17
16,2.253e-06,2.53825e+23,2.00676e+23,1.59017e+23,1.26274e+23,1.00468e+23,8.00722e+22,6.38919e+22,5.09955e+22,4.06787e+22,3.24263e+22,2.58454e+22,2.06149e+22,1.64571e+22,1.31343e+22,1.04573e+22,8.28275e+21,6.50576e+21,5.05191e+21,3.86558e+21,2.90456e+21,2.13726e+21,1.54046e+21,1.09431e+21,7.73387e+20,5.45827e+20,3.80957e+20,2.56712e+20,1.62224e+20,9.42398e+19,5.01383e+19,2.47689e+19,1.16656e+19,5.31411e+18,2.23297e+18,7.83751e+17,2.27606e+17,6.02332e+16,1.42028e+16,2620920000000000.0,571814000000000.0,326005000000000.0,399817000000000.0,554876000000000.0,776776000000000.0,1087860000000000.0,1523550000000000.0,2133730000000000.0,2988290000000000.0,4185110000000000.0,5861250000000000.0,8208680000000000.0,1.14963e+16,1.61005e+16,2.25488e+16,3.15797e+16,4.42274e+16,6.0564e+16,8.92657e+16,1.25695e+17,1.70127e+17,2.31973e+17
17,2.37e-06,2.42115e+23,1.91219e+23,1.51375e+23,1.20125e+23,9.55232e+22,7.6084e+22,6.06606e+22,4.8368e+22,3.85516e+22,3.07292e+22,2.45175e+22,1.95909e+22,1.56683e+22,1.2522e+22,9.9768e+21,7.90251e+21,6.20543e+21,4.8178e+21,3.68735e+21,2.77307e+21,2.04282e+21,1.4737e+21,1.04735e+21,7.40344e+20,5.22491e+20,3.64298e+20,2.44851e+20,1.54115e+20,8.91308e+19,4.72534e+19,2.32995e+19,1.09619e+19,4.98011e+18,2.07893e+18,7.24951e+17,2.10041e+17,5.54612e+16,1.30055e+16,2428260000000000.0,570309000000000.0,367147000000000.0,462660000000000.0,643362000000000.0,900731000000000.0,1261460000000000.0,1766680000000000.0,2474230000000000.0,3465160000000000.0,4852970000000000.0,6796590000000000.0,9518630000000000.0,1.33308e+16,1.86699e+16,2.61472e+16,3.66192e+16,4.82542e+16,7.21294e+16,1.04446e+17,1.4395e+17,1.94183e+17,2.69611e+17
18,2.493e-06,2.3008e+23,1.81625e+23,1.43841e+23,1.14301e+23,9.10498e+22,7.26396e+22,5.79833e+22,4.62656e+22,3.68928e+22,2.94177e+22,2.34773e+22,1.876e+22,1.49969e+22,1.19724e+22,9.52273e+21,7.52706e+21,5.89922e+21,4.57423e+21,3.49993e+21,2.63349e+21,1.94141e+21,1.40166e+21,9.97446e+20,7.06813e+20,5.00529e+20,3.50037e+20,2.3572e+20,1.48566e+20,8.60566e+19,4.57262e+19,2.25963e+19,1.06385e+19,4.83057e+18,2.02034e+18,7.08205e+17,2.05785e+17,5.4355e+16,1.28519e+16,2435280000000000.0,605602000000000.0,419586000000000.0,535981000000000.0,746025000000000.0,1044510000000000.0,1462820000000000.0,2048680000000000.0,2869180000000000.0,4018290000000000.0,5627620000000000.0,7881480000000000.0,1.1038e+16,1.54588e+16,2.165e+16,3.03209e+16,4.24644e+16,5.76804e+16,8.53651e+16,1.20933e+17,1.64108e+17,2.23057e+17,3.15857e+17
19,2.623e-06,2.19318e+23,1.72942e+23,1.36856e+23,1.08685e+23,8.65227e+22,6.89731e+22,5.50024e+22,4.38496e+22,3.49603e+22,2.79015e+22,2.23061e+22,1.78573e+22,1.42958e+22,1.14215e+22,9.08538e+21,7.1794e+21,5.62552e+21,4.36271e+21,3.34074e+21,2.51664e+21,1.85743e+21,1.34248e+21,9.56542e+20,6.78937e+20,4.81512e+20,3.37103e+20,2.27252e+20,1.43474e+20,8.33205e+19,4.43972e+19,2.19807e+19,1.03522e+19,4.7017e+18,1.97513e+18,6.96881e+17,2.03105e+17,5.3724e+16,1.28215e+16,2465220000000000.0,650329000000000.0,480858000000000.0,621367000000000.0,865551000000000.0,1211900000000000.0,1697250000000000.0,2377000000000000.0,3328990000000000.0,4662260000000000.0,6529500000000000.0,9144570000000000.0,1.2807e+16,1.79362e+16,2.51197e+16,3.51801e+16,4.8889e+16,6.883e+16,1.00187e+17,1.3886e+17,1.87298e+17,2.58447e+17,3.7202e+17
