# f_eff^{e^+ e^-} from arXiv:1506.03811 [hep-ph] figure 3.
# Columns: e_e (eV), f_eff
5020.529913880202,0.30655530946228626
8609.67528888463,0.30559400762889133
14578.48928719431,0.3031907530454042
25000.559924603465,0.3031907530454043
42602.120548275336,0.2930970837947583
72596.00107690672,0.274832348960256
124494.42733438923,0.251280454042082
212144.31264272126,0.22436400270702594
361503.8066384263,0.18639258028792915
619940.612692634,0.15370831795250417
1063132.2719379226,0.1844699766211395
1788781.6012008737,0.3752883905500185
3067570.358756784,0.6358011874000246
5260557.185743613,0.8198904884951396
9021296.55330683,0.934766057585825
15372710.228281585,0.9732181309216192
26362564.43960275,0.9934054694229112
44923039.788095824,0.9866763565891472
77038239.42883855,0.924672388335179
130446400.18742569,0.8266196013289036
223701714.25781375,0.7050149194044544
383624667.98611104,0.5603389934785283
657875539.2005802,0.435369755137197
1113959723.0716639,0.4026854928017719
1898239341.4924786,0.4839154977236373
3255278751.681659,0.5810069828965179
5582457132.522817,0.639646394733604
9452597080.841642,0.626188169066076
16210199500.595446,0.5574550879783436
27798769544.687508,0.489202657807309
47671935695.194,0.4574796973052787
80721372236.81932,0.4406569152208687
137552984462.1975,0.4094146056355359
235888751098.22992,0.40508874738525913
401965437597.2336,0.4142211148025102
689328010076.8967,0.41229851113572047
1174647090751.6812,0.4094146056355359
2001653447474.8518,0.4147017657192076
3432622954001.225,0.4132598129691154
5849349667533.822,0.41229851113572047
