# Background from arxiv:1703.02546.
# Columns are E_gamma (MeV), E^2 dPhi_gamma/(dE dOmega) (GeV cm^-2 s^-1 sr^-1).
0.2008266636058447,0.000011835463306488481
0.3814203196612551,0.000013431530059391633
0.8230736713933661,0.00001578799161295661
1.8198515434611282,0.00001855787673247993
3.72928705330366,0.000021358609724049852
6.746577758890785,0.00002275323187471027
9.088088271870474,0.000022753231874710317
10.973139178508132,0.000021967564946246825
13.049316319802715,0.000020912997039708992
15.56556630426084,0.000019221596632563922
18.454466760450106,0.00001729840012428191
21.48405720089919,0.000015350338192368733
25.011002474517024,0.00001343153005939166
29.562923413058382,0.000011835463306488481
33.28426121073893,0.000011267293835153387
38.51351250028028,0.000011346759633155226
45.24689856541299,0.000012432283539300128
53.319344189455656,0.000014108834250150975
67.38257290002616,0.00001754326436215167
97.6390847621135,0.00002600372427428474
136.4131564128694,0.000035928439093217426
194.68428123468362,0.00004759131869446895
245.28635120221824,0.00005325538078312768
344.7835468445286,0.00005794157696449208
499.6002453762331,0.00006043711422946835
858.2925208003185,0.000058761758020684947
1274.306228811173,0.000052882412511246915
1998.377869196783,0.00004252966708288167
2843.3606290226785,0.00003444490104258964
3726.8188902512647,0.000029098547298027216
4914.566575591281,0.000024238916644531933
