# energy,pi_pi_pi0,mu_mu,pi_pi
1.904332452471531e-01,2.243121282329040e-06,7.959033392360626e-09,1.605195536960769e-09
1.939808243151265e-01,2.326930255509319e-06,8.254721111492036e-09,1.664979398355132e-09
1.975944911989494e-01,2.413859914484513e-06,8.561322531863406e-09,1.726978436703699e-09
2.012754770478987e-01,2.504025850450351e-06,8.879236355330972e-09,1.791274075148004e-09
2.050250359463188e-01,2.597547901078540e-06,9.208875610347002e-09,1.857950691789373e-09
2.088444453408795e-01,2.694550304493158e-06,9.550668152759445e-09,1.927095724720583e-09
2.127350064757919e-01,2.795161858712089e-06,9.905057183283337e-09,1.998799780660522e-09
2.166980448361330e-01,2.899516086740506e-06,1.027250178214791e-08,2.073156747307602e-09
2.207349105994282e-01,3.007751407509377e-06,1.065347746143531e-08,2.150263909530922e-09
2.248469790956469e-01,3.120011312858104e-06,1.104847673563863e-08,2.230222069521410e-09
2.290356512757671e-01,3.236444550766734e-06,1.145800971097940e-08,2.313135671028606e-09
2.333023541890691e-01,3.357205315049627e-06,1.188260469403623e-08,2.399112927812035e-09
2.376485414693198e-01,3.482453441729173e-06,1.232280882024855e-08,2.488265956439664e-09
2.420756938300160e-01,3.612354612314913e-06,1.277918870287159e-08,2.580710913569390e-09
2.465853195688513e-01,3.747080564220477e-06,1.325233110297003e-08,2.676568137853035e-09
2.511789550815826e-01,3.886809308557919e-06,1.374284362105019e-08,2.775962296605953e-09
2.558581653854682e-01,4.031725355556391e-06,1.425135541094183e-08,2.879022537388980e-09
2.606245446524578e-01,4.182019947859655e-06,1.477851791655226e-08,2.985882644653081e-09
2.654797167523145e-01,4.337891301964676e-06,1.532500563212673e-08,3.096681201600814e-09
2.704253358058558e-01,4.499544858071444e-06,1.589151688665975e-08,3.211561757422396e-09
2.754630867484995e-01,4.667193538622292e-06,1.647877465311315e-08,3.330673000067960e-09
2.805946859043087e-01,4.841058015817294e-06,1.708752738310633e-08,3.454168934721311e-09
2.858218815707313e-01,5.021366988400782e-06,1.771854986775455e-08,3.582209068144320e-09
2.911464546142307e-01,5.208357468022713e-06,1.837264412533991e-08,3.714958599064800e-09
2.965702190770145e-01,5.402275075487474e-06,1.905064031650899e-08,3.852588614784584e-09
3.020950227950651e-01,5.603374347211839e-06,1.975339768769877e-08,3.995276294188197e-09
3.077227480276830e-01,5.811919052222816e-06,2.048180554350011e-08,4.143205117336267e-09
3.134553120987591e-01,6.028182520035900e-06,2.123678424867472e-08,4.296565081831637e-09
3.192946680499924e-01,6.252447979763454e-06,2.201928626054702e-08,4.455552926149587e-09
3.252428053062764e-01,6.485008910813053e-06,2.283029719249742e-08,4.620372360127451e-09
3.313017503534819e-01,6.726169405545420e-06,2.367083690928676e-08,4.791234302812201e-09
3.374735674288648e-01,6.976244544271722e-06,2.454196065494420e-08,4.968357127868194e-09
3.437603592243370e-01,7.235560782980363e-06,2.544476021395228e-08,5.151966916750560e-09
3.501642676028375e-01,7.504456354193847e-06,2.638036510646195e-08,5.342297719852987e-09
3.566874743280489e-01,7.783281681366830e-06,2.734994381826858e-08,5.539591825841711e-09
3.633322018077084e-01,8.072399807247372e-06,2.835470506627656e-08,5.744100039390543e-09
3.701007138507650e-01,8.372186836634155e-06,2.939589910017376e-08,5.956081967534495e-09
3.769953164386427e-01,8.683032393973574e-06,3.047481904103020e-08,6.175806314862185e-09
3.840183585108711e-01,9.005340096251706e-06,3.159280225752419e-08,6.403551187769509e-09
3.911722327653510e-01,9.339528041647315e-06,3.275123178048791e-08,6.639604407999239e-09
3.984593764735294e-01,9.686029314423591e-06,3.395153775644809e-08,6.884263835693027e-09
4.058822723107590e-01,1.004529250654753e-05,3.519519894082012e-08,7.137837702183800e-09
4.134434492021278e-01,1.041778225653737e-05,3.648374423139213e-08,7.400644952757755e-09
4.211454831840442e-01,1.080397980605010e-05,3.781875424271113e-08,7.673015599615920e-09
4.289909982818739e-01,1.120438357473240e-05,3.920186292195514e-08,7.955291085265737e-09
4.369826674039257e-01,1.161950975387005e-05,4.063475920684174e-08,8.247824656572976e-09
4.451232132520910e-01,1.204989291938219e-05,4.211918872608877e-08,8.550981749703775e-09
4.534154092494482e-01,1.249608666471822e-05,4.365695554289918e-08,8.865140386185527e-09
4.618620804851472e-01,1.295866425422663e-05,4.524992394189778e-08,9.190691580313605e-09
4.704661046768960e-01,1.343821929757594e-05,4.690002025989408e-08,9.528039758128541e-09
4.792304131513780e-01,1.393536644581931e-05,4.860923476078950e-08,9.877603188185303e-09
4.881579918429326e-01,1.445074210970487e-05,5.037962355488219e-08,1.023981442433245e-08
4.972518823108408e-01,1.498500520084478e-05,5.221331056275217e-08,1.061512076071425e-08
5.065151827755620e-01,1.553883789636592e-05,5.411248952383315e-08,1.100398469920331e-08
5.159510491742740e-01,1.611294642767554e-05,5.607942604968994e-08,1.140688442946483e-08
5.255626962360779e-01,1.670806189398431e-05,5.811645972192814e-08,1.182431432184569e-08
5.353533985772315e-01,1.732494110123882e-05,6.022600623455910e-08,1.225678543327320e-08
5.453264918167871e-01,1.796436742712365e-05,6.241055958053165e-08,1.270482602633798e-08
5.554853737130117e-01,1.862715171280171e-05,6.467269428201896e-08,1.316898210172440e-08
5.658335053209780e-01,1.931413318206859e-05,6.701506766391561e-08,1.364981794413893e-08
5.763744121717198e-01,2.002618038860323e-05,6.944042216985537e-08,1.414791668187271e-08
5.871116854733543e-01,2.076419219200357e-05,7.195158771990137e-08,1.466388086011834e-08
5.980489833345795e-01,2.152909876329993e-05,7.455148410888972e-08,1.519833302814311e-08
6.091900320109647e-01,2.232186262064370e-05,7.724312344422314e-08,1.575191634040152e-08
6.205386271744578e-01,2.314347969587081e-05,8.002961262170726e-08,1.632529517164717e-08
6.320986352065426e-01,2.399498043264182e-05,8.291415583780879e-08,1.691915574608112e-08
6.438739945154855e-01,2.487743091686019e-05,8.590005713647684e-08,1.753420678054630e-08
6.558687168781225e-01,2.579193404006897e-05,8.899072298841658e-08,1.817118014174917e-08
6.680868888066408e-01,2.673963069652369e-05,9.218966490043020e-08,1.883083151745733e-08
6.805326729408231e-01,2.772170101463427e-05,9.550050205214571e-08,1.951394110158770e-08
6.932103094662287e-01,2.873936562346206e-05,9.892696395713629e-08,2.022131429306093e-08
7.061241175587920e-01,2.979388695494969e-05,1.024728931450900e-07,2.095378240825699e-08
7.192784968563333e-01,3.088657058255024e-05,1.061422478613233e-07,2.171220340686152e-08
7.326779289574835e-01,3.201876659690900e-05,1.099391047795351e-07,2.249746263084342e-08
7.463269789485303e-01,3.319187101923426e-05,1.138676617232733e-07,2.331047355625103e-08
7.602302969587096e-01,3.440732725297538e-05,1.179322403911293e-07,2.415217855745679e-08
7.743926197444693e-01,3.566662757440333e-05,1.221372890801867e-07,2.502354968341729e-08
7.888187723032470e-01,3.697131466266344e-05,1.264873854017240e-07,2.592558944544878e-08
8.035136695173106e-01,3.832298316984085e-05,1.309872389826076e-07,2.685933161594448e-08
8.184823178282217e-01,3.972328133154547e-05,1.356416941452097e-07,2.782584203738170e-08
8.337298169424929e-01,4.117391261848548e-05,1.404557325580347e-07,2.882621944088130e-08
8.492613615690198e-01,4.267663742945634e-05,1.454344758485481e-07,2.986159627349061e-08
8.650822431888791e-01,4.423327482612441e-05,1.505831881689609e-07,3.093313953326202e-08
8.811978518580971e-01,4.584570430993198e-05,1.559072787049251e-07,3.204205161109268e-08
8.976136780440012e-01,4.751586764139126e-05,1.614123041162522e-07,3.318957113817701e-08
9.143353144957810e-01,4.924577070197088e-05,1.671039708978551e-07,3.437697383779994e-08
9.313684581498962e-01,5.103748539870562e-05,1.729881376481474e-07,3.560557338006689e-08
9.487189120709802e-01,5.289315161158315e-05,1.790708172310949e-07,3.687672223802462e-08
9.663925874289012e-01,5.481497918367308e-05,1.853581788170098e-07,3.819181254347413e-08
9.843955055126525e-01,5.680524995387035e-05,1.918565497859929e-07,3.955227694061375e-08
1.002733799781762e+00,5.886631983202043e-05,1.985724174766727e-07,4.095958943547495e-08
1.021413717955915e+00,6.100062091608146e-05,2.055124307615363e-07,4.241526623892526e-08
1.040441624143506e+00,6.321066365085377e-05,2.126834014287181e-07,4.392086660081169e-08
1.059824001009842e+00,6.549903902767449e-05,2.200923053485723e-07,4.547799363260220e-08
1.079567451985740e+00,6.786842082432766e-05,2.277462834017285e-07,4.708829511565151e-08
1.099678703517264e+00,7.032156788426224e-05,2.356526421435781e-07,4.875346429197156e-08
1.120164607357378e+00,7.286132643403886e-05,2.438188541782937e-07,5.047524063412163e-08
1.141032142900283e+00,7.549063243773888e-05,2.522525582134899e-07,5.225541059055067e-08
1.162288419559247e+00,7.821251398686910e-05,2.609615587645409e-07,5.409580830242405e-08
1.183940679188729e+00,8.103009372407684e-05,2.699538254753113e-07,5.599831628764157e-08
1.205996298551625e+00,8.394659129875452e-05,2.792374920196691e-07,5.796486608741120e-08
1.228462791832472e+00,8.696532585236041e-05,2.888208545456077e-07,5.999743887037394e-08
1.251347813197481e+00,9.008971853100551e-05,2.987123696210788e-07,6.209806598888189e-08
1.274659159402248e+00,9.332329502256577e-05,3.089206516377678e-07,6.426882948161358e-08
1.298404772448054e+00,9.666968811525589e-05,3.194544696259589e-07,6.651186251626114e-08
1.322592742287645e+00,1.001326402742643e-04,3.303227434303733e-07,6.882934976554874e-08
1.347231309581416e+00,1.037160062326764e-04,3.415345391933895e-07,7.122352770933097e-08
1.372328868504946e+00,1.074237555925227e-04,3.530990640883496e-07,7.369668485497774e-08
1.397893969608827e+00,1.112599754313597e-04,3.650256602417305e-07,7.625116186767428e-08
1.423935322731778e+00,1.152288729093383e-04,3.773237977787655e-07,7.888935160164700e-08
1.450461799968014e+00,1.193347778712264e-04,3.900030669226666e-07,8.161369902267065e-08
1.477482438689910e+00,1.235821454373251e-04,4.030731690728616e-07,8.442670101151109e-08
1.505006444626962e+00,1.279755585766577e-04,4.165439067826375e-07,8.733090603721342e-08
1.533043195002109e+00,1.325197306552097e-04,4.304251725512440e-07,9.032891368835186e-08
1.561602241726488e+00,1.372195079513507e-04,4.447269363398369e-07,9.342337404951205e-08
1.590693314653693e+00,1.420798721298801e-04,4.594592317146026e-07,9.661698690937867e-08
1.620326324894666e+00,1.471059426653985e-04,4.746321405140154e-07,9.991250078584178e-08
1.650511368194339e+00,1.523029792049198e-04,4.902557759303643e-07,1.033127117525205e-07
1.681258728371178e+00,1.576763838587871e-04,5.063402638884584e-07,1.068204620500157e-07
1.712578880820800e+00,1.632317034080594e-04,5.228957225967586e-07,1.104386384640529e-07
1.744482496084868e+00,1.689746314155667e-04,5.399322401380166e-07,1.141701704514516e-07
1.776980443486461e+00,1.749110102267986e-04,5.574598499578692e-07,1.180180279935516e-07
1.810083794833171e+00,1.810468328456924e-04,5.754885041006282e-07,1.219852191553434e-07
1.843803828189185e+00,1.873882446692118e-04,5.940280440317772e-07,1.260747873270763e-07
1.878152031717639e+00,1.939415450633463e-04,6.130881688763202e-07,1.302898081235506e-07
1.913140107594547e+00,2.007131887618292e-04,6.326784008911504e-07,1.346333859146385e-07
1.948779975995646e+00,2.077097870674374e-04,6.528080479779449e-07,1.391086499588080e-07
1.985083779157511e+00,2.149381088342157e-04,6.734861630307231e-07,1.437187501095465e-07
2.022063885514324e+00,2.224050812073418e-04,6.947214998990831e-07,1.484668520625848e-07
2.059732893911705e+00,2.301177900956164e-04,7.165224657341941e-07,1.533561321097007e-07
2.098103637899049e+00,2.380834803497182e-04,7.388970694698690e-07,1.583897713626308e-07
2.137189190101813e+00,2.463095556173917e-04,7.618528661753393e-07,1.635709494082278e-07
2.177002866675272e+00,2.548035778446495e-04,7.853968969997674e-07,1.689028373534587e-07
2.217558231841222e+00,2.635732663898260e-04,8.095356244108689e-07,1.743885902161444e-07
2.258869102509219e+00,2.726264967149571e-04,8.342748624113382e-07,1.800313386144802e-07
2.300949552983889e+00,2.819712986164178e-04,8.596197013969412e-07,1.858341797053330e-07
2.343813919759944e+00,2.916158539540631e-04,8.855744272990941e-07,1.918001673180901e-07
2.387476806406515e+00,3.015684938352506e-04,9.121424346324878e-07,1.979323012274075e-07
2.431953088542480e+00,3.118376952070679e-04,9.393261330446424e-07,2.042335155045728e-07
2.477257918904475e+00,3.224320768068507e-04,9.671268469392446e-07,2.107066658833457e-07
2.523406732509322e+00,3.333603944176152e-04,9.955447077185435e-07,2.173545160720400e-07
2.570415251912617e+00,3.446315353713668e-04,1.024578538161924e-06,2.241797229392808e-07
2.618299492565293e+00,3.562545122393352e-04,1.054225728427921e-06,2.311848204962569e-07
2.667075768269962e+00,3.682384556440368e-04,1.084482103135322e-06,2.383722025934094e-07
2.716760696738906e+00,3.805926061236517e-04,1.115341778945432e-06,2.457441042443126e-07
2.767371205255606e+00,3.933263049745146e-04,1.146797012032110e-06,2.533025814840114e-07
2.818924536441740e+00,4.064489839925217e-04,1.178838034788449e-06,2.610494896632469e-07
2.871438254131623e+00,4.199701540289748e-04,1.211452881079135e-06,2.689864600738266e-07
2.924930249356064e+00,4.338993922707318e-04,1.244627199305197e-06,2.771148747938347e-07
2.979418746437710e+00,4.482463281485722e-04,1.278344052503094e-06,2.854358396344375e-07
3.034922309199937e+00,4.630206277713192e-04,1.312583704652578e-06,2.939501550626630e-07
3.091459847291407e+00,4.782319767765143e-04,1.347323392317536e-06,3.026582849667273e-07
3.149050622628442e+00,4.938900614812719e-04,1.382537080690700e-06,3.115603231221971e-07
3.207714255957415e+00,5.100045482093349e-04,1.418195203056702e-06,3.206559572085023e-07
3.267470733539390e+00,5.265850606622626e-04,1.454264382628163e-06,3.299444302160035e-07
3.328340413959297e+00,5.436411551941064e-04,1.490707135646200e-06,3.394244990739657e-07
3.390344035061945e+00,5.611822938398194e-04,1.527481554569621e-06,3.490943903193238e-07
3.453502721017248e+00,5.792178149379761e-04,1.564540970106114e-06,3.589517526150663e-07
3.517837989517080e+00,5.977569011781169e-04,1.601833590763423e-06,3.689936059153070e-07
3.583371759106185e+00,6.168085448921371e-04,1.639302118518883e-06,3.792162870616874e-07
3.650126356649663e+00,6.363815103975901e-04,1.676883339121273e-06,3.896153915825700e-07
3.718124524939566e+00,6.564842931884990e-04,1.714507685449608e-06,4.001857114525098e-07
3.787389430443199e+00,6.771250757562755e-04,1.752098772258851e-06,4.109211685547064e-07
3.857944671195758e+00,6.983116798095169e-04,1.789572900542341e-06,4.218147435734510e-07
3.929814284840008e+00,7.200515146468383e-04,1.826838529634633e-06,4.328584000269854e-07
4.003022756815727e+00,7.423515214213328e-04,1.863795715066133e-06,4.440430031335888e-07
4.077595028701709e+00,7.652181130188007e-04,1.900335510061936e-06,4.553582331850794e-07
4.153556506713180e+00,7.886571092544043e-04,1.936339328451396e-06,4.667924930821702e-07
4.230933070357498e+00,8.126736670738714e-04,1.971678266621628e-06,4.783328096652160e-07
4.309751081251114e+00,8.372722054257351e-04,2.006212382006996e-06,4.899647284517372e-07
4.390037392100772e+00,8.624563244502432e-04,2.039789925457264e-06,5.016722013686573e-07
4.471819355852031e+00,8.882287186084950e-04,2.072246524668914e-06,5.134374670423427e-07
4.555124835008201e+00,9.145910833519270e-04,2.103404315696720e-06,5.252409231832364e-07
4.639982211122903e+00,9.415440149074657e-04,2.133071019385497e-06,5.370609905740113e-07
4.726420394469435e+00,9.690869027273002e-04,2.161038959374370e-06,5.488739681406776e-07
4.814468833890299e+00,9.972178141243835e-04,2.187084018127548e-06,5.606538785548322e-07
4.904157526830193e+00,1.025933370585150e-03,2.210964527235642e-06,5.723723037821847e-07
4.995517029555923e+00,1.055228615219629e-03,2.232420088009899e-06,5.839982099574523e-07
5.088578467566691e+00,1.085096870775895e-03,2.251170318158122e-06,5.954977609286800e-07
5.183373546198318e+00,1.115529587610617e-03,2.266913520087553e-06,6.068341197748032e-07
5.279934561425018e+00,1.146516180970135e-03,2.279325266137415e-06,6.179672375588263e-07
5.378294410862393e+00,1.178043856897009e-03,2.288056895874487e-06,6.288536285353774e-07
5.478486604975407e+00,1.210097426035070e-03,2.292733921440262e-06,6.394461309868311e-07
5.580545278495145e+00,1.242659104561642e-03,2.293419954606682e-06,6.496936528445751e-07
5.684505202048268e+00,1.275708301428604e-03,2.293388598186072e-06,6.595495793255654e-07
5.790401794003101e+00,1.309221391044149e-03,2.293356069454655e-06,6.690003641928361e-07
5.898271132536405e+00,1.343171470474370e-03,2.293322324717549e-06,6.780417342344292e-07
6.008149967924949e+00,1.377528100188262e-03,2.293287318658920e-06,6.866698746304284e-07
6.120075735066042e+00,1.412257095138490e-03,2.293251004282296e-06,6.948814912226188e-07
6.234086566231336e+00,1.447320426271660e-03,2.293213332848702e-06,7.026738766158754e-07
6.350221304058198e+00,1.482676691810626e-03,2.293174253812537e-06,7.100449299970379e-07
6.468519514783105e+00,1.518281359791808e-03,2.293133714755136e-06,7.169932726231239e-07
6.589021501721570e+00,1.554087503667020e-03,2.293091661315911e-06,7.235182937660716e-07
6.711768318999177e+00,1.590045393788754e-03,2.293048037120983e-06,7.296202105448991e-07
6.836801785538416e+00,1.626103896325390e-03,2.293002783709244e-06,7.353001993891417e-07
6.964164499306073e+00,1.662209408166251e-03,2.292955840455727e-06,7.405604344560431e-07
7.093899851826046e+00,1.698307756946450e-03,2.292907144492195e-06,7.454041965329650e-07
7.226052042962504e+00,1.734342779238858e-03,2.292856630624870e-06,7.498359900435774e-07
7.360666095978456e+00,1.770258470749859e-03,2.292804231249183e-06,7.538616056044901e-07
7.497787872874841e+00,1.805997141699942e-03,2.292749876261428e-06,7.574883157883701e-07
7.637464090015364e+00,1.841502195985430e-03,2.292693492967250e-06,7.607248958433512e-07
7.779742334042411e+00,1.876716337417952e-03,2.292635005986814e-06,7.635818385643082e-07
7.924671078089470e+00,1.911581027740821e-03,2.292574337156558e-06,7.660714521302388e-07
8.072299698295556e+00,1.946041230798494e-03,2.292511405427422e-06,7.682080225477667e-07
8.222678490627297e+00,1.980041736564351e-03,2.292446126759396e-06,7.700079760903648e-07
8.375858688014397e+00,2.013526915578959e-03,2.292378414012282e-06,7.714900370960477e-07
8.531892477804297e+00,2.046444438670710e-03,2.292308176832542e-06,7.726754349382337e-07
8.690833019542037e+00,2.078742559504473e-03,2.292235321536082e-06,7.735880857690031e-07
8.852734463081294e+00,2.110371051389862e-03,2.292159750986819e-06,7.742547767595702e-07
9.017651967032844e+00,2.141283656488901e-03,2.292081364470925e-06,7.747054567639757e-07
9.185641717556678e+00,2.171433465024056e-03,2.292000057566554e-06,7.749733883940687e-07
9.356760947504235e+00,2.200779524406982e-03,2.291915722008912e-06,7.750954686560141e-07
9.531067955917164e+00,2.229281860991824e-03,2.291828245550532e-06,7.751124651411768e-07
9.708622127889400e+00,2.256903086987263e-03,2.291737511816534e-06,7.750693066400397e-07
9.889483954799209e+00,2.283612381735825e-03,2.291643400154756e-06,7.750835759516628e-07
1.007371505491816e+01,2.309379030811529e-03,2.291545785480543e-06,7.750224231854661e-07
1.026137819440399e+01,2.334178317791572e-03,2.291444538116012e-06,7.749589679383893e-07
1.045253730868459e+01,2.357991494934697e-03,2.291339523623634e-06,7.748931641198375e-07
1.064725752424031e+01,2.380801288020596e-03,2.291230602633886e-06,7.748249169870324e-07
1.084560518079206e+01,2.402599830302245e-03,2.291117630666829e-06,7.747541483625483e-07
1.104764785390276e+01,2.423377055844621e-03,2.291000457947363e-06,7.746807625157149e-07
1.125345437799986e+01,2.443137891664823e-03,2.290878929213949e-06,7.746046577661245e-07
1.146309486982666e+01,2.461873906462490e-03,2.290752883520616e-06,7.745257423924859e-07
1.167664075233059e+01,2.479606611569334e-03,2.290622154031955e-06,7.744439061182666e-07
1.189416477899648e+01,2.496329376443741e-03,2.290486567810935e-06,7.743590496099325e-07
1.211574105863311e+01,2.512071021778119e-03,2.290345945599259e-06,7.742710572064538e-07
1.234144508062154e+01,2.526830400416759e-03,2.290200101590012e-06,7.741798079865738e-07
1.257135374063379e+01,2.540648221071413e-03,2.290048843192345e-06,7.740852062300733e-07
1.280554536683057e+01,2.553533349124160e-03,2.289891970787964e-06,7.739871014344451e-07
1.304409974654716e+01,2.565495322210133e-03,2.289729277479079e-06,7.738853797755586e-07
1.328709815347632e+01,2.576573553773498e-03,2.289560548827606e-06,7.737799095236932e-07
1.353462337535764e+01,2.586810470957968e-03,2.289385562585272e-06,7.736705491991667e-07
1.378675974218269e+01,2.596202382979852e-03,2.289204088414375e-06,7.735571630025533e-07
1.404359315492567e+01,2.604810292982602e-03,2.289015887598838e-06,7.734395928802871e-07
1.430521111480914e+01,2.612633581960724e-03,2.288820712745279e-06,7.733176942317044e-07
1.457170275311511e+01,2.619736304221307e-03,2.288618307473779e-06,7.731913175150970e-07
1.484315886155138e+01,2.626114679887401e-03,2.288408406097951e-06,7.730602861138598e-07
1.511967192318357e+01,2.631833637002380e-03,2.288190733294043e-06,7.729244379736676e-07
1.540133614394343e+01,2.636891376140724e-03,2.287965003758650e-06,7.727835981875592e-07
1.568824748472411e+01,2.641335781784313e-03,2.287730921854738e-06,7.726375826955128e-07
1.598050369407328e+01,2.645217256878896e-03,2.287488181245529e-06,7.724862048109981e-07
1.627820434149536e+01,2.648528191473946e-03,2.287236464515930e-06,7.723292721186387e-07
1.658145085137411e+01,2.651333978493571e-03,2.286975442781064e-06,7.721665759222434e-07
1.689034653752712e+01,2.653629616510195e-03,2.286704775281521e-06,7.719979173850750e-07
