# energy,pi_pi_pi0,pi_pi_a,mu_mu
1.070810899334218e-01,2.950524933322652e-07,6.149664634301437e-08,1.397216505345769e-11
1.090759025131820e-01,3.061349942139841e-07,6.380604563961407e-08,1.449636843991358e-11
1.111078764370306e-01,3.176335152323653e-07,6.620210870237857e-08,1.504021503600967e-11
1.131777039832840e-01,3.295636588420409e-07,6.868808420512717e-08,1.560443956984232e-11
1.152860903267047e-01,3.419416118375279e-07,7.126734240062493e-08,1.618980417378547e-11
1.174337537787491e-01,3.547841671912274e-07,7.394337965911244e-08,1.679709940220813e-11
1.196214260322904e-01,3.681087467048900e-07,7.671982317560260e-08,1.742714528673314e-11
1.218498524109016e-01,3.819334245047012e-07,7.960043585218282e-08,1.808079243040763e-11
1.241197921227808e-01,3.962769514112409e-07,8.258912136178839e-08,1.875892314220403e-11
1.264320185194088e-01,4.111587802167282e-07,8.568992940015135e-08,1.946245261332246e-11
1.287873193590230e-01,4.265990919031421e-07,8.890706113287142e-08,2.019233013681686e-11
1.311864970750017e-01,4.426188228360588e-07,9.224487484481333e-08,2.094954037212250e-11
1.336303690492466e-01,4.592396929703055e-07,9.570789179929420e-08,2.173510465611831e-11
1.361197678906590e-01,4.764842351048719e-07,9.930080231479987e-08,2.255008236241641e-11
1.386555417188033e-01,4.943758252258861e-07,1.030284720672510e-07,2.339557231063075e-11
1.412385544528547e-01,5.129387139778765e-07,1.068959486261304e-07,2.427271422743987e-11
1.438696861059307e-01,5.321980593050364e-07,1.109084682330894e-07,2.518269026132312e-11
1.465498330849044e-01,5.521799603057093e-07,1.150714628319615e-07,2.612672655291627e-11
1.492799084958036e-01,5.729114923449129e-07,1.193905673594387e-07,2.710609486300172e-11
1.520608424548998e-01,5.944207434713523e-07,1.238716273060022e-07,2.812211426021990e-11
1.548935824055910e-01,6.167368521870684e-07,1.285207065570473e-07,2.917615287066243e-11
1.577790934411895e-01,6.398900466196356e-07,1.333440955245047e-07,3.026962969158361e-11
1.607183586337211e-01,6.639116851486310e-07,1.383483195796309e-07,3.140401647154622e-11
1.637123793688509e-01,6.888342985400002e-07,1.435401477980347e-07,3.258083965939922e-11
1.667621756870478e-01,7.146916336438894e-07,1.489266020283988e-07,3.380168242456885e-11
1.698687866311046e-01,7.415186987135436e-07,1.545149662967783e-07,3.506818675123266e-11
1.730332706001324e-01,7.693518104049659e-07,1.603127965587843e-07,3.638205560903580e-11
1.762567057101486e-01,7.982286425192117e-07,1.663279308124056e-07,3.774505520310173e-11
1.795401901613838e-01,8.281882765514323e-07,1.725684995846853e-07,3.915901730618689e-11
1.828848426124295e-01,8.592712541131265e-07,1.790429368059427e-07,4.062584167592738e-11
1.862918025613577e-01,8.915196312964547e-07,1.857599910857280e-07,4.214749856022895e-11
1.897622307339385e-01,9.249770350519938e-07,1.927287374052065e-07,4.372603129395891e-11
1.932973094790912e-01,9.596887216538734e-07,1.999585892412004e-07,4.536355899020573e-11
1.968982431717015e-01,9.957016373289391e-07,2.074593111376617e-07,4.706227932948888e-11
2.005662586229432e-01,1.033064481129347e-06,2.152410317409198e-07,4.882447145041629e-11
2.043026054982435e-01,1.071827770130871e-06,2.233142573156321e-07,5.065249894540798e-11
2.081085567430345e-01,1.112043907042194e-06,2.316898857589741e-07,5.254881296523088e-11
2.119854090164365e-01,1.153767250313517e-06,2.403792211312357e-07,5.451595543621701e-11
2.159344831330198e-01,1.197054186836015e-06,2.493939887216376e-07,5.655656239417164e-11
2.199571245127965e-01,1.241963207326981e-06,2.587463506688600e-07,5.867336743911483e-11
2.240547036395949e-01,1.288554984498904e-06,2.684489221564650e-07,6.086920531514204e-11
2.282286165279732e-01,1.336892454114277e-06,2.785147882041250e-07,6.314701561983593e-11
2.324802851988314e-01,1.387040899031585e-06,2.889575210763033e-07,6.550984664781229e-11
2.368111581638826e-01,1.439068036351711e-06,2.997911983308152e-07,6.796085937313911e-11
2.412227109191507e-01,1.493044107777948e-06,3.110304215304875e-07,7.050333157552901e-11
2.457164464476607e-01,1.549041973306823e-06,3.226903356419657e-07,7.314066211537047e-11
2.502938957314934e-01,1.607137208371177e-06,3.347866491465681e-07,7.587637536283491e-11
2.549566182733802e-01,1.667408204561286e-06,3.473356548889700e-07,7.871412578647299e-11
2.597062026280135e-01,1.729936274054288e-06,3.603542516904144e-07,8.165770270689503e-11
2.645442669432556e-01,1.794805757886859e-06,3.738599667540904e-07,8.471103522131864e-11
2.694724595114296e-01,1.862104138210908e-06,3.878709788912957e-07,8.787819730495956e-11
2.744924593308800e-01,1.931922154676987e-06,4.024061425980080e-07,9.116341309544008e-11
2.796059766779952e-01,2.004353925095360e-06,4.174850130125375e-07,9.457106236659617e-11
2.848147536898859e-01,2.079497070529914e-06,4.331278717860059e-07,9.810568619827448e-11
2.901205649579179e-01,2.157452844985676e-06,4.493557538985179e-07,1.017719928489283e-10
2.955252181323021e-01,2.238326269856376e-06,4.661904754550388e-07,1.055748638380463e-10
3.010305545379480e-01,2.322226273304419e-06,4.836546624961881e-07,1.095193602456778e-10
3.066384498017883e-01,2.409265834751690e-06,5.017717808603830e-07,1.136107292365557e-10
3.123508144917919e-01,2.499562134665976e-06,5.205661671350461e-07,1.178544108165652e-10
3.181695947678797e-01,2.593236709834291e-06,5.400630607358969e-07,1.222560448295521e-10
3.240967730449667e-01,2.690415614321120e-06,5.602886371547124e-07,1.268214782027298e-10
3.301343686683561e-01,2.791229586316606e-06,5.812700424173373e-07,1.315567724492067e-10
3.362844386017150e-01,2.895814221086880e-06,6.030354287951770e-07,1.364682114364263e-10
3.425490781278666e-01,3.004310150246226e-06,6.256139918149059e-07,1.415623094296012e-10
3.489304215626373e-01,3.116863227578424e-06,6.490360086126556e-07,1.468458194195022e-10
3.554306429820022e-01,3.233624721642621e-06,6.733328776805590e-07,1.523257417442651e-10
3.620519569627769e-01,3.354751515407297e-06,6.985371600551656e-07,1.580093330151846e-10
3.687966193371066e-01,3.480406313164343e-06,7.246826219989333e-07,1.639041153567687e-10
3.756669279610113e-01,3.610757854984138e-06,7.518042792277793e-07,1.700178859716594e-10
3.826652234972487e-01,3.745981138981522e-06,7.799384427394657e-07,1.763587270413444e-10
3.897938902127601e-01,3.886257651671927e-06,8.091227662994679e-07,1.829350159739309e-10
3.970553567909724e-01,4.031775606706664e-06,8.393962956429073e-07,1.897554360105909e-10
4.044520971592324e-01,4.182730192286315e-06,8.707995194531142e-07,1.968289872026482e-10
4.119866313316551e-01,4.339323827561498e-06,9.033744221794389e-07,2.041649977716384e-10
4.196615262676742e-01,4.501766428340991e-06,9.371645387590507e-07,2.117731358650465e-10
4.274793967465854e-01,4.670275682438122e-06,9.722150113096385e-07,2.196634217208046e-10
4.354429062583824e-01,4.845077334997776e-06,1.008572647862182e-06,2.278462402540273e-10
4.435547679111883e-01,5.026405484158016e-06,1.046285983205279e-06,2.363323540798567e-10
4.518177453555904e-01,5.214502887412506e-06,1.085405341914911e-06,2.451329169866996e-10
4.602346537261964e-01,5.409621279052318e-06,1.125982903645979e-06,2.542594878745516e-10
4.688083606007289e-01,5.612021699078665e-06,1.168072770764504e-06,2.637240451735350e-10
4.775417869769878e-01,5.821974833991353e-06,1.211731038401960e-06,2.735390017582032e-10
4.864379082680128e-01,6.039761369871474e-06,1.257015867015959e-06,2.837172203736140e-10
4.954997553157838e-01,6.265672358190980e-06,1.303987557544219e-06,2.942720295896196e-10
5.047304154238066e-01,6.500009594796404e-06,1.352708629241647e-06,3.052172403002856e-10
5.141330334089338e-01,6.743086012528949e-06,1.403243900293283e-06,3.165671627858147e-10
5.237108126727804e-01,6.995226087958776e-06,1.455660571298885e-06,3.283366243548287e-10
5.334670162930990e-01,7.256766262727168e-06,1.510028311728048e-06,3.405409875853484e-10
5.434049681354858e-01,7.528055380006788e-06,1.566419349447936e-06,3.531961691832939e-10
5.535280539857964e-01,7.809455136607194e-06,1.624908563429018e-06,3.663186594778371e-10
5.638397227036587e-01,8.101340551270261e-06,1.685573579737580e-06,3.799255425734325e-10
5.743434873974722e-01,8.404100449717999e-06,1.748494870927236e-06,3.940345171788737e-10
5.850429266212995e-01,8.718137967034133e-06,1.813755858945283e-06,4.086639181342295e-10
5.959416855940511e-01,9.043871067979402e-06,1.881443021673362e-06,4.238327386570435e-10
6.070434774413854e-01,9.381733085860613e-06,1.951646003225719e-06,4.395606533297111e-10
6.183520844607422e-01,9.732173280593444e-06,2.024457728132175e-06,4.558680418504662e-10
6.298713594099435e-01,1.009565741661976e-05,2.099974519536920e-06,4.727760135709593e-10
6.416052268197995e-01,1.047266836136181e-05,2.178296221548329e-06,4.903064328439376e-10
6.535576843311660e-01,1.086370670491734e-05,2.259526325879151e-06,5.084819452050742e-10
6.657328040569119e-01,1.126929140172254e-05,2.343772102920733e-06,5.273260044135449e-10
6.781347339692566e-01,1.168996043493290e-05,2.431144737399338e-06,5.468629003764734e-10
6.907676993129537e-01,1.212627150429570e-05,2.521759468767114e-06,5.671177879829179e-10
7.036360040448000e-01,1.257880273831288e-05,2.615735736484861e-06,5.881167168735937e-10
7.167440322999614e-01,1.304815343151759e-05,2.713197330358506e-06,6.098866621730684e-10
7.300962498856154e-01,1.353494480771427e-05,2.814272546096015e-06,6.324555562116769e-10
7.436972058024175e-01,1.403982081005794e-05,2.919094346256364e-06,6.558523212649293e-10
7.575515337943122e-01,1.456344891887622e-05,3.027800526767329e-06,6.801069033386891e-10
7.716639539272144e-01,1.510652099816520e-05,3.140533889193942e-06,7.052503070288874e-10
7.860392741971015e-01,1.566975417171897e-05,3.257442418944789e-06,7.313146314850297e-10
8.006823921680606e-01,1.625389172988204e-05,3.378679469608616e-06,7.583331075072063e-10
8.155982966408525e-01,1.685970406794382e-05,3.504403953619358e-06,7.863401358067777e-10
8.307920693525587e-01,1.748798965722541e-05,3.634780539453109e-06,8.153713264613089e-10
8.462688867078912e-01,1.813957604993999e-05,3.769979855566393e-06,8.454635395947523e-10
8.620340215427552e-01,1.881532091894093e-05,3.910178701290853e-06,8.766549273142337e-10
8.780928449206640e-01,1.951611313350425e-05,4.055560264905356e-06,9.089849769351413e-10
8.944508279626209e-01,2.024287387232613e-05,4.206314349112542e-06,9.424945555265324e-10
9.111135437110888e-01,2.099655777495021e-05,4.362637604152944e-06,9.772259558091231e-10
9.280866690286854e-01,2.177815413287545e-05,4.524733768795968e-06,1.013222943438375e-09
9.453759865322453e-01,2.258868812162981e-05,4.692813919453291e-06,1.050530805705339e-09
9.629873865629164e-01,2.342922207513330e-05,4.867096727666642e-06,1.089196401688078e-09
9.809268691929541e-01,2.430085680371010e-05,5.047808726228275e-06,1.129268213886512e-09
9.992005462699015e-01,2.520473295714786e-05,5.235184584198998e-06,1.170796401373573e-09
1.017814643498850e+00,2.614203243424113e-05,5.429467391095160e-06,1.213832854495456e-09
1.036775502563490e+00,2.711397984029517e-05,5.630908950522598e-06,1.258431251153626e-09
1.056089583286676e+00,2.812184399410634e-05,5.839770083542184e-06,1.304647114701000e-09
1.075763465831240e+00,2.916693948597616e-05,6.056320942058403e-06,1.352537873484412e-09
1.095803852941801e+00,3.025062828835703e-05,6.280841332528857e-06,1.402162922065033e-09
1.116217572228345e+00,3.137432142076984e-05,6.513621050299653e-06,1.453583684147915e-09
1.137011578492336e+00,3.253948067067588e-05,6.754960224878022e-06,1.506863677251145e-09
1.158192956096167e+00,3.374762037202812e-05,7.005169676460419e-06,1.562068579144343e-09
1.179768921376748e+00,3.500030924327061e-05,7.264571284040926e-06,1.619266296085328e-09
1.201746825104061e+00,3.629917228659822e-05,7.533498365431483e-06,1.678527032882696e-09
1.224134154985508e+00,3.764589275033292e-05,7.812296069531824e-06,1.739923364810830e-09
1.246938538216922e+00,3.904221415631758e-05,8.101321781193734e-06,1.803530311402477e-09
1.270167744081090e+00,4.048994239427199e-05,8.400945539030281e-06,1.869425412142405e-09
1.293829686594694e+00,4.199094788510163e-05,8.711550466527124e-06,1.937688804083908e-09
1.317932427204553e+00,4.354716781519318e-05,9.033533216818841e-06,2.008403301407837e-09
1.342484177534105e+00,4.516060844377692e-05,9.367304431499222e-06,2.081654476941670e-09
1.367493302181035e+00,4.683334748547916e-05,9.713289213839912e-06,2.157530745653553e-09
1.392968321567041e+00,4.856753657023383e-05,1.007192761679739e-05,2.236123450133499e-09
1.418917914840672e+00,5.036540378276513e-05,1.044367514619302e-05,2.317526948070858e-09
1.445350922834251e+00,5.222925628389724e-05,1.082900327945595e-05,2.401838701733741e-09
1.472276351075880e+00,5.416148301598987e-05,1.122840000032269e-05,2.489159369452413e-09
1.499703372857557e+00,5.616455749484103e-05,1.164237034989149e-05,2.579592899104478e-09
1.527641332360445e+00,5.824104069043801e-05,1.207143699443252e-05,2.673246623595290e-09
1.556099747838369e+00,6.039358399898019e-05,1.251614081035861e-05,2.770231358322017e-09
1.585088314860611e+00,6.262493230863377e-05,1.297704148676275e-05,2.870661500604493e-09
1.614616909615118e+00,6.493792716151672e-05,1.345471814593091e-05,2.974655131060143e-09
1.644695592273245e+00,6.733551001444797e-05,1.394976998223947e-05,3.082334116893812e-09
1.675334610417184e+00,6.982072560102793e-05,1.446281691984683e-05,3.193824217066594e-09
1.706544402531233e+00,7.239672539764859e-05,1.499450028958794e-05,3.309255189300065e-09
1.738335601558114e+00,7.506677119606086e-05,1.554548352547928e-05,3.428760898864296e-09
1.770719038521533e+00,7.783423878515148e-05,1.611645288123884e-05,3.552479429089242e-09
1.803705746216233e+00,8.070262174460633e-05,1.670811816722217e-05,3.680553193529394e-09
1.837306962966782e+00,8.367553535315344e-05,1.732121350817042e-05,3.813129049701527e-09
1.871534136456386e+00,8.675672061409720e-05,1.795649812216027e-05,3.950358414303997e-09
1.906398927627032e+00,8.995004840086397e-05,1.861475712113777e-05,4.092397379814210e-09
1.941913214652279e+00,9.325952372528648e-05,1.929680233340876e-05,4.239406832347848e-09
1.978089096984066e+00,9.668929013135450e-05,2.000347314844786e-05,4.391552570649471e-09
2.014938899474905e+00,1.002436342171554e-04,2.073563738437483e-05,4.549005426069177e-09
2.052475176576865e+00,1.039269902877162e-04,2.149419217843275e-05,4.711941383363706e-09
2.090710716618778e+00,1.077439451414412e-04,2.228006490078512e-05,4.880541702143124e-09
2.129658546163133e+00,1.116992429928121e-04,2.309421409192998e-05,5.054993038765435e-09
2.169331934444122e+00,1.157977905339877e-04,2.393763042400731e-05,5.235487568461465e-09
2.209744397888370e+00,1.200446621378910e-04,2.481133768625153e-05,5.422223107450820e-09
2.250909704719886e+00,1.244451052053278e-04,2.571639379481373e-05,5.615403234786574e-09
2.292841879650785e+00,1.290045456586088e-04,2.665389182714740e-05,5.815237413641626e-09
2.335555208659410e+00,1.337285935840802e-04,2.762496108111804e-05,6.021941111723017e-09
2.379064243857454e+00,1.386230490258776e-04,2.863076815895923e-05,6.235735920472131e-09
2.423383808447760e+00,1.436939079331200e-04,2.967251807615685e-05,6.456849672678214e-09
2.468529001774467e+00,1.489473682626421e-04,3.075145539529677e-05,6.685516558099857e-09
2.514515204467252e+00,1.543898362392424e-04,3.186886538486270e-05,6.921977236654521e-09
2.561358083681391e+00,1.600279327752655e-04,3.302607520291471e-05,7.166478948698438e-09
2.609073598435443e+00,1.658685000511846e-04,3.422445510551990e-05,7.419275621879574e-09
2.657678005048369e+00,1.719186082586564e-04,3.546541967974110e-05,7.680627974003561e-09
2.707187862677936e+00,1.781855625073222e-04,3.675042910091765e-05,7.950803611306895e-09
2.757620038962299e+00,1.846769098963958e-04,3.808099041389542e-05,8.230077121482808e-09
2.808991715766683e+00,1.914004467518331e-04,3.945865883777800e-05,8.518730160753685e-09
2.861320395037108e+00,1.983642260295929e-04,4.088503909367977e-05,8.817051534227586e-09
2.914623904763180e+00,2.055765648851994e-04,4.236178675486182e-05,9.125337268717850e-09
2.968920405051946e+00,2.130460524094763e-04,4.389060961852428e-05,9.443890677141100e-09
3.024228394314913e+00,2.207815575299557e-04,4.547326909841137e-05,9.773022413541487e-09
3.080566715570312e+00,2.287922370770630e-04,4.711158163726007e-05,1.011305051771724e-08
3.137954562862781e+00,2.370875440137379e-04,4.880742013798686e-05,1.046430044834861e-08
3.196411487802624e+00,2.456772358266732e-04,5.056271541235950e-05,1.082710510344463e-08
3.255957406226907e+00,2.545713830768297e-04,5.237945764574329e-05,1.120180482683897e-08
3.316612604984626e+00,2.637803781063218e-04,5.425969787633919e-05,1.158874739937197e-08
3.378397748848292e+00,2.733149438981466e-04,5.620554948714842e-05,1.198828801329748e-08
3.441333887554261e+00,2.831861430845683e-04,5.821918970869912e-05,1.240078922834720e-08
3.505442462974222e+00,2.934053870992398e-04,6.030286113035856e-05,1.282662090777345e-08
3.570745316420282e+00,3.039844454673645e-04,6.245887321782460e-05,1.326616013257139e-08
3.637264696086140e+00,3.149354552273547e-04,6.468960383414594e-05,1.371979109195487e-08
3.705023264626875e+00,3.262709304765244e-04,6.699750076135415e-05,1.418790494802455e-08
3.774044106879949e+00,3.380037720323753e-04,6.938508321951071e-05,1.467089967242295e-08
3.844350737730037e+00,3.501472771999627e-04,7.185494337966502e-05,1.516917985261775e-08
3.915967110120367e+00,3.627151496346864e-04,7.440974786689650e-05,1.568315646529184e-08
3.988917623213316e+00,3.757215092886161e-04,7.705223924926392e-05,1.621324661414511e-08
4.063227130703019e+00,3.891809024271327e-04,7.978523750811121e-05,1.675987322922863e-08
4.138920949282835e+00,4.031083117012352e-04,8.261164148477948e-05,1.732346472473599e-08
4.216024867270558e+00,4.175191662593343e-04,8.553443029834715e-05,1.790445461196795e-08
4.294565153394301e+00,4.324293518806944e-04,8.855666472856075e-05,1.850328106396516e-08
4.374568565742059e+00,4.478552211109298e-04,9.168148855763172e-05,1.912038642806867e-08
4.456062360877985e+00,4.638136033780427e-04,9.491212986404752e-05,1.975621668241692e-08
4.539074303128500e+00,4.803218150654739e-04,9.825190226098952e-05,2.041122083212309e-08
4.623632674041393e+00,4.973976695164342e-04,1.017042060713496e-04,2.108585024059361e-08
4.709766282021128e+00,5.150594869414592e-04,1.052725294307005e-04,2.178055789114898e-08
4.797504472143653e+00,5.333261041986168e-04,1.089604493088925e-04,2.249579757378935e-08
4.886877136154062e+00,5.522168844131181e-04,1.127716324402237e-04,2.323202299160918e-08
4.977914722650463e+00,5.717517264001981e-04,1.167098361513489e-04,2.398968678100509e-08
5.070648247457605e+00,5.919510738520916e-04,1.207789090752741e-04,2.476923943944127e-08
5.165109304193734e+00,6.128359242466094e-04,1.249827917388884e-04,2.557112815412964e-08
5.261330075034304e+00,6.344278374313348e-04,1.293255170105541e-04,2.639579552455366e-08
5.359343341676199e+00,6.567489438336947e-04,1.338112103932625e-04,2.724367817130730e-08
5.459182496506217e+00,6.798219522431639e-04,1.384440901478005e-04,2.811520522323667e-08
5.560881553977600e+00,7.036701571075663e-04,1.432284672292282e-04,2.901079667435767e-08
5.664475162198512e+00,7.283174452808789e-04,1.481687450187536e-04,2.993086160147717e-08
5.769998614736383e+00,7.537883021550622e-04,1.532694188317985e-04,3.087579623286694e-08
5.877487862642167e+00,7.801078171032323e-04,1.585350751816708e-04,3.184598185772456e-08
5.986979526698597e+00,8.073016881559468e-04,1.639703907767909e-04,3.284178256550485e-08
6.098510909896610e+00,8.353962258264425e-04,1.695801312278587e-04,3.386354280351332e-08
6.212120010144194e+00,8.644183559943608e-04,1.753691494396880e-04,3.491158474042067e-08
6.327845533211999e+00,8.943956217507577e-04,1.813423836606631e-04,3.598620542257928e-08
6.445726905920095e+00,9.253561841000262e-04,1.875048551608920e-04,3.708767370919788e-08
6.565804289570401e+00,9.573288214067124e-04,1.938616655081318e-04,3.821622697155650e-08
6.688118593629334e+00,9.903429274670630e-04,2.004179934084290e-04,3.937206754051536e-08
6.812711489665369e+00,1.024428508076484e-03,2.071790910761563e-04,4.055535888558933e-08
6.939625425546216e+00,1.059616175954817e-03,2.141502800957178e-04,4.176622150781510e-08
7.068903639900502e+00,1.095937143881567e-03,2.213369467346410e-04,4.300472852753479e-08
7.200590176848844e+00,1.133423215882681e-03,2.287445366650447e-04,4.427090094704570e-08
7.334729901009355e+00,1.172106776299395e-03,2.363785490475903e-04,4.556470256682553e-08
7.471368512782676e+00,1.212020776557777e-03,2.442445299289446e-04,4.688603453272365e-08
7.610552563921770e+00,1.253198719445002e-03,2.523480649005213e-04,4.823472949011442e-08
7.752329473391750e+00,1.295674640684962e-03,2.606947709627994e-04,4.961054531952843e-08
7.896747543525169e+00,1.339483087591578e-03,2.692902875358294e-04,5.101315842670914e-08
8.043855976478259e+00,1.384659094562953e-03,2.781402665526316e-04,5.244215655837981e-08
8.193704890993745e+00,1.431238155163455e-03,2.872503615680240e-04,5.389703111324457e-08
8.346345339475915e+00,1.479256190523558e-03,3.020403880925317e-04,5.537716891587703e-08
8.501829325383806e+00,1.528749513769159e-03,3.374160715078760e-04,5.688184341917027e-08
8.660209820948380e+00,1.579754790172613e-03,3.828378502305883e-04,5.841020529891600e-08
8.821540785219774e+00,1.632308992697197e-03,3.930445346892783e-04,5.996127240184497e-08
