# energy,pi_pi_pi0,pi_e_ve,pi_mu_vm,pi_pi
7.124643673228880e-02,1.289478771308159e-07,2.718060456513339e-07,3.512430446929300e-07,3.000814295459060e-09
7.257368590714335e-02,1.337920904536660e-07,2.820119903722826e-07,3.644334569885923e-07,3.113477038359870e-09
7.392566039392855e-02,1.388181930069759e-07,2.926008572103837e-07,3.781188650906986e-07,3.230366050441285e-09
7.530282080023912e-02,1.440330089390980e-07,3.035869962762909e-07,3.923178246889443e-07,3.351639667637928e-09
7.670563631432423e-02,1.494436181210668e-07,3.149852944881661e-07,4.070495859216094e-07,3.477462146348099e-09
7.813458486493632e-02,1.550573657118388e-07,3.268111955972862e-07,4.223341193002350e-07,3.608003884150696e-09
7.959015328415793e-02,1.608818720803199e-07,3.390807209575434e-07,4.381921425983763e-07,3.743441648712734e-09
8.107283747326170e-02,1.669250430974265e-07,3.518104910662935e-07,4.546451487400710e-07,3.883958815189302e-09
8.258314257166023e-02,1.731950808119233e-07,3.650177479050024e-07,4.717154347249621e-07,4.029745612428649e-09
8.412158312900332e-02,1.797004945242842e-07,3.787203781091892e-07,4.894261316283762e-07,4.180999378306629e-09
8.568868328048121e-02,1.864501122733456e-07,3.929369369982319e-07,5.078012357160482e-07,4.337924824526423e-09
8.728497692539340e-02,1.934530927510696e-07,4.076866734967189e-07,5.268656407146416e-07,4.500734311231674e-09
8.891100790904434e-02,2.007189376612988e-07,4.229895559801884e-07,5.466451712807189e-07,4.669648131793934e-09
9.056733020802726e-02,2.082575045389633e-07,4.388662990792833e-07,5.671666177123632e-07,4.844894808148260e-09
9.225450811895995e-02,2.160790200468146e-07,4.553383914776003e-07,5.884577719492804e-07,5.026711397064462e-09
9.397311645073650e-02,2.241940937673844e-07,4.724281247397840e-07,6.105474649088753e-07,5.215343807755594e-09
9.572374072036016e-02,2.326137325085152e-07,4.901586232077481e-07,6.334656052075179e-07,5.411047131239651e-09
9.750697735242475e-02,2.413493551414907e-07,5.085538750042862e-07,6.572432193180305e-07,5.614085981885736e-09
9.932343388231203e-02,2.504128079914868e-07,5.276387641847530e-07,6.819124932162637e-07,5.824734851591359e-09
1.011737291631745e-01,2.598163808007917e-07,5.474391040789764e-07,7.075068155715648e-07,6.043278477053761e-09
1.030584935767739e-01,2.695728232859908e-07,5.679816718670844e-07,7.340608225379260e-07,6.270012220614917e-09
1.049783692482478e-01,2.796953623110959e-07,5.892942444345151e-07,7.616104442046766e-07,6.505242465177037e-09
1.069340102648767e-01,2.901977196993970e-07,6.114056355531197e-07,7.901929527677044e-07,6.749287023703489e-09
1.089260828989264e-01,3.010941307076542e-07,6.343457344369539e-07,8.198470124844179e-07,7.002475563838434e-09
1.109552658346425e-01,3.123993631871117e-07,6.581455457231189e-07,8.506127314779435e-07,7.265150048197783e-09
1.130222503994728e-01,3.241287374567142e-07,6.828372309298263e-07,8.825317154584340e-07,7.537665190903932e-09
1.151277407995972e-01,3.362981469148264e-07,7.084541514457393e-07,9.156471234318114e-07,7.820388930957199e-09
1.172724543598457e-01,3.489240794167316e-07,7.350309131066005e-07,9.500037254688192e-07,8.113702923058346e-09
1.194571217680859e-01,3.620236394461730e-07,7.626034124171594e-07,9.856479626098953e-07,8.418003046518466e-09
1.216824873241620e-01,3.756145711102324e-07,7.912088844785085e-07,1.022628008984089e-06,8.733699932915266e-09
1.239493091934731e-01,3.897152819879216e-07,8.208859526830969e-07,1.060993836223089e-06,9.061219513178598e-09
1.262583596652741e-01,4.043448678639586e-07,8.516746802419209e-07,1.100797280254348e-06,9.401003584812180e-09
1.286104254157887e-01,4.195231383803536e-07,8.836166236107050e-07,1.142092110560285e-06,9.753510399983941e-09
1.310063077762246e-01,4.352706436396209e-07,9.167548878842839e-07,1.184934101993738e-06,1.011921527524348e-08
1.334468230057804e-01,4.516087017946589e-07,9.511341842308729e-07,1.229381109243018e-06,1.049861122365203e-08
1.359328025697396e-01,4.685594276616236e-07,9.868008894404738e-07,1.275493144043310e-06,1.089220961013852e-08
1.384650934227444e-01,4.861457623934334e-07,1.023803107664319e-06,1.323332455234634e-06,1.130054083092405e-08
1.410445582973464e-01,5.043915042529205e-07,1.062190734424998e-06,1.372963611770152e-06,1.172415501788696e-08
1.436720759979339e-01,5.233213405260526e-07,1.102015522979745e-06,1.424453588782352e-06,1.216362276877195e-08
1.463485417001334e-01,5.429608806171271e-07,1.143331153122327e-06,1.477871856818471e-06,1.261953590417817e-08
1.490748672557894e-01,5.633366903693460e-07,1.186193302511962e-06,1.533290474360510e-06,1.309250825229482e-08
1.518519815036256e-01,5.844763276557673e-07,1.230659720620883e-06,1.590784183749297e-06,1.358317646238661e-08
1.546808305856932e-01,6.064083792872498e-07,1.276790305395401e-06,1.650430510636345e-06,1.409220084806701e-08
1.575623782697142e-01,6.291624992856978e-07,1.324647182728659e-06,1.712309867091642e-06,1.462026626143365e-08
1.604976062774305e-01,6.527694485726616e-07,1.374294788846774e-06,1.776505658500055e-06,1.516808299917821e-08
1.634875146190684e-01,6.772611361251540e-07,1.425799955713644e-06,1.843104394383789e-06,1.573638774182203e-08
1.665331219340353e-01,7.026706616524229e-07,1.479231999563396e-06,1.912195803293198e-06,1.632594452726905e-08
1.696354658379618e-01,7.290323598493499e-07,1.534662812673334e-06,1.983872951913272e-06,1.693754575990975e-08
1.727956032762102e-01,7.563818462841602e-07,1.592166958494169e-06,2.058232368538404e-06,1.757201325655240e-08
1.760146108839676e-01,7.847560649802005e-07,1.651821770258448e-06,2.135374171073349e-06,1.823019933050284e-08
1.792935853530475e-01,8.141933377536985e-07,1.713707453192332e-06,2.215402199723977e-06,1.891298791516001e-08
1.826336438055245e-01,8.447334153716351e-07,1.777907190460270e-06,2.298424154547091e-06,1.962129572854203e-08
1.860359241743293e-01,8.764175305961720e-07,1.844507252976605e-06,2.384551738034599e-06,2.035607348020643e-08
1.895015855909343e-01,9.092884531844574e-07,1.913597113222914e-06,2.473900802913525e-06,2.111830712207980e-08
1.930318087802606e-01,9.433905469151015e-07,1.985269563214606e-06,2.566591505349619e-06,2.190901914476317e-08
1.966277964629425e-01,9.787698287151646e-07,2.059620836765423e-06,2.662748463749040e-06,2.272926992093510e-08
2.002907737650851e-01,1.015474029964146e-06,2.136750736203553e-06,2.762500923359303e-06,2.358015909752910e-08
2.040219886356558e-01,1.053552660054200e-06,2.216762763698471e-06,2.865982926877764e-06,2.446282703842058e-08
2.078227122716511e-01,1.093057072288605e-06,2.299764257363066e-06,2.973333491283165e-06,2.537845631941749e-08
2.116942395511842e-01,1.134040532203501e-06,2.385866532301362e-06,3.084696791113322e-06,2.632827327741092e-08
2.156378894746398e-01,1.176558288400850e-06,2.475185026777982e-06,3.200222348419714e-06,2.731354961560479e-08
2.196550056140479e-01,1.220667645983795e-06,2.567839453691569e-06,3.320065229637860e-06,2.833560406680974e-08
2.237469565708287e-01,1.266428042688762e-06,2.663953957540647e-06,3.444386249620571e-06,2.939580411685378e-08
2.279151364420652e-01,1.313901127812043e-06,2.763657277076880e-06,3.573352183089742e-06,3.049556779023175e-08
2.321609652954611e-01,1.363150844032040e-06,2.867082913847318e-06,3.707135983771218e-06,3.163636550018798e-08
2.364858896531474e-01,1.414243512231949e-06,2.974369306834156e-06,3.845917011486336e-06,3.281972196550042e-08
2.408913829845022e-01,1.467247919431350e-06,3.085660013407606e-06,3.989881267483212e-06,3.404721819631111e-08
2.453789462081498e-01,1.522235409939019e-06,3.201103896814774e-06,4.139221638300521e-06,3.532049355142658e-08
2.499501082033131e-01,1.579279979843230e-06,3.320855320435087e-06,4.294138148466617e-06,3.664124786959353e-08
2.546064263306912e-01,1.638458374959902e-06,3.445074349040525e-06,4.454838222347113e-06,3.801124367733832e-08
2.593494869630404e-01,1.699850192363213e-06,3.573926957306974e-06,4.621536955464839e-06,3.943230847604568e-08
2.641809060256396e-01,1.763537985627613e-06,3.707585245831348e-06,4.794457395626998e-06,4.090633711104065e-08
2.691023295468239e-01,1.829607373914786e-06,3.846227664917610e-06,4.973830834205853e-06,4.243529422552988e-08
2.741154342187744e-01,1.898147155043681e-06,3.990039246403689e-06,5.159897107930921e-06,4.402121680235223e-08
2.792219279687543e-01,1.969249422686649e-06,4.139211843810328e-06,5.352904911562777e-06,4.566621679658660e-08
2.844235505409871e-01,2.043009687839672e-06,4.293944381102273e-06,5.553112121831100e-06,4.737248386216424e-08
2.897220740893744e-01,2.119527004719816e-06,4.454443110361842e-06,5.760786133032413e-06,4.914228817573644e-08
2.951193037812561e-01,2.198904101248417e-06,4.620921878684859e-06,5.976204204696265e-06,5.097798336115438e-08
3.006170784124161e-01,2.281247514283953e-06,4.793602404619116e-06,6.199653821742269e-06,5.288200951802669e-08
3.062172710335475e-01,2.366667729774292e-06,4.972714564476099e-06,6.431433067564526e-06,5.485689635793322e-08
3.119217895883862e-01,2.455279328003837e-06,5.158496688857541e-06,6.671851010494492e-06,5.690526645198820e-08
3.177325775637337e-01,2.547201134117174e-06,5.351195869749474e-06,6.921228104108251e-06,5.902983859356536e-08
3.236516146515880e-01,2.642556374107095e-06,5.551068278547990e-06,7.179896601859664e-06,6.123343128011878e-08
3.296809174236098e-01,2.741472836461298e-06,5.758379495392662e-06,7.448200986536652e-06,6.351896631815953e-08
3.358225400181536e-01,2.844083039668774e-06,5.973404850195774e-06,7.726498415054268e-06,6.588947255557630e-08
3.420785748400981e-01,2.950524405793772e-06,6.196429775767974e-06,8.015159179115024e-06,6.834808974562103e-08
3.484511532737108e-01,3.060939440332301e-06,6.427750173453703e-06,8.314567182284156e-06,7.089807254701496e-08
3.549424464087969e-01,3.175475918573529e-06,6.667672791703162e-06,8.625120434045565e-06,7.354279466477284e-08
3.615546657803719e-01,3.294287078695948e-06,6.916515618020870e-06,8.947231561422195e-06,7.628575313648296e-08
3.682900641221157e-01,3.417531821836008e-06,7.174608284744960e-06,9.281328338763687e-06,7.913057276892917e-08
3.751509361338620e-01,3.545374919374973e-06,7.442292489125580e-06,9.627854236323389e-06,8.208101073009109e-08
3.821396192633851e-01,3.677987227698057e-06,7.719922428185442e-06,9.987268988266829e-06,8.514096130171321e-08
3.892584945027513e-01,3.815545910688447e-06,8.007865248860637e-06,1.036004918077412e-05,8.831446079779102e-08
3.965099871995048e-01,3.958234670227683e-06,8.306501513935240e-06,1.074668886091989e-05,9.160569265448473e-08
4.038965678829656e-01,4.106243984982920e-06,8.616225684299052e-06,1.114770016703586e-05,9.501899269713707e-08
4.114207531059201e-01,4.259771357771029e-06,8.937446618074179e-06,1.156361398128343e-05,9.855885459023976e-08
4.190851063019923e-01,4.419021571799126e-06,9.270588087172585e-06,1.199498060518634e-05,1.022299354763687e-07
4.268922386589860e-01,4.584206956091084e-06,9.616089311863954e-06,1.244237045889696e-05,1.060370618102850e-07
4.348448100084971e-01,4.755547660419866e-06,9.974405513950589e-06,1.290637480499349e-05,1.099852353945768e-07
4.429455297320983e-01,4.933271940076044e-06,1.034600848916387e-05,1.338760649763022e-05,1.140796396234088e-07
4.511971576844055e-01,5.117616450813829e-06,1.073138719941519e-05,1.388670075788791e-05,1.183256459411272e-07
4.596025051333391e-01,5.308826554327008e-06,1.113104838555284e-05,1.440431597619746e-05,1.227288205226675e-07
4.681644357179020e-01,5.507156634618877e-06,1.154551720129540e-05,1.494113454273611e-05,1.272949311829044e-07
4.768858664238005e-01,5.712870425642017e-06,1.197533786903184e-05,1.549786370672288e-05,1.320299545222861e-07
4.857697685772388e-01,5.926241350595986e-06,1.242107435819823e-05,1.607523646556729e-05,1.369400833162969e-07
4.948191688572283e-01,6.147552873283609e-06,1.288331108696138e-05,1.667401248485412e-05,1.420317341565025e-07
5.040371503267540e-01,6.377098861939416e-06,1.336265364796047e-05,1.729497905017541e-05,1.473115553511395e-07
5.134268534831512e-01,6.615183965957087e-06,1.385972955887873e-05,1.793895205185127e-05,1.527864350934267e-07
5.229914773280495e-01,6.862124005956399e-06,1.437518903863874e-05,1.860677700361043e-05,1.584635099059964e-07
5.327342804572485e-01,7.118246377644189e-06,1.490970581003686e-05,1.929933009633311e-05,1.643501733700554e-07
5.426585821708969e-01,7.383890469938320e-06,1.546397792965445e-05,2.001751928798975e-05,1.704540851481206e-07
5.527677636043544e-01,7.659408097838330e-06,1.603872864590620e-05,2.076228543094172e-05,1.767831803093904e-07
5.630652688801178e-01,7.945163950541729e-06,1.663470728610868e-05,2.153460343780205e-05,1.833456789670453e-07
5.735546062812078e-01,8.241536055320456e-06,1.725269017347559e-05,2.233548348708883e-05,1.901500962370023e-07
5.842393494464161e-01,8.548916257688066e-06,1.789348157496993e-05,2.316597226993646e-05,1.972052525278810e-07
5.951231385878160e-01,8.867710718404551e-06,1.855791468096666e-05,2.402715427916536e-05,2.045202841721682e-07
6.062096817309561e-01,9.198340427882580e-06,1.924685261770406e-05,2.492015314204533e-05,2.121046544088108e-07
6.175027559781573e-01,9.541241738576196e-06,1.996118949352603e-05,2.584613299812349e-05,2.199681647276962e-07
6.290062087953421e-01,9.896866915950642e-06,2.070185147994229e-05,2.680629992352354e-05,2.281209665867208e-07
6.407239593228383e-01,1.026568470865013e-05,2.146979792855803e-05,2.780190340315995e-05,2.365735735123815e-07
6.526599997106011e-01,1.064818093849888e-05,2.226602252494967e-05,2.883423785234741e-05,2.453368735950607e-07
6.648183964783076e-01,1.104485911098972e-05,2.309155448058803e-05,2.990464418932313e-05,2.544221423904138e-07
6.772032919007909e-01,1.145624104693386e-05,2.394745976393555e-05,3.101451146023790e-05,2.638410562384967e-07
6.898189054192810e-01,1.188286753596544e-05,2.483484237186912e-05,3.216527851820888e-05,2.736057060125048e-07
7.026695350789378e-01,1.232529901261453e-05,2.575484564260496e-05,3.335843575806644e-05,2.837286113092242e-07
7.157595589931625e-01,1.278411625568312e-05,2.670865361132723e-05,3.459552690846525e-05,2.942227350935137e-07
7.290934368351879e-01,1.325992111167954e-05,2.769749240974621e-05,3.587815088306861e-05,3.051014988093648e-07
7.426757113574564e-01,1.375333724308844e-05,2.872263171083699e-05,3.720796369255404e-05,3.163787979702899e-07
7.565110099393008e-01,1.426501090227553e-05,2.978538622003342e-05,3.858668041922637e-05,3.280690182420065e-07
7.706040461634588e-01,1.479561173184827e-05,3.088711721417594e-05,4.001607725606409e-05,3.401870520305745e-07
7.849596214219546e-01,1.534583359231689e-05,3.202923412953531e-05,4.149799361206201e-05,3.527483155893429e-07
7.995826265518978e-01,1.591639541792298e-05,3.321319620025675e-05,4.303433428577308e-05,3.657687666582335e-07
8.144780435017548e-01,1.650804210152670e-05,3.444051414859156e-05,4.462707170898859e-05,3.792649226490686e-07
8.296509470286612e-01,1.712154540946726e-05,3.571275192830379e-05,4.627824826253426e-05,3.932538793907915e-07
8.451065064273539e-01,1.775770492733594e-05,3.703152852266067e-05,4.798997866619637e-05,4.077533304485839e-07
8.608499872913106e-01,1.841734903762526e-05,3.839851979843417e-05,4.976445244482776e-05,4.227815870309957e-07
8.768867533066997e-01,1.910133593024306e-05,3.981546041735979e-05,5.160393647271911e-05,4.383575984993228e-07
8.932222680797460e-01,1.981055464690507e-05,4.157727595453631e-05,5.351077759835403e-05,4.545009734935367e-07
9.098620969981412e-01,2.054592616044568e-05,4.311620752533500e-05,5.548740535170074e-05,4.712320016891542e-07
9.268119091271305e-01,2.130840449011171e-05,4.471097524732154e-05,5.753633473622307e-05,4.885716761994588e-07
9.440774791409201e-01,2.209897785393030e-05,4.636357505314604e-05,5.966016910782385e-05,5.065417166375048e-07
9.616646892900655e-01,2.291866985926788e-05,4.807607224885187e-05,6.186160314296130e-05,5.251645928523127e-07
9.795795314055107e-01,2.376854073272369e-05,4.985060380326331e-05,6.414342589820548e-05,5.444635493536251e-07
9.978281089399594e-01,2.464968859052754e-05,5.168938070535906e-05,6.650852396352397e-05,5.644626304394907e-07
1.016416639047277e+00,2.556325075063759e-05,5.359469039115852e-05,6.895988471160792e-05,5.851867060408337e-07
1.035351454700627e+00,2.651040508776067e-05,5.556889924164716e-05,7.150059964556613e-05,6.066614982969892e-07
1.054639006850068e+00,2.749237143254387e-05,5.761445515326229e-05,7.413386784733102e-05,6.289136088759780e-07
1.074285866620345e+00,2.851041301621197e-05,5.973389018245246e-05,7.686299952912895e-05,6.519705470530314e-07
1.094298727549621e+00,2.956583796195167e-05,6.192982326581167e-05,7.969141969037647e-05,6.758607585605520e-07
1.114684407869917e+00,3.066000082436883e-05,6.420496301727241e-05,8.262267188236520e-05,7.006136552223294e-07
1.135449852830031e+00,3.179430417837051e-05,6.656211060382065e-05,8.566042208309592e-05,7.262596453843810e-07
1.156602137061733e+00,3.297020025884858e-05,6.900416270116903e-05,8.880846268461560e-05,7.528301651542908e-07
1.178148466990041e+00,3.418919265256548e-05,7.153411453079191e-05,9.207071659519688e-05,7.803577104603190e-07
1.200096183288392e+00,3.545283804366687e-05,7.415506297968791e-05,9.545124145867984e-05,8.088758699409020e-07
1.222452763379558e+00,3.676274801426884e-05,7.687020980419065e-05,9.895423399327062e-05,8.384193586744145e-07
1.245225823983147e+00,3.812059090158882e-05,7.968286491909509e-05,1.025840344520556e-04,8.690240527582018e-07
1.268423123710562e+00,3.952809371311104e-05,8.259644977330837e-05,1.063451312074489e-04,9.007270247449712e-07
1.292052565708303e+00,4.098704410129690e-05,8.561450081316455e-05,1.102421654617405e-04,9.335665799435452e-07
1.316122200350506e+00,4.249929239936886e-05,8.874067303446501e-05,1.142799360858493e-04,9.675822935898387e-07
1.340640227981652e+00,4.406675371971436e-05,9.197874362422094e-05,1.184634045883181e-04,1.002815048892599e-06
1.365615001710358e+00,4.569141011647063e-05,9.533261569297288e-05,1.227977002165027e-04,1.039307075957033e-06
1.391055030255219e+00,4.737531281386560e-05,9.880632209845800e-05,1.272881251918134e-04,1.077101991587842e-06
1.416968980843667e+00,4.912058450190159e-05,1.024040293612707e-04,1.319401600807620e-04,1.116244839971502e-06
1.443365682164828e+00,5.092942170097623e-05,1.061300416730281e-04,1.367594693034423e-04,1.156782134235647e-06
1.470254127377394e+00,5.280409719704456e-05,1.099888049974070e-04,1.417519067809399e-04,1.198761898881413e-06
1.497643477173519e+00,5.474696254892703e-05,1.139849112642506e-04,1.469235217230094e-04,1.242233713082275e-06
1.525543062899804e+00,5.676045066937093e-05,1.181231026567665e-04,1.522805645571907e-04,1.287248754840451e-06
1.553962389736415e+00,5.884707848146984e-05,1.224082759916391e-04,1.578294930003437e-04,1.333859845989229e-06
1.582911139935426e+00,6.100944965203879e-05,1.268454871916638e-04,1.635769782733695e-04,1.382121498026689e-06
1.612399176119490e+00,6.325025740353338e-05,1.314399558502747e-04,1.695299114596586e-04,1.432089958763004e-06
1.642436544641963e+00,6.557228740608602e-05,1.361970698870790e-04,1.756954100075460e-04,1.483823259760183e-06
1.673033479009616e+00,6.797842075121324e-05,1.411412470348690e-04,1.820808243767744e-04,1.537381264539228e-06
1.704200403369122e+00,7.047163700872331e-05,1.462724051111075e-04,1.886937448286586e-04,1.592825717525736e-06
1.735947936058478e+00,7.305501736832267e-05,1.515840242984774e-04,1.955420083593053e-04,1.650220293700517e-06
1.768286893224597e+00,7.573174786738454e-05,1.570822252172565e-04,2.026337057748763e-04,1.709630648917101e-06
1.801228292508287e+00,7.850512270629820e-05,1.627733216107827e-04,2.099771889074774e-04,1.771124470842878e-06
1.834783356797879e+00,8.137854765276871e-05,1.686638255147332e-04,2.175810779698219e-04,1.834771530475084e-06
1.868963518052781e+00,8.435554353637798e-05,1.747604525019202e-04,2.254542690463373e-04,1.900643734176929e-06
1.903780421198264e+00,8.743974983465151e-05,1.810701269986812e-04,2.336059417178682e-04,1.968815176172729e-06
1.939245928092793e+00,9.063492835180029e-05,1.875999876684067e-04,2.420455668165673e-04,2.039362191434051e-06
1.975372121569284e+00,9.394496699122117e-05,1.943573928571786e-04,2.507829143069580e-04,2.112363408881405e-06
2.012171309551626e+00,9.737388362274277e-05,2.013499260958669e-04,2.598280612884921e-04,2.187899804818118e-06
2.049656029247903e+00,1.009258300454985e-04,2.085854016523737e-04,2.691914001142169e-04,2.266054756504419e-06
2.087839051421728e+00,1.046050960471859e-04,2.160718701269866e-04,2.788836466193934e-04,2.346914095770588e-06
2.126733384743140e+00,1.084161135603407e-04,2.238176240830390e-04,2.889158484530787e-04,2.430566162558161e-06
2.166352280220571e+00,1.123634609161067e-04,2.318312037042409e-04,2.992993935047902e-04,2.517101858267606e-06
2.206709235715357e+00,1.164518671958191e-04,2.401214024691512e-04,3.100460184173996e-04,2.606614698779534e-06
2.247818000540359e+00,1.206862166805418e-04,2.486972728323077e-04,3.211678171763700e-04,2.699200867004348e-06
2.289692580144259e+00,1.250715533985024e-04,2.575681319005028e-04,3.326772497643281e-04,2.794959264802298e-06
2.332347240883100e+00,1.296130857701524e-04,2.667435670915841e-04,3.445871508687512e-04,2.893991564101777e-06
2.375796514880735e+00,1.343161913503478e-04,2.762334417619888e-04,3.569107386292717e-04,2.996402257029062e-06
2.420055204979811e+00,1.391864216668849e-04,2.860486147422884e-04,3.696616234096930e-04,3.102298704846456e-06
2.465138389784985e+00,1.442295071543483e-04,2.962086604997948e-04,3.828538165783269e-04,3.211791185478941e-06
2.511061428800094e+00,1.494513621819227e-04,3.067146438348256e-04,3.965017392786607e-04,3.324992939391061e-06
2.557839967661022e+00,1.548580901734876e-04,3.175775906200313e-04,4.106202311706359e-04,3.442020213556367e-06
