# Taken from http://adsabs.harvard.edu/doi/10.1086/191793, Fig. 15
# Columns are E (MeV), effective area (cm^2)
13.574848705645238,0.11389229271287331
18.818029328342885,0.1786054791616095
23.125135167089148,2.471598713262283
25.79844367769387,9.280913687858426
33.77887858175623,86.58490590999044
38.651921373777824,175.8202884836415
43.53229385612758,300.12656185874926
56.72802366578726,666.1257946006211
77.03459128711681,992.0983280388047
95.57122633033549,1099.589653333664
128.96181293909774,1289.1394882667996
188.07606849342423,1337.6000083678643
241.61438285048004,1281.7434431228785
315.35333223416245,1216.7139013430863
528.7633081008756,1012.3489145291567
712.3718384025005,904.0685602258982
885.1903241001276,838.369013416777
1200.1519848537055,717.728908910752
1345.2750690938033,678.2996869889755
1761.4195563771093,597.3102328768632
