# Taken from http://wwwgro.unh.edu/users/ckappada/thesis_stuff/thesis.html, Fig. II.3.
# Columns are E (MeV), effective area (cm^2)
0.8326364089649816,26.273127753303967
1.2802664135315682,43.03083700440529
1.8028121744481895,49.5330396475771
2.7392645316828332,52.33480176211455
4.491080384673839,52.281938325991206
6.131703621878803,50.43171806167402
7.945130681131987,48.211453744493404
12.187474138841251,43.82378854625552
16.639644120757456,39.066079295154196
20.805566004096264,34.14977973568282
25.04369208030037,26.590308370044056
29.78898548709439,20.45814977973569
