# Taken from arXiv:1711.01265, Tables 3 and 4, and rescaled using the
# point-source sensitivity from fig 1 in
# https://inspirehep.net/literature/1818998
# Columns are E (MeV), effective area after event selection (cm^2)
0.3,57.25013036691805
0.5,50.157875202075935
1.,34.4106306194502
2.,13.363908920709585
5.,12.209909681092135
10.,25.56428244209217
30.,88.71087032157094
50.,119.51005704250922
70.,178.59920092218232
100.,192.72155326928365
300.,270.9964379110683
500.,166.86750805087135
