# Columns: photon energy [MeV], effective area [cm^2]
0.15486615429297335,13.632351190355672
0.3176116610906366,1445.7486898839854
0.5154326718537899,2744.827658053552
1.0274171432970116,3221.963748116777
1.6646014924323973,3170.7360675537234
2.298118309441955,434.5612966133074
3.08170851541578,510.10151399289776
5.077489415757042,420.85251843627833
10.274335772572948,204.59964337729656
16.662930879743282,300.5787241267906
31.567185839770662,494.00972542913695
50.30079031153834,618.2772899747888
102.04074859181013,825.0367954056633
162.54501105180378,908.3153612075837
323.886024328952,922.9904676128784
498.33106044195,922.9904676128784
992.6136004591639,811.9191054774293
1553.3503989253397,725.7530390797994
3200.800633179984,510.10151399289776
5272.653832211286,388.4428627875577
