,photon_energies,1e15.0,1e15.05,1e15.1,1e15.15,1e15.2,1e15.25,1e15.3,1e15.35,1e15.4,1e15.45,1e15.5,1e15.55,1e15.6,1e15.65,1e15.7,1e15.75,1e15.8,1e15.85,1e15.9,1e15.95,1e16.0,1e16.05,1e16.1,1e16.15,1e16.2,1e16.25,1e16.3,1e16.35,1e16.4,1e16.45,1e16.5,1e16.55,1e16.6,1e16.65,1e16.7,1e16.75,1e16.8,1e16.85,1e16.9,1e16.95,1e17.0,1e17.05,1e17.1,1e17.15,1e17.2,1e17.25,1e17.3,1e17.35,1e17.4,1e17.45,1e17.5,1e17.55,1e17.6,1e17.65,1e17.7,1e17.75,1e17.8,1e17.85,1e17.9,1e17.95,1e18.0
562,0.00175264,1.18573e+17,1.61211e+17,2.1868e+17,3.08689e+17,4.4643e+17,6.23096e+17,8.55774e+17,1.21817e+18,1.69618e+18,2.36294e+18,3.30769e+18,4.60746e+18,6.38826e+18,8.90695e+18,1.23563e+19,1.7088e+19,2.3602e+19,3.25241e+19,4.46825e+19,6.12777e+19,8.37993e+19,1.14268e+20,1.55183e+20,2.10243e+20,2.83515e+20,3.80417e+20,5.07478e+20,6.7094e+20,8.73701e+20,1.10467e+21,1.31216e+21,1.37262e+21,1.1441e+21,7.11185e+20,3.39345e+20,1.37111e+20,5.4666e+19,2.24725e+19,6.96085e+18,1.61427e+18,3.58909e+17,5.96788e+16,7710450000000000.0,812907000000000.0,55711700000000.0,2974980000000.0,110264000000.0,2335800000.0,34034000.0,291550.0,1134.89,2.57948,0.00308669,1.41801e-06,3.34389e-10,2.21703e-14,4.69514e-19,2.93843e-24,4.19407e-30,1.12522e-36,5.20151e-44
563,0.00177828,1.23505e+17,1.67281e+17,2.2783e+17,3.23588e+17,4.66765e+17,6.48028e+17,8.94177e+17,1.27301e+18,1.76469e+18,2.47126e+18,3.44313e+18,4.80958e+18,6.66218e+18,9.2741e+18,1.28709e+19,1.78081e+19,2.4583e+19,3.38367e+19,4.64982e+19,6.3776e+19,8.71038e+19,1.18759e+20,1.61358e+20,2.18317e+20,2.94244e+20,3.94784e+20,5.25929e+20,6.94292e+20,9.01812e+20,1.13386e+21,1.33252e+21,1.36002e+21,1.0952e+21,6.54928e+20,3.05219e+20,1.22305e+20,4.85843e+19,1.98435e+19,5.92331e+18,1.31274e+18,2.94373e+17,4.7794e+16,5846370000000000.0,575371000000000.0,41717500000000.0,1937400000000.0,64868600000.0,1531910000.0,19161100.0,125936.0,634.131,1.16736,0.0012719,5.05773e-07,1.04771e-10,6.43444e-15,1.13545e-19,5.73767e-25,6.69077e-31,1.50771e-37,5.73234e-45
564,0.0018043,1.28531e+17,1.73764e+17,2.37475e+17,3.38903e+17,4.87868e+17,6.73989e+17,9.33234e+17,1.32987e+18,1.83771e+18,2.58116e+18,3.58509e+18,5.01915e+18,6.94224e+18,9.65362e+18,1.3404e+19,1.85428e+19,2.55852e+19,3.52276e+19,4.83871e+19,6.63294e+19,9.0656e+19,1.23452e+20,1.6764e+20,2.26772e+20,3.05444e+20,4.0936e+20,5.45071e+20,7.18445e+20,9.30332e+20,1.16267e+21,1.34776e+21,1.34534e+21,1.04355e+21,6.03297e+20,2.7275e+20,1.08263e+20,4.38465e+19,1.73972e+19,4.90582e+18,1.10017e+18,2.40738e+17,3.57354e+16,4581750000000000.0,419540000000000.0,27662500000000.0,1334020000000.0,42930400000.0,798574000.0,11032000.0,77967.2,240.08,0.530663,0.000511106,1.80782e-07,3.17488e-11,1.81266e-15,2.75885e-20,1.1411e-25,1.09515e-31,2.05352e-38,5.75989e-46
565,0.00183069,1.33686e+17,1.80341e+17,2.47878e+17,3.55297e+17,5.09288e+17,7.01003e+17,9.76142e+17,1.38771e+18,1.91389e+18,2.69704e+18,3.733e+18,5.23325e+18,7.2504e+18,1.00533e+19,1.39463e+19,1.93033e+19,2.66317e+19,3.66388e+19,5.0395e+19,6.90106e+19,9.42602e+19,1.2837e+20,1.74214e+20,2.35407e+20,3.17022e+20,4.24713e+20,5.64668e+20,7.43127e+20,9.592e+20,1.19097e+21,1.36228e+21,1.32169e+21,9.89735e+20,5.51012e+20,2.44687e+20,9.63377e+19,3.90395e+19,1.52028e+19,4.12098e+18,8.91584e+17,1.95508e+17,2.82698e+16,3416840000000000.0,299340000000000.0,20622900000000.0,848096000000.0,25928800000.0,530990000.0,5635410.0,35593.6,140.511,0.210507,0.000199815,6.472e-08,9.38701e-12,4.8933e-16,6.60691e-21,2.28547e-26,1.80722e-32,2.68602e-39,5.17649e-47
566,0.00185747,1.3896e+17,1.8744e+17,2.5868e+17,3.72305e+17,5.314e+17,7.29153e+17,1.02038e+18,1.44726e+18,1.99499e+18,2.81483e+18,3.89311e+18,5.45293e+18,7.56307e+18,1.04802e+19,1.45272e+19,2.00787e+19,2.77193e+19,3.81772e+19,5.2442e+19,7.17768e+19,9.80381e+19,1.33426e+20,1.80935e+20,2.44589e+20,3.29021e+20,4.40338e+20,5.85085e+20,7.68488e+20,9.88491e+20,1.21814e+21,1.37146e+21,1.2974e+21,9.33756e+20,5.0373e+20,2.17198e+20,8.55882e+19,3.52426e+19,1.31146e+19,3.40233e+18,7.5331e+17,1.56132e+17,2.12822e+16,2664430000000000.0,212553000000000.0,13480200000000.0,595766000000.0,16281200000.0,259491000.0,3343250.0,19358.7,49.867,0.102023,7.60025e-05,2.31023e-08,2.73976e-12,1.25933e-16,1.52301e-21,4.47508e-27,2.87897e-33,3.20462e-40,4.43251e-48
567,0.00188465,1.44373e+17,1.94694e+17,2.70522e+17,3.90146e+17,5.53836e+17,7.5911e+17,1.06775e+18,1.50769e+18,2.08146e+18,2.93612e+18,4.05768e+18,5.67744e+18,7.89465e+18,1.09229e+19,1.51277e+19,2.0926e+19,2.88605e+19,3.97552e+19,5.45611e+19,7.46735e+19,1.01872e+20,1.387e+20,1.88017e+20,2.53906e+20,3.4151e+20,4.56696e+20,6.05868e+20,7.94457e+20,1.01786e+21,1.24489e+21,1.37842e+21,1.263e+21,8.7712e+20,4.56934e+20,1.94608e+20,7.60768e+19,3.14354e+19,1.13436e+19,2.82372e+18,6.13014e+17,1.25453e+17,1.6581e+16,1923560000000000.0,154282000000000.0,9663520000000.0,368892000000.0,10232400000.0,176521000.0,1580920.0,9610.33,30.1705,0.037415,2.82029e-05,8.15868e-09,7.98295e-13,3.10601e-17,3.32055e-22,8.29092e-28,4.25152e-34,3.48794e-41,3.92788e-49
568,0.00191222,1.49952e+17,2.02526e+17,2.82624e+17,4.08737e+17,5.76971e+17,7.90095e+17,1.11702e+18,1.57039e+18,2.17209e+18,3.05963e+18,4.23897e+18,5.91072e+18,8.23213e+18,1.13999e+19,1.57695e+19,2.17856e+19,3.0079e+19,4.13903e+19,5.67178e+19,7.76977e+19,1.05988e+20,1.44098e+20,1.9535e+20,2.63764e+20,3.54345e+20,4.73442e+20,6.27586e+20,8.20981e+20,1.04763e+21,1.26923e+21,1.38033e+21,1.2281e+21,8.19951e+20,4.14587e+20,1.71728e+20,6.79264e+19,2.82035e+19,9.60851e+18,2.3328e+18,5.17875e+17,9.7452e+16,1.26525e+16,1488840000000000.0,107594000000000.0,6310850000000.0,259617000000.0,6172470000.0,92769500.0,976917.0,4723.96,10.1858,0.0161447,1.0262e-05,2.82346e-09,2.33883e-13,7.44889e-18,6.83011e-23,1.42956e-28,5.77724e-35,3.66322e-42,3.63657e-50
569,0.00194019,1.55674e+17,2.10636e+17,2.96057e+17,4.27924e+17,6.005e+17,8.23944e+17,1.1685e+18,1.63399e+18,2.27005e+18,3.18696e+18,4.42291e+18,6.15402e+18,8.57928e+18,1.18857e+19,1.64441e+19,2.27188e+19,3.13246e+19,4.30632e+19,5.90678e+19,8.08076e+19,1.10207e+20,1.49811e+20,2.02948e+20,2.7378e+20,3.67761e+20,4.90859e+20,6.49622e+20,8.48132e+20,1.07714e+21,1.29354e+21,1.37809e+21,1.1853e+21,7.62625e+20,3.7404e+20,1.53887e+20,6.03886e+19,2.50735e+19,8.24398e+18,1.91661e+18,4.2448e+17,7.78092e+16,9745470000000000.0,1047760000000000.0,79569100000000.0,4325300000000.0,151772000000.0,3973030000.0,58143700.0,442985.0,2480.89,6.07463,0.00689282,3.68567e-06,9.48834e-10,6.8921e-14,1.76999e-18,1.34566e-23,2.31999e-29,7.47584e-36,3.95668e-43,3.24107e-51
570,0.00196858,1.61648e+17,2.19341e+17,3.09686e+17,4.47892e+17,6.24897e+17,8.58464e+17,1.2221e+18,1.70113e+18,2.37077e+18,3.31723e+18,4.62206e+18,6.40805e+18,8.93284e+18,1.23935e+19,1.714e+19,2.36717e+19,3.26189e+19,4.48136e+19,6.14523e+19,8.40357e+19,1.14592e+20,1.55613e+20,2.10819e+20,2.8429e+20,3.81455e+20,5.08791e+20,6.72626e+20,8.75731e+20,1.10684e+21,1.31363e+21,1.37171e+21,1.14085e+21,7.07121e+20,3.3688e+20,1.35785e+20,5.4214e+19,2.22826e+19,6.85948e+18,1.59039e+18,3.54247e+17,5.88203e+16,7549680000000000.0,795749000000000.0,54700800000000.0,2868310000000.0,106985000000.0,2277730000.0,32129400.0,279587.0,1098.72,2.30337,0.00289616,1.31555e-06,3.07706e-10,2.02762e-14,4.23294e-19,2.60803e-24,3.66751e-30,9.71004e-37,4.43754e-44,2.55602e-52
571,0.00199738,1.6775e+17,2.28501e+17,3.24694e+17,4.6829e+17,6.49855e+17,8.96999e+17,1.27712e+18,1.76971e+18,2.4792e+18,3.45338e+18,4.8244e+18,6.68226e+18,9.30152e+18,1.29086e+19,1.78609e+19,2.46554e+19,3.39371e+19,4.66313e+19,6.39604e+19,8.73604e+19,1.19088e+20,1.61812e+20,2.18928e+20,2.9503e+20,3.95836e+20,5.27312e+20,6.96004e+20,9.03873e+20,1.13594e+21,1.33401e+21,1.3591e+21,1.09147e+21,6.51105e+20,3.02718e+20,1.2129e+20,4.8242e+19,1.96508e+19,5.84981e+18,1.29739e+18,2.89642e+17,4.6923e+16,5755020000000000.0,557961000000000.0,40691900000000.0,1893820000000.0,61541500000.0,1472990000.0,18573900.0,116713.0,597.429,1.12136,0.00119136,4.69272e-07,9.61581e-11,5.87509e-15,1.02444e-19,5.09867e-25,5.86055e-31,1.3042e-37,4.86885e-45,1.81206e-53
572,0.00202659,1.74239e+17,2.38226e+17,3.40026e+17,4.89414e+17,6.7594e+17,9.36097e+17,1.33403e+18,1.84321e+18,2.58933e+18,3.5955e+18,5.03462e+18,6.9645e+18,9.68144e+18,1.34432e+19,1.85978e+19,2.56587e+19,3.53295e+19,4.85321e+19,6.65165e+19,9.09164e+19,1.23808e+20,1.68101e+20,2.27392e+20,3.0628e+20,4.10428e+20,5.46474e+20,7.20228e+20,9.32417e+20,1.16478e+21,1.34881e+21,1.34363e+21,1.03976e+21,5.9952e+20,2.70723e+20,1.07234e+20,4.34993e+19,1.72387e+19,4.83125e+18,1.08459e+18,2.3747e+17,3.48516e+16,4489060000000000.0,410858000000000.0,27154000000000.0,1289800000000.0,41702300000.0,779245000.0,10436200.0,74906.3,232.887,0.483998,0.000477812,1.67765e-07,2.90767e-11,1.65056e-15,2.4884e-20,1.0152e-25,9.60801e-32,1.77496e-38,4.8507e-46,1.28149e-54
573,0.00205624,1.80823e+17,2.4864e+17,3.56525e+17,5.10885e+17,7.02983e+17,9.79337e+17,1.39201e+18,1.91948e+18,2.70555e+18,3.74457e+18,5.24894e+18,7.27299e+18,1.00841e+19,1.3986e+19,1.9359e+19,2.67103e+19,3.67422e+19,5.05421e+19,6.92104e+19,9.45321e+19,1.2873e+20,1.74699e+20,2.3607e+20,3.17871e+20,4.25842e+20,5.66143e+20,7.44936e+20,9.61316e+20,1.19293e+21,1.36334e+21,1.31995e+21,9.85691e+20,5.4718e+20,2.4263e+20,9.55612e+19,3.87238e+19,1.50419e+19,4.06907e+18,8.81595e+17,1.92193e+17,2.77651e+16,3362490000000000.0,290530000000000.0,20106900000000.0,829869000000.0,24682800000.0,511378000.0,5469830.0,32487.9,133.213,0.202671,0.00018642,6.00592e-08,8.58536e-12,4.44051e-16,5.94742e-21,2.0323e-26,1.58404e-32,2.30925e-39,4.33141e-47,9.65036e-56
