# energy,mu_vm,pi_pi0,pi_pi_pi,pi0_e_ve,pi0_mu_vm,pi_pi0_pi0
5.164802463651556e-02,1.682548404973770e-07,4.138189161424357e-08,2.221357235885055e-08,0.000000000000000e+00,5.736779397975359e-09,2.410747620597631e-09
5.261017518362659e-02,1.745754374566074e-07,4.293684523701648e-08,2.304852725190993e-08,0.000000000000000e+00,5.952369096610594e-09,2.501359838700905e-09
5.359024962389364e-02,1.811333431336323e-07,4.455020384683763e-08,2.391485861027921e-08,0.000000000000000e+00,6.176057965188823e-09,2.595377026288438e-09
5.458858186134753e-02,1.879374600371984e-07,4.622415983166386e-08,2.481374509229132e-08,0.000000000000000e+00,6.408150112843668e-09,2.692927084697115e-09
5.560551202031390e-02,1.949970242315297e-07,4.796098780033593e-08,2.574640960833809e-08,0.000000000000000e+00,6.648961058531024e-09,2.794142716876795e-09
5.664138656129118e-02,2.023216178100273e-07,4.976304766174813e-08,2.671412098090401e-08,0.000000000000000e+00,6.898818158603581e-09,2.899161607492808e-09
5.769655839898705e-02,2.099211818340755e-07,5.163278781908495e-08,2.771819566679412e-08,0.000000000000000e+00,7.158061050379275e-09,3.008126609774872e-09
5.877138702255383e-02,2.178060297542190e-07,5.357274848340926e-08,2.875999954388173e-08,0.000000000000000e+00,7.427042112300367e-09,3.121185939364650e-09
5.986623861806373e-02,2.259868613316160e-07,5.558556511104756e-08,2.984094976478820e-08,0.000000000000000e+00,7.706126941301894e-09,3.238493375423542e-09
6.098148619326578e-02,2.344747770783216e-07,5.767397196938114e-08,3.096251667999697e-08,0.000000000000000e+00,7.995694848031302e-09,3.360208469272102e-09
6.211750970466668e-02,2.432812932356513e-07,5.984080583582325e-08,3.212622583299760e-08,0.000000000000000e+00,8.296139370584758e-09,3.486496760842427e-09
6.327469618697920e-02,2.524183573105732e-07,6.208900983493872e-08,3.333366003015182e-08,0.000000000000000e+00,8.607868807450526e-09,3.617530003235602e-09
6.445343988498201e-02,2.618983641908191e-07,6.442163741884705e-08,3.458646148807431e-08,0.000000000000000e+00,8.931306770375186e-09,3.753486395686894e-09
6.565414238783589e-02,2.717341728601586e-07,6.684185649623901e-08,3.588633406142457e-08,0.000000000000000e+00,9.266892757895331e-09,3.894550825252852e-09
6.687721276590221e-02,2.819391237360766e-07,6.935295371553466e-08,3.723504555411468e-08,0.000000000000000e+00,9.615082750304518e-09,4.040915117546044e-09
6.812306771011009e-02,2.925270566529052e-07,7.195833890791501e-08,3.863443011704872e-08,0.000000000000000e+00,9.976349826854172e-09,4.192778296855389e-09
6.939213167391992e-02,3.035123295143120e-07,7.466154969617119e-08,4.008639073562687e-08,0.000000000000000e+00,1.035118480601662e-08,4.350346856002495e-09
7.068483701793145e-02,3.149098376399227e-07,7.746625627553483e-08,4.159290181036619e-08,0.000000000000000e+00,1.074009690966889e-08,4.513835036297583e-09
7.200162415718582e-02,3.267350338317645e-07,8.037626637288116e-08,4.315601183411610e-08,0.000000000000000e+00,1.114361445208816e-08,4.683465117971990e-09
7.334294171121170e-02,3.390039491871644e-07,8.339553039093234e-08,4.477784616947486e-08,0.000000000000000e+00,1.156228555468227e-08,4.859467721478353e-09
7.470924665686654e-02,3.517332146857029e-07,8.652814674433233e-08,4.646060993014844e-08,0.000000000000000e+00,1.199667888741346e-08,5.042082120064018e-09
7.610100448402522e-02,3.649400835788463e-07,8.977836739471983e-08,4.820659097013173e-08,0.000000000000000e+00,1.244738443790812e-08,5.231556564038409e-09
7.751868935416906e-02,3.786424546119240e-07,9.315060359218800e-08,5.001816298473673e-08,0.000000000000000e+00,1.291501430928321e-08,5.428148617170667e-09
7.896278426192883e-02,3.928588961091956e-07,9.664943183078982e-08,5.189778872764102e-08,0.000000000000000e+00,1.340020354775693e-08,5.632125505669977e-09
8.043378119963768e-02,4.076086709539007e-07,1.002796000260353e-07,5.384802334828698e-08,0.000000000000000e+00,1.390361100115170e-08,5.843764480218112e-09
8.193218132494906e-02,4.229117624963185e-07,1.040460339226147e-07,5.587151785412043e-08,0.000000000000000e+00,1.442592020943776e-08,6.063353191540757e-09
8.345849513157751e-02,4.387889014241008e-07,1.079538437408872e-07,5.797102270232701e-08,0.000000000000000e+00,1.496784032850870e-08,6.291190080022611e-09
8.501324262321996e-02,4.552615936303754e-07,1.120083310709896e-07,6.014939152589422e-08,0.000000000000000e+00,1.553010708842373e-08,6.527584779889728e-09
8.659695349071718e-02,4.723521491164204e-07,1.162149960237437e-07,6.240958499901070e-08,0.000000000000000e+00,1.611348378739741e-08,6.772858538502169e-09
8.821016729251541e-02,4.900837119670504e-07,1.205795446478800e-07,6.475467484699565e-08,0.000000000000000e+00,1.671876232286488e-08,7.027344651320139e-09
8.985343363848994e-02,5.084802914382477e-07,1.251078966234456e-07,6.718784800614827e-08,0.000000000000000e+00,1.734676426099940e-08,7.291388913127571e-09
9.152731237719304e-02,5.275667941980092e-07,1.298061932416230e-07,6.971241093910344e-08,0.000000000000000e+00,1.799834194610995e-08,7.565350086118972e-09
9.323237378659024e-02,5.473690577628809e-07,1.346808056815713e-07,7.233179411149060e-08,0.000000000000000e+00,1.867437965139937e-08,7.849600385477573e-09
9.496919876834969e-02,5.679138851741811e-07,1.397383435952778e-07,7.504955663590436e-08,0.000000000000000e+00,1.937579477261782e-08,8.144525983096333e-09
9.673837904575107e-02,5.892290809595311e-07,1.449856640118243e-07,7.786939108942138e-08,0.000000000000000e+00,2.010353906620323e-08,8.450527530117294e-09
9.854051736528126e-02,6.113434884269628e-07,1.504298805728816e-07,8.079512851112615e-08,0.000000000000000e+00,2.085859993355891e-08,8.768020698989944e-09
1.003762277019856e-01,6.342870283405847e-07,1.560783731116834e-07,8.383074358635038e-08,0.000000000000000e+00,2.164200175317891e-08,9.097436745775074e-09
1.022461354686444e-01,6.580907390285774e-07,1.619387975881785e-07,8.698036002457739e-08,0.000000000000000e+00,2.245480726239533e-08,9.439223093447645e-09
1.041508777288467e-01,6.827868179761178e-07,1.680190963935248e-07,9.024825613822117e-08,0.000000000000000e+00,2.329811899058658e-08,9.793843936979959e-09
1.060911034140331e-01,7.084086649577513e-07,1.743275090375720e-07,9.363887062975630e-08,0.000000000000000e+00,2.417308074575318e-08,1.016178087101531e-08
1.080674735445812e-01,7.349909267656957e-07,1.808725832334779e-07,9.715680859495187e-08,0.000000000000000e+00,2.508087915643819e-08,1.054353354097244e-08
1.100806614550113e-01,7.625695435926035e-07,1.876631863941210e-07,1.008068477502498e-07,0.000000000000000e+00,2.602274527104138e-08,1.093962031845198e-08
1.121313530233854e-01,7.911817971294434e-07,1.947085175555077e-07,1.045939448926239e-07,0.000000000000000e+00,2.699995621665226e-08,1.135057900184832e-08
1.142202469049817e-01,8.208663604413227e-07,2.020181197429292e-07,1.085232426005670e-07,0.000000000000000e+00,2.801383691960424e-08,1.177696754310386e-08
1.163480547703204e-01,8.516633496863742e-07,2.096018927961944e-07,1.126000761851700e-07,0.000000000000000e+00,2.906576189003368e-08,1.221936480157705e-08
1.185155015476250e-01,8.836143777451561e-07,2.174701066708679e-07,1.168299809005904e-07,0.000000000000000e+00,3.015715707281130e-08,1.267837132603147e-08
1.207233256698000e-01,9.167626098304523e-07,2.256334152330494e-07,1.212186994235494e-07,0.000000000000000e+00,3.128950176729908e-08,1.315461016579062e-08
1.229722793260089e-01,9.511528211498794e-07,2.341028705658813e-07,1.257721896118562e-07,0.000000000000000e+00,3.246433061847769e-08,1.364872771214129e-08
1.252631287179402e-01,9.868314566963140e-07,2.428899378066237e-07,1.304966325523205e-07,0.000000000000000e+00,3.368323568208072e-08,1.416139457110864e-08
1.275966543208457e-01,1.023846693243837e-06,2.520065105338278e-07,1.353984409088051e-07,0.000000000000000e+00,3.494786856646932e-08,1.469330646876735e-08
1.299736511494435e-01,1.062248503629698e-06,2.614649267248477e-07,1.404842675815600e-07,0.000000000000000e+00,3.625994265408131e-08,1.524518519029603e-08
1.323949290287729e-01,1.102088723405687e-06,2.712779853046642e-07,1.457610146893943e-07,0.000000000000000e+00,3.762123540539101e-08,1.581777955402699e-08
1.348613128700960e-01,1.143421119945270e-06,2.814589633077585e-07,1.512358428866665e-07,0.000000000000000e+00,3.903359074842490e-08,1.641186642178881e-08
1.373736429519388e-01,1.186301464095981e-06,2.920216336755616e-07,1.569161810275159e-07,0.000000000000000e+00,4.049892155698820e-08,1.702825174688777e-08
1.399327752063676e-01,1.230787604469709e-06,3.029802837128239e-07,1.628097361902161e-07,0.000000000000000e+00,4.201921222087362e-08,1.766777166112319e-08
1.425395815105991e-01,1.276939544466878e-06,3.143497342270905e-07,1.689245040750021e-07,0.000000000000000e+00,4.359652131144134e-08,1.833129360228302e-08
1.451949499840419e-01,1.324819522133902e-06,3.261453593763519e-07,1.752687797892213e-07,0.000000000000000e+00,4.523298434608468e-08,1.901971748361957e-08
1.478997852908725e-01,1.374492092956899e-06,3.383831072508392e-07,1.818511690341594e-07,0.000000000000000e+00,4.693081665522255e-08,1.973397690686015e-08
1.506550089482475e-01,1.426024215698219e-06,3.510795212158760e-07,1.886805997084264e-07,0.000000000000000e+00,4.869231635559267e-08,2.047504042036418e-08
1.534615596402577e-01,1.479485341386257e-06,3.642517620436720e-07,1.957663339433328e-07,0.000000000000000e+00,5.051986743375672e-08,2.124391282409835e-08
1.563203935377306e-01,1.534947505572829e-06,3.779176308629476e-07,2.031179805862520e-07,0.000000000000000e+00,5.241594294387192e-08,2.204163652316175e-08
1.592324846239907e-01,1.592485423976525e-06,3.920955929563223e-07,2.107455081485541e-07,0.000000000000000e+00,5.438310832392814e-08,2.286929293165729e-08
1.621988250266884e-01,1.652176591634620e-06,4.068048024364800e-07,2.186592582353044e-07,0.000000000000000e+00,5.642402483480566e-08,2.372800392877083e-08
1.652204253558104e-01,1.714101385690447e-06,4.220651278332361e-07,2.268699594745501e-07,0.000000000000000e+00,5.854145312666316e-08,2.461893336898817e-08
1.682983150479869e-01,1.778343171947664e-06,4.378971786247955e-07,2.353887419646718e-07,0.000000000000000e+00,6.073825693733169e-08,2.554328864845065e-08
1.714335427172132e-01,1.844988415327456e-06,4.543223327476760e-07,2.442271522589581e-07,0.000000000000000e+00,6.301740692755820e-08,2.650232232952315e-08
1.746271765121044e-01,1.914126794369505e-06,4.713627651210235e-07,2.533971689072545e-07,0.000000000000000e+00,6.538198465811794e-08,2.749733382572419e-08
1.778803044798057e-01,1.985851319922555e-06,4.890414772223103e-07,2.629112185752749e-07,0.000000000000000e+00,6.783518671399710e-08,2.852967114924668e-08
1.811940349366820e-01,2.060258458175496e-06,5.073823277527520e-07,2.727821927629092e-07,0.000000000000000e+00,7.038032898103362e-08,2.960073272337904e-08
1.845694968459130e-01,2.137448258185191e-06,5.264100644321339e-07,2.830234651436467e-07,0.000000000000000e+00,7.302085108060071e-08,3.071196926222079e-08
1.880078402021224e-01,2.217524484062765e-06,5.461503569641741e-07,2.936489095480384e-07,0.000000000000000e+00,7.576032096811688e-08,3.186488572017434e-08
1.915102364231726e-01,2.300594751985711e-06,5.666298312150009e-07,3.046729186149623e-07,0.000000000000000e+00,7.860243970137648e-08,3.306104331378485e-08
1.950778787492576e-01,2.386770672209044e-06,5.878761046488631e-07,3.161104231353232e-07,0.000000000000000e+00,8.155104638490973e-08,3.430206161859422e-08
1.987119826494319e-01,2.476167996254767e-06,6.099178230667477e-07,3.279769121137166e-07,0.000000000000000e+00,8.461012329680460e-08,3.558962074377206e-08
2.024137862357107e-01,2.568906769465129e-06,6.327846986952157e-07,3.402884535745153e-07,0.000000000000000e+00,8.778380120465586e-08,3.692546358738733e-08
2.061845506848860e-01,2.665111489111654e-06,6.565075496744408e-07,3.530617161398061e-07,0.000000000000000e+00,9.107636487754187e-08,3.831139817528821e-08
2.100255606682000e-01,2.764911268258564e-06,6.811183409961947e-07,3.663139914075993e-07,0.000000000000000e+00,9.449225880118261e-08,3.974930008666632e-08
2.139381247890229e-01,2.868440005586067e-06,7.066502269442956e-07,3.800632171597701e-07,0.000000000000000e+00,9.803609310368565e-08,4.124111496949239e-08
2.179235760286844e-01,2.975836561386164e-06,7.331375950919273e-07,3.943280014302609e-07,0.000000000000000e+00,1.017126496995506e-07,4.278886114912681e-08
2.219832722006102e-01,3.087244939950875e-06,7.606161119121342e-07,4.091276474651874e-07,0.000000000000000e+00,1.055268886598829e-07,4.439463233352794e-08
2.261185964129192e-01,3.202814478580452e-06,7.891227700598186e-07,4.244821796076339e-07,0.000000000000000e+00,1.094839548170438e-07,4.606060041860584e-08
2.303309575396379e-01,3.322700043446919e-06,8.186959373855938e-07,4.404123701411200e-07,0.000000000000000e+00,1.135891846122652e-07,4.778901839739667e-08
2.346217907006933e-01,3.447062232556335e-06,8.493754077440004e-07,4.569397671269507e-07,0.000000000000000e+00,1.178481131950548e-07,4.958222337686699e-08
2.389925577508476e-01,3.576067586061621e-06,8.812024536607859e-07,4.740867232719410e-07,0.000000000000000e+00,1.222664817835386e-07,5.144263970629423e-08
2.434447477777411e-01,3.709888804186207e-06,9.142198809262060e-07,4.918764258643181e-07,0.000000000000000e+00,1.268502452952060e-07,5.337278222131333e-08
2.479798776092130e-01,3.848704973027861e-06,9.484720851836886e-07,5.103329278169872e-07,0.000000000000000e+00,1.316055802578647e-07,5.537525960786576e-08
2.525994923300739e-01,3.992701798521020e-06,9.840051105856089e-07,5.294811798587595e-07,0.000000000000000e+00,1.365388930109588e-07,5.745277789044140e-08
2.573051658085038e-01,4.142071848845495e-06,1.020866710590436e-06,5.493470639155906e-07,0.000000000000000e+00,1.416568282077618e-07,5.960814404916175e-08
2.620985012322582e-01,4.297014805579204e-06,1.059106410978126e-06,5.699574277254327e-07,0.000000000000000e+00,1.469662776293322e-07,6.184426977041592e-08
2.669811316548611e-01,4.457737723902464e-06,1.098775575163279e-06,5.913401207318330e-07,0.000000000000000e+00,1.524743893214991e-07,6.416417533593203e-08
2.719547205519752e-01,4.624455302171993e-06,1.139927471888411e-06,6.135240313030784e-07,0.000000000000000e+00,1.581885770665489e-07,6.657099365534068e-08
2.770209623881347e-01,4.797390161193211e-06,1.182617345382483e-06,6.365391253253403e-07,0.000000000000000e+00,1.641165302016923e-07,6.906797444747024e-08
2.821815831940372e-01,4.976773133530613e-06,1.226902488072835e-06,6.604164862200353e-07,0.000000000000000e+00,1.702662237968148e-07,7.165848857580052e-08
2.874383411545894e-01,5.162843563207257e-06,1.272842315941713e-06,6.851883564374213e-07,0.000000000000000e+00,1.766459292044596e-07,7.434603254369723e-08
2.927930272079074e-01,5.355849616156132e-06,1.320498446621724e-06,7.108881804803054e-07,0.000000000000000e+00,1.832642249954395e-07,7.713423315525013e-08
2.982474656554760e-01,5.556048601798206e-06,1.369934780327815e-06,7.375506495136862e-07,0.000000000000000e+00,1.901300082939472e-07,8.002685234774678e-08
3.038035147836747e-01,5.763707306134425e-06,1.421217583726745e-06,7.652117476181507e-07,0.000000000000000e+00,1.972525065265231e-07,8.302779220202917e-08
3.094630674968815e-01,5.979102336751626e-06,1.474415576848466e-06,7.939087997469064e-07,0.000000000000000e+00,2.046412895997307e-07,8.614110013720333e-08
3.152280519623720e-01,6.202520480155577e-06,1.529600023147448e-06,8.236805214484953e-07,0.000000000000000e+00,2.123062825219229e-07,8.937097429640488e-08
3.211004322672309e-01,6.434259071857873e-06,1.586844822825636e-06,8.545670704194191e-07,0.000000000000000e+00,2.202577784850029e-07,9.272176913055827e-08
3.270822090875021e-01,6.674626379657355e-06,1.646226609532604e-06,8.866100999532406e-07,0.000000000000000e+00,2.285064524226496e-07,9.619800118731909e-08
3.331754203698039e-01,6.923942000571113e-06,1.707824850562335e-06,9.198528143550530e-07,0.000000000000000e+00,2.370633750620405e-07,9.980435511264188e-08
3.393821420256426e-01,7.182537271884903e-06,1.771721950670203e-06,9.543400263927118e-07,0.000000000000000e+00,2.459400274867006e-07,1.035456898726800e-07
3.457044886386594e-01,7.450755696807885e-06,1.838003359637852e-06,9.901182168587121e-07,0.000000000000000e+00,2.551483162287121e-07,1.074270452039980e-07
3.521446141850537e-01,7.728953385232465e-06,1.906757683718038e-06,1.027235596319275e-06,0.000000000000000e+00,2.647005889091525e-07,1.114536483003623e-07
3.587047127674264e-01,8.017499510115736e-06,1.978076801095939e-06,1.065742169129879e-06,0.000000000000000e+00,2.746096504462773e-07,1.156309207446620e-07
3.653870193622942e-01,8.316776780015894e-06,2.052055981508051e-06,1.105689799799297e-06,0.000000000000000e+00,2.848887798516348e-07,1.199644856948214e-07
3.721938105815298e-01,8.627181928333652e-06,2.128794010164507e-06,1.147132281787126e-06,0.000000000000000e+00,2.955517476349929e-07,1.244601753328733e-07
3.791274054479862e-01,8.949126219826242e-06,2.208393316125570e-06,1.190125408822760e-06,0.000000000000000e+00,3.066128338396752e-07,1.291240385866873e-07
3.861901661855704e-01,9.283035974979561e-06,2.290960105288060e-06,1.234727048836903e-06,0.000000000000000e+00,3.180868467306404e-07,1.339623491341808e-07
3.933844990240357e-01,9.629353112842174e-06,2.376604498142687e-06,1.280997220599906e-06,0.000000000000000e+00,3.299891421584004e-07,1.389816137001873e-07
4.007128550187657e-01,9.988535712943978e-06,2.465440672468617e-06,1.328998173164538e-06,0.000000000000000e+00,3.423356436226593e-07,1.441885806565104e-07
4.081777308858313e-01,1.036105859694146e-05,2.557587011137054e-06,1.378794468214253e-06,0.000000000000000e+00,3.551428630603652e-07,1.495902489360654e-07
4.157816698526021e-01,1.074741393065146e-05,2.653166255201378e-06,1.430453065421523e-06,0.000000000000000e+00,3.684279223837056e-07,1.551938772723863e-07
4.235272625242061e-01,1.114811184715567e-05,2.752305662457128e-06,1.484043410924520e-06,0.000000000000000e+00,3.822085757944364e-07,1.610069937761754e-07
4.314171477661288e-01,1.156368109167885e-05,2.855137171661220e-06,1.539637529034190e-06,0.000000000000000e+00,3.965032329018246e-07,1.670374058609761e-07
4.394540136032549e-01,1.199466968896521e-05,2.961797572605920e-06,1.597310117287686e-06,0.000000000000000e+00,4.113309826724062e-07,1.732932105304707e-07
4.476405981356587e-01,1.244164563389919e-05,3.072428682249464e-06,1.657138644968181e-06,0.000000000000000e+00,4.267116182406974e-07,1.797828050403404e-07
4.559796904714540e-01,1.290519760613934e-05,3.187177527111830e-06,1.719203455215265e-06,0.000000000000000e+00,4.426656626109813e-07,1.865148979480747e-07
4.644741316770223e-01,1.338593570955675e-05,3.306196532150823e-06,1.783587870854423e-06,0.000000000000000e+00,4.592143952812874e-07,1.934985205645766e-07
4.731268157449433e-01,1.388449223729311e-05,3.429643716340624e-06,1.850378304078599e-06,0.000000000000000e+00,4.763798798217224e-07,2.007430388218931e-07
4.819406905799560e-01,1.440152246327724e-05,3.557682895182069e-06,1.919664370119433e-06,0.000000000000000e+00,4.941849924403718e-07,2.082581655718930e-07
4.909187590032879e-01,1.493770546106342e-05,3.690483890381226e-06,1.991539005050490e-06,0.000000000000000e+00,5.126534515710927e-07,2.160539733312241e-07
5.000640797756943e-01,1.549374495088007e-05,3.828222746940396e-06,2.066098587869803e-06,0.000000000000000e+00,5.318098485186461e-07,2.241409074884093e-07
5.093797686395544e-01,1.607037017580220e-05,3.971081957913351e-06,2.143443067014010e-06,0.000000000000000e+00,5.516796791977775e-07,2.325297999894839e-07
5.188689993803818e-01,1.666833680798791e-05,4.119250697084632e-06,2.223676091461726e-06,0.000000000000000e+00,5.722893770040626e-07,2.412318835191405e-07
5.285350049081097e-01,1.728842788594499e-05,4.272925059840782e-06,2.306905146589086e-06,0.000000000000000e+00,5.936663468555505e-07,2.502588061949229e-07
5.383810783585185e-01,1.793145478382085e-05,4.432308312509841e-06,2.393241694946083e-06,0.000000000000000e+00,6.158390004455277e-07,2.596226467926116e-07
5.484105742151837e-01,1.859825821373689e-05,4.597611150453984e-06,2.482801322128012e-06,0.000000000000000e+00,6.388367927480004e-07,2.693359305215595e-07
5.586269094523219e-01,1.928970926221561e-05,4.769051965208917e-06,2.575703887922291e-06,0.000000000000000e+00,6.626902598188641e-07,2.794116453693695e-07
5.690335646989291e-01,2.000671046177786e-05,4.946857120972820e-06,2.672073682917124e-06,0.000000000000000e+00,6.874310579370864e-07,2.898632590359663e-07
5.796340854246053e-01,2.075019689881614e-05,5.131261240756720e-06,2.772039590764711e-06,0.000000000000000e+00,7.130920041316623e-07,3.007047364777886e-07
5.904320831474685e-01,2.152113735887893e-05,5.322507502517696e-06,2.875735256298294e-06,0.000000000000000e+00,7.397071181415396e-07,3.119505580835255e-07
6.014312366645733e-01,2.232053551053132e-05,5.520847945606133e-06,2.983299259709071e-06,0.000000000000000e+00,7.673116658572233e-07,3.236157385035403e-07
6.126352933052480e-01,2.314943112898620e-05,5.726543787867933e-06,3.094875296995884e-06,0.000000000000000e+00,7.959422042943016e-07,3.357158461558668e-07
6.240480702077827e-01,2.400890136073207e-05,5.939865753753046e-06,3.210612366907850e-06,0.000000000000000e+00,8.256366281507075e-07,3.482670234324267e-07
6.356734556198996e-01,2.490006203041258e-05,6.161094413791803e-06,3.330664964607377e-06,0.000000000000000e+00,8.564342180011496e-07,3.612860076299035e-07
6.475154102234496e-01,2.582406899124536e-05,6.390520535811335e-06,3.455193282288675e-06,0.000000000000000e+00,8.883756901838203e-07,3.747901526305213e-07
6.595779684837870e-01,2.678211952029777e-05,6.628445448275142e-06,3.584363416994718e-06,0.000000000000000e+00,9.215032484361625e-07,3.887974513588045e-07
