# energy,pi_pi_pi0,pi_pi,mu_mu
6.737726236478173e-01,6.192851819242339e-05,1.592910220796145e-06,9.710585845071732e-09
6.863243272808900e-01,6.423119993481385e-05,1.651768757329254e-06,1.006768216407638e-08
6.991098564784974e-01,6.661898572022870e-05,1.712781294168181e-06,1.043774760954039e-08
7.121335671748004e-01,6.909499114937866e-05,1.776025451983891e-06,1.082124372499493e-08
7.253998964506142e-01,7.166244416065145e-05,1.841581577903936e-06,1.121864792087558e-08
7.389133640450900e-01,7.432468897988900e-05,1.909532837082696e-06,1.163045398639638e-08
7.526785738955553e-01,7.708519020305679e-05,1.979965307091223e-06,1.205717261584496e-08
7.667002157060409e-01,7.994753701591284e-05,2.052968075197195e-06,1.249933194956586e-08
7.809830665450286e-01,8.291544755488690e-05,2.128633338606118e-06,1.295747812989410e-08
7.955319924729620e-01,8.599277341348550e-05,2.207056507735453e-06,1.343217587229394e-08
8.103519502000778e-01,8.918350429864397e-05,2.288336312593783e-06,1.392400905195029e-08
8.254479887751180e-01,9.249177284155267e-05,2.372574912337443e-06,1.443358130605045e-08
8.408252513055067e-01,9.592185956759366e-05,2.459878008077283e-06,1.496151665198421e-08
8.564889767095639e-01,9.947819803012662e-05,2.550354959008209e-06,1.550846012167695e-08
8.724445015013688e-01,1.031653801129773e-04,2.644118901934179e-06,1.607507841225821e-08
8.886972616088691e-01,1.069881615065836e-04,2.741286874260975e-06,1.666206055325127e-08
9.052527942258612e-01,1.109514673628643e-04,2.841979940528710e-06,1.727011859045291e-08
9.221167396984710e-01,1.150603981339834e-04,2.946323322555373e-06,1.789998828665267e-08
9.392948434467768e-01,1.193202356002867e-04,3.054446533261902e-06,1.855242983931934e-08
9.567929579222322e-01,1.237364490927955e-04,3.166483514248181e-06,1.922822861535860e-08
9.746170446015512e-01,1.283147019157430e-04,3.282572777188044e-06,1.992819590301899e-08
9.927731760177396e-01,1.330608579747451e-04,3.402857549109820e-06,2.065316968099451e-08
1.011267537828962e+00,1.379809886162933e-04,3.527485921626960e-06,2.140401540473940e-08
1.030106430925946e+00,1.430813796843577e-04,3.656611004181198e-06,2.218162680997612e-08
1.049296273578656e+00,1.483685387999828e-04,3.790391081358043e-06,2.298692673333795e-08
1.068843603622940e+00,1.538492028698480e-04,3.928989774331518e-06,2.382086795004616e-08
1.088755080687928e+00,1.595303458298547e-04,4.072576206491715e-06,2.468443402847510e-08
1.109037488464917e+00,1.654191866298816e-04,4.221325173304913e-06,2.557864020140817e-08
1.129697737018523e+00,1.715231974659307e-04,4.375417316451844e-06,2.650453425373291e-08
1.150742865140887e+00,1.778501122659555e-04,4.535039302284841e-06,2.746319742626446e-08
1.172180042749740e+00,1.844079354357292e-04,4.700384004639368e-06,2.845574533532088e-08
1.194016573331143e+00,1.912049508711695e-04,4.871650692029498e-06,2.948332890760492e-08
1.216259896427724e+00,1.982497312435845e-04,5.049045219250380e-06,3.054713532987036e-08
1.238917590173280e+00,2.055511475643465e-04,5.232780223403599e-06,3.164838901276880e-08
1.261997373874590e+00,2.131183790355310e-04,5.423075324353240e-06,3.278835256818467e-08
1.285507110641321e+00,2.209609231930762e-04,5.620157329611925e-06,3.396832779926945e-08
1.309454810064934e+00,2.290886063490304e-04,5.824260443646433e-06,3.518965670228397e-08
1.333848630947493e+00,2.375115943394429e-04,6.035626481582026e-06,3.645372247924451e-08
1.358696884081304e+00,2.462404035844373e-04,6.254505087273218e-06,3.776195056024983e-08
1.384008035080342e+00,2.552859124669726e-04,6.481153955696285e-06,3.911580963423600e-08
1.409790707264422e+00,2.646593730367357e-04,6.715839059605142e-06,4.051681268676689e-08
1.436053684597103e+00,2.743724230455443e-04,6.958834880377507e-06,4.196651804331867e-08
1.462805914678310e+00,2.844370983205430e-04,7.210424642962258e-06,4.346653041635597e-08
1.490056511792723e+00,2.948658454813557e-04,7.470900554821424e-06,4.501850195432398e-08
1.517814760014943e+00,3.056715350072256e-04,7.740564048741439e-06,4.662413329049643e-08
1.546090116372504e+00,3.168674746599983e-04,8.019726029367904e-06,4.828517458941941e-08
1.574892214067815e+00,3.284674232686146e-04,8.308707123295949e-06,5.000342658847822e-08
1.604230865760119e+00,3.404856048805495e-04,8.607837932524598e-06,5.178074163188621e-08
1.634116066908591e+00,3.529367232853786e-04,8.917459291057634e-06,5.361902469414823e-08
1.664557999177718e+00,3.658359769153487e-04,9.237922524405789e-06,5.552023438979077e-08
1.695567033906116e+00,3.791990741275045e-04,9.569589711715247e-06,5.748638396586862e-08
1.727153735639967e+00,3.930422488715370e-04,9.912833950214989e-06,5.951954227345818e-08
1.759328865732280e+00,4.073822767471038e-04,1.026803962164121e-05,6.162183471402543e-08
1.792103386009204e+00,4.222364914538931e-04,1.063560266025924e-05,6.379544415621396e-08
1.825488462504641e+00,4.376228016371828e-04,1.101593082206384e-05,6.604261181822957e-08
1.859495469264429e+00,4.535597081310688e-04,1.140944395469530e-05,6.836563811060662e-08
1.894135992221397e+00,4.700663216008840e-04,1.181657426756267e-05,7.076688343372146e-08
1.929421833142601e+00,4.871623805856351e-04,1.223776660161576e-05,7.324876892396956e-08
1.965365013650102e+00,5.048682699405000e-04,1.267347869815451e-05,7.581377714204718e-08
2.001977779316639e+00,5.232050396785764e-04,1.312418146600696e-05,7.846445269626454e-08
2.039272603837611e+00,5.421944242101440e-04,1.359035924634618e-05,8.120340279327640e-08
2.077262193280760e+00,5.618588619766746e-04,1.407251007435082e-05,8.403329770803249e-08
2.115959490415044e+00,5.822215154757286e-04,1.457114593684404e-05,8.695687116413313e-08
2.155377679120140e+00,6.033062916716421e-04,1.508679302497023e-05,8.997692061511169e-08
2.195530188878086e+00,6.251378627856113e-04,1.561999198088889e-05,9.309630741646454e-08
2.236430699348613e+00,6.477416874573417e-04,1.617129813737898e-05,9.631795687749768e-08
2.278093145029698e+00,6.711440322688751e-04,1.674128174915554e-05,9.964485818125882e-08
2.320531720004946e+00,6.953719936195299e-04,1.733052821460166e-05,1.030800641599731e-07
2.363760882779406e+00,7.204535199390619e-04,1.793963828651486e-05,1.066266909124937e-07
2.407795361205478e+00,7.464174342241914e-04,1.856922827035431e-05,1.102879172493114e-07
2.452650157500579e+00,7.732934568815017e-04,1.921993020835603e-05,1.140669839496407e-07
2.498340553358288e+00,8.011122288574292e-04,1.989239204775559e-05,1.179671928140037e-07
2.544882115154707e+00,8.299053350335738e-04,2.058727779122190e-05,1.219919054945687e-07
2.592290699251804e+00,8.597053278628938e-04,2.130526762745963e-05,1.261445420842624e-07
2.640582457399560e+00,8.905457512194681e-04,2.204705803978389e-05,1.304285794443520e-07
2.689773842238750e+00,9.224611644314096e-04,2.281336189030468e-05,1.348475492487963e-07
2.739881612906231e+00,9.554871664631822e-04,2.360490847718297e-05,1.394050357221662e-07
2.790922840744660e+00,9.896604202099947e-04,2.442244356223234e-05,1.441046730463554e-07
2.842914915118568e+00,1.025018676863081e-03,2.526672936594007e-05,1.489501424096097e-07
2.895875549338788e+00,1.061600800300572e-03,2.613854452676842e-05,1.539451686696130e-07
2.949822786697250e+00,1.099446791454192e-03,2.703868402136981e-05,1.590935166004612e-07
3.004775006614190e+00,1.138597812597284e-03,2.796795904210797e-05,1.643989866913285e-07
3.060750930899886e+00,1.179096211494559e-03,2.892719682801947e-05,1.698654104624811e-07
3.117769630133039e+00,1.220985545348486e-03,2.991724044507609e-05,1.754966452620001e-07
3.175850530157970e+00,1.264310604471395e-03,3.093894851131704e-05,1.812965685041511e-07
3.235013418702869e+00,1.309117435606102e-03,3.199319486210962e-05,1.872690713077540e-07
3.295278452121317e+00,1.355453364811126e-03,3.308086815046595e-05,1.934180514901643e-07
3.356666162259414e+00,1.403367019819431e-03,3.420287137699353e-05,1.997474058695667e-07
3.419197463450816e+00,1.452908351771886e-03,3.536012134368246e-05,2.062610218251892e-07
3.482893659642102e+00,1.504128656218499e-03,3.655354802533528e-05,2.129627680617622e-07
3.547776451650859e+00,1.557080593271638e-03,3.778409385202303e-05,2.198564845210629e-07
3.613867944558995e+00,1.611818206786119e-03,3.905271289550164e-05,2.269459713796831e-07
3.681190655243773e+00,1.668396942431010e-03,4.036036995204551e-05,2.342349770682343e-07
3.749767520049144e+00,1.726873664507303e-03,4.170803951364737e-05,2.417271852430288e-07
3.819621902599986e+00,1.787306671354213e-03,4.309670461899431e-05,2.494262006368626e-07
3.890777601761916e+00,1.849755709174644e-03,4.452735557505675e-05,2.573355337108153e-07
3.963258859749388e+00,1.914281984097399e-03,4.600098853951842e-05,2.654585840240194e-07
4.037090370384830e+00,1.980948172279843e-03,4.751860395362827e-05,2.737986222330486e-07
4.112297287511652e+00,2.049818427839921e-03,4.908120481436812e-05,2.823587706269825e-07
4.188905233563961e+00,2.120958388390693e-03,5.068979477410065e-05,2.911419820982442e-07
4.266940308295945e+00,2.194435177933769e-03,5.234537605508722e-05,3.001510174430104e-07
4.346429097673854e+00,2.270317406850062e-03,5.404894716544145e-05,3.093884208782918e-07
4.427398682933646e+00,2.348675168707302e-03,5.580150040221228e-05,3.188564936556916e-07
4.509876649807359e+00,2.429580033583328e-03,5.760401912636123e-05,3.285572656443165e-07
4.593891097921365e+00,2.513105037582647e-03,5.945747479341546e-05,3.384924647473446e-07
4.679470650369699e+00,2.599324668200646e-03,6.136282372253193e-05,3.486634840082805e-07
4.766644463465738e+00,2.688314845165326e-03,6.332100358560059e-05,3.590713462539616e-07
4.855442236675535e+00,2.780152896360382e-03,6.533292959683541e-05,3.697166661118671e-07
4.945894222736207e+00,2.874917528405597e-03,6.739949038205546e-05,3.805996092291962e-07
5.038031237962817e+00,2.972688791441031e-03,6.952154350553160e-05,3.917198485104889e-07
5.131884672747257e+00,3.073548037630001e-03,7.169991063086923e-05,4.030765171792306e-07
5.227486502252727e+00,3.177577872862460e-03,7.393537229090613e-05,4.146681584568794e-07
5.324869297307429e+00,3.284862101104753e-03,7.622866224002207e-05,4.264926716400050e-07
5.424066235501205e+00,3.395485660803961e-03,7.858046136057947e-05,4.385472543427503e-07
5.525111112488896e+00,3.509534552714839e-03,2.770247702245520e-04,4.508283406575103e-07
5.628038353504267e+00,3.627095758474579e-03,2.794953854916844e-04,4.633315349715636e-07
5.732883025088425e+00,3.748257149205240e-03,2.820261670770055e-04,4.760515411613118e-07
5.839680847036732e+00,3.873107383375395e-03,2.846175134292587e-04,4.889820868687255e-07
5.948468204568268e+00,4.001735793101255e-03,2.872697318486984e-04,5.021158425464870e-07
6.059282160722004e+00,4.134232258013006e-03,2.899830290168327e-04,5.154443349390586e-07
6.172160468983903e+00,4.270687065754232e-03,2.927575008259872e-04,5.289578546463290e-07
6.287141586149251e+00,4.432746783711852e-03,2.955931214627603e-04,5.426453573943287e-07
6.404264685424595e+00,4.757426487456632e-03,2.984897316965874e-04,5.564943586130610e-07
6.523569669773766e+00,5.249488096997350e-03,3.014470263215947e-04,5.704908208930632e-07
6.645097185512522e+00,5.402681595837513e-03,3.044645406966755e-04,5.846190338541935e-07
6.768888636156435e+00,6.067802035961213e-03,3.075416363251929e-04,5.988614858908834e-07
6.894986196526762e+00,6.229904363103774e-03,3.106774854116959e-04,6.131987270529414e-07
7.023432827119114e+00,7.057452429669727e-03,3.138710543276564e-04,6.276092212504519e-07
7.154272288739735e+00,8.034686845583266e-03,3.171210859062536e-04,6.420691737927397e-07
7.287549157414506e+00,8.210807528176278e-03,3.204260804055236e-04,6.542609338044817e-07
7.423308839575661e+00,9.326600289591189e-03,3.237755151050032e-04,6.542451805629330e-07
7.561597587531419e+00,9.512484004398957e-03,3.270697478956548e-04,6.542288388587248e-07
7.702462515223795e+00,1.074792647496366e-02,3.302794711216652e-04,6.542118867869326e-07
7.845951614279970e+00,1.094388424107293e-02,3.334025717063605e-04,6.541943016316629e-07
7.992113770362682e+00,1.227650643451143e-02,3.364368959148057e-04,6.541760598362837e-07
8.140998779825201e+00,1.248282191750451e-02,3.393802864731037e-04,6.541571369725763e-07
8.292657366676579e+00,1.389627195620094e-02,3.422305459346306e-04,6.541375077087720e-07
8.447141199862932e+00,1.411318527797863e-02,3.449854936050006e-04,6.541171457764310e-07
8.604502910870677e+00,1.559512938520831e-02,3.476429187988227e-04,6.540960239361277e-07
8.764796111657672e+00,1.582269076189826e-02,3.502006216244730e-04,6.540741139418939e-07
8.928075412918419e+00,1.735555741187745e-02,3.526563930385217e-04,6.540513865043814e-07
9.094396442689511e+00,1.759339748331418e-02,3.550080350767766e-04,6.540278112526979e-07
9.263815865301694e+00,1.915499983547417e-02,3.572533579150679e-04,6.540033566948648e-07
9.436391400684981e+00,1.940232725600967e-02,3.593901857370475e-04,6.539779901768571e-07
9.612181844033396e+00,2.096939695434320e-02,3.614163681005245e-04,6.539516778401700e-07
9.791247085836057e+00,2.122507918765940e-02,3.633297808960917e-04,6.539243845778582e-07
9.973648132281422e+00,2.148449676376252e-02,3.651283184412517e-04,6.538960739890025e-07
1.015944712604164e+01,2.304886264923151e-02,3.668099945216440e-04,6.538667083315429e-07
1.034870736744409e+01,2.331447624181171e-02,3.683727625659911e-04,6.538362484734228e-07
1.054149333603733e+01,2.358249229658819e-02,3.698146872651138e-04,6.538046538419849e-07
1.073787071255881e+01,2.511574263482156e-02,3.711339921369329e-04,6.537718823715630e-07
1.093790640131178e+01,2.538733211397980e-02,3.723288260404937e-04,6.537378904491977e-07
1.114166855295912e+01,2.686141120692732e-02,3.733975379144159e-04,6.537026328584202e-07
1.134922658774174e+01,2.713465896378218e-02,3.743385534222217e-04,6.536660627210354e-07
1.156065121912953e+01,2.740806504613874e-02,3.751504362780972e-04,6.536281314368305e-07
1.177601447791293e+01,2.880732320150161e-02,3.758318579470203e-04,6.535887886211452e-07
1.199538973674327e+01,2.907941003677197e-02,3.763816746580276e-04,6.535479820402233e-07
1.221885173513028e+01,2.934993104083203e-02,3.767988925694535e-04,6.535056575442763e-07
1.244647660490531e+01,2.961863479772868e-02,3.770827098338333e-04,6.534617589981762e-07
1.267834189615882e+01,3.091357077970725e-02,3.772325344515388e-04,6.534162282096974e-07
