# energy,pi_pi_eta,pi_rho
3.274242747092886e-01,1.034415248782080e-05,8.347571901828467e-09
3.335238583287218e-01,1.073097728835468e-05,8.659968147355064e-09
3.397370710318982e-01,1.113222525127849e-05,8.984025840411023e-09
3.460660296139100e-01,1.154843173463736e-05,9.320178601094801e-09
3.525128903036053e-01,1.198015182864619e-05,9.668876076313131e-09
3.590798494981978e-01,1.242796107494553e-05,1.003058452655711e-08
3.657691445115636e-01,1.289245621160864e-05,1.040578743383816e-08
3.725830543364771e-01,1.337425594479415e-05,1.079498613152780e-08
3.795239004210473e-01,1.387400174796831e-05,1.119870045687055e-08
3.865940474596167e-01,1.439235868965119e-05,1.161746942696490e-08
3.937959041983962e-01,1.493001629067228e-05,1.205185193903398e-08
4.011319242561061e-01,1.548768941195303e-05,1.250242749583495e-08
4.086046069599058e-01,1.606611917386700e-05,1.296979695708451e-08
4.162164981968963e-01,1.666607390826215e-05,1.345458331780680e-08
4.239701912814842e-01,1.728835014426475e-05,1.395743251454021e-08
4.318683278389053e-01,1.793377362902038e-05,1.447901426037055e-08
4.399135987052057e-01,1.860320038456411e-05,1.502002290978923e-08
4.481087448439904e-01,1.929751780205052e-05,1.558117835440895e-08
4.564565582802482e-01,2.001764577461214e-05,1.616322695060177e-08
4.649598830515747e-01,2.076453787015596e-05,1.676694248016029e-08
4.736216161771135e-01,2.153918254544807e-05,1.739312714511752e-08
4.824447086445501e-01,2.234260440287873e-05,1.804261259789814e-08
4.914321664154905e-01,2.317586549134362e-05,1.871626100801133e-08
5.005870514495704e-01,2.404006665272116e-05,1.941496616653427e-08
5.099124827476413e-01,2.493634891547124e-05,2.013965462967520e-08
5.194116374143914e-01,2.586589493692751e-05,2.089128690274585e-08
5.290877517407614e-01,2.682993049590293e-05,2.167085866591532e-08
5.389441223065237e-01,2.782972603727701e-05,2.247940204315998e-08
5.489841071034036e-01,2.886659827028365e-05,2.331798691586945e-08
5.592111266791214e-01,2.994191182226911e-05,2.418772228261311e-08
5.696286653027475e-01,3.105708094974266e-05,2.508975766661866e-08
5.802402721517668e-01,3.221357130859503e-05,2.602528457256244e-08
5.910495625212568e-01,3.341290178541553e-05,2.699553799431964e-08
6.020602190555921e-01,3.465664639189369e-05,2.800179797537336e-08
6.132759930030932e-01,3.594643622434841e-05,2.904539122363243e-08
6.247007054940487e-01,3.728396149048618e-05,3.012769278246129e-08
6.363382488425466e-01,3.867097360554846e-05,3.125012775977852e-08
6.481925878725561e-01,4.010928736006883e-05,3.241417311713613e-08
6.602677612687127e-01,4.160078316152223e-05,3.362135952074825e-08
6.725678829522692e-01,4.314740935221080e-05,3.487327325649544e-08
6.850971434826771e-01,4.475118460579388e-05,3.617155821098943e-08
6.978598114852792e-01,4.641420040493504e-05,3.751791792084408e-08
7.108602351055980e-01,4.813862360260338e-05,3.891411769235862e-08
7.241028434907165e-01,4.992669906963335e-05,4.036198679388296e-08
7.375921482982556e-01,5.178075243121417e-05,4.186342072319771e-08
7.513327452334618e-01,5.370319289504733e-05,4.342038355230697e-08
7.653293156149303e-01,5.569651617398006e-05,4.503491035210805e-08
7.795866279694943e-01,5.776330750599085e-05,4.670910969946921e-08
7.941095396568268e-01,5.990624477447352e-05,4.844516626931507e-08
8.089029985243071e-01,6.212810173183626e-05,5.024534351438872e-08
8.239720445927150e-01,6.443175132950182e-05,5.211198643542928e-08
8.393218117733279e-01,6.682016915746679e-05,5.404752444457570e-08
8.549575296170067e-01,6.929643699664778e-05,5.605447432487938e-08
8.708845250958641e-01,7.186374648731306e-05,5.813544328888065e-08
8.871082244181243e-01,7.452540291696871e-05,6.029313213927864e-08
9.036341548767916e-01,7.728482913113839e-05,6.253033853479780e-08
9.204679467327578e-01,8.014556957054501e-05,6.484996036442901e-08
9.376153351329899e-01,8.311129443827098e-05,6.725499923329876e-08
9.550821620644518e-01,8.618580400054189e-05,6.974856406349595e-08
9.728743783444256e-01,8.937303302484380e-05,7.233387481325957e-08
9.909980456479104e-01,9.267705535915025e-05,7.501426631800932e-08
1.009459338572789e+00,9.610208865609628e-05,7.779319225677396e-08
1.028264546743470e+00,9.965249924599974e-05,8.067422924764966e-08
1.047420076953713e+00,1.033328071626859e-04,8.366108107599344e-08
1.066932455349373e+00,1.071476913261290e-04,8.675758305913311e-08
1.086808329651817e+00,1.111019948859757e-04,8.996770655144651e-08
1.107054471422746e+00,1.152007307300637e-04,9.329556359373600e-08
1.127677778371218e+00,1.194490871620929e-04,9.674541171089373e-08
1.148685276703646e+00,1.238524337526481e-04,1.003216588619234e-07
1.170084123517575e+00,1.284163273678054e-04,1.040288685464496e-07
1.191881609240047e+00,1.331465183795824e-04,1.078717650719116e-07
1.214085160111403e+00,1.380489570625185e-04,1.118552389856976e-07
1.236702340715338e+00,1.431298001806839e-04,1.159843526765398e-07
1.259740856556106e+00,1.483954177694244e-04,1.202643461495362e-07
1.283208556683724e+00,1.538524001161519e-04,1.247006429792258e-07
1.307113436368085e+00,1.595075649444747e-04,1.292988564451826e-07
1.331463639822886e+00,1.653679648059494e-04,1.340647958546408e-07
1.356267462980303e+00,1.714408946836970e-04,1.390044730566936e-07
1.381533356317350e+00,1.777338998120913e-04,1.441241091526421e-07
1.407269927734896e+00,1.842547837166635e-04,1.494301414070906e-07
1.433485945490312e+00,1.910116164783030e-04,1.549292303643994e-07
1.460190341184748e+00,1.980127432257436e-04,1.606282671751134e-07
1.487392212806065e+00,2.052667928602245e-04,1.665343811369802e-07
1.515100827828454e+00,2.127826870160924e-04,1.726549474551592e-07
1.543325626369788e+00,2.205696492609711e-04,1.789975952261988e-07
1.572076224407807e+00,2.286372145389629e-04,1.855702156503212e-07
1.601362417056204e+00,2.369952388601580e-04,1.923809704765051e-07
1.631194181901754e+00,2.456539092395240e-04,1.994383006847937e-07
1.661581682403592e+00,2.546237538879994e-04,2.067509354101701e-07
1.692535271355841e+00,2.639156526583633e-04,2.143279011122541e-07
1.724065494414718e+00,2.735408477481404e-04,2.221785309949496e-07
1.756183093691372e+00,2.835109546614831e-04,2.303124746800433e-07
1.788899011411634e+00,2.938379734315936e-04,2.387397081385921e-07
1.822224393643953e+00,3.045343001048518e-04,2.474705438837635e-07
1.856170594096777e+00,3.156127384873611e-04,2.565156414285788e-07
1.890749177986682e+00,3.270865121541330e-04,2.658860180117828e-07
1.925971925978547e+00,3.389692767205915e-04,2.755930595947973e-07
1.961850838199143e+00,3.512751323754843e-04,2.856485321324215e-07
1.998398138325487e+00,3.640186366736421e-04,2.960645931196161e-07
2.035626277749354e+00,3.772148175863140e-04,3.068538034163395e-07
2.073547939819377e+00,3.908791868060485e-04,3.180291393520006e-07
2.112176044162164e+00,4.050277533022343e-04,3.296040051106501e-07
2.151523751083924e+00,4.196770371225199e-04,3.415922453975286e-07
2.191604466054080e+00,4.348440834343308e-04,3.540081583870591e-07
2.232431844272415e+00,4.505464767996325e-04,3.668665089517690e-07
2.274019795321296e+00,4.668023556749318e-04,3.801825421709818e-07
2.316382487904562e+00,4.836304271272426e-04,3.939719971174008e-07
2.359534354674701e+00,5.010499817553919e-04,4.082511209189365e-07
2.403490097149942e+00,5.190809088045697e-04,4.230366830922803e-07
2.448264690722951e+00,5.377437114604468e-04,4.383459901438103e-07
2.493873389762841e+00,5.570595223074738e-04,4.541969004324122e-07
2.540331732812219e+00,5.770501189341402e-04,4.706078392877179e-07
2.587655547881047e+00,5.977379396659885e-04,4.875978143760814e-07
2.635860957839135e+00,6.191460994050543e-04,5.051864313053582e-07
2.684964385909073e+00,6.412984055520983e-04,5.233939094581457e-07
2.734982561261506e+00,6.642193739855609e-04,5.422410980416899e-07
2.785932524714637e+00,6.879342450684984e-04,5.617494923410364e-07
2.837831634539904e+00,7.124689996519385e-04,5.819412501602751e-07
2.890697572375814e+00,7.378503750400517e-04,6.028392084348638e-07
2.944548349251944e+00,7.641058808792539e-04,6.244668999960070e-07
2.999402311725170e+00,7.912638149298782e-04,6.468485704658920e-07
3.055278148130191e+00,8.193532786752854e-04,6.700091952602633e-07
3.112194894946516e+00,8.484041927192846e-04,6.939744966723127e-07
3.170171943284041e+00,8.784473119184262e-04,7.187709610091621e-07
3.229229045489461e+00,9.095142401911410e-04,7.444258557493442e-07
3.289386321875746e+00,9.416374449407674e-04,7.709672466865649e-07
3.350664267576978e+00,9.748502710242703e-04,7.984240150217292e-07
3.413083759530893e+00,1.009186954192806e-03,8.268258743616214e-07
3.476666063591495e+00,1.044682633924312e-03,8.562033875788281e-07
3.541432841774177e+00,1.081373365561843e-03,8.865879834833912e-07
3.607406159635804e+00,1.119296131664576e-03,9.180119732522894e-07
3.674608493792285e+00,1.158488852471031e-03,9.505085665581638e-07
3.743062739576188e+00,1.198990395366291e-03,9.841118873336753e-07
3.812792218837006e+00,1.240840583236657e-03,1.018856989102521e-06
3.883820687886741e+00,1.284080201586284e-03,1.054779869802376e-06
3.956172345593499e+00,1.328751004280858e-03,1.091917486018918e-06
4.029871841625863e+00,1.374895717773310e-03,1.130307766543519e-06
4.104944284850852e+00,1.422558043655716e-03,1.169989625160178e-06
4.181415251888322e+00,1.471782659370140e-03,1.211002972559814e-06
4.259310795824738e+00,1.522615216898872e-03,1.253388727272042e-06
4.338657455089249e+00,1.575102339241519e-03,1.297188825496012e-06
4.419482262495148e+00,1.629291614472540e-03,1.342446229702873e-06
4.501812754449739e+00,1.685231587157995e-03,1.389204935872627e-06
4.585676980335793e+00,1.742971746894601e-03,1.437509979217896e-06
4.671103512067758e+00,1.802562513717395e-03,1.487407438236035e-06
4.758121453825993e+00,1.864055220104507e-03,1.538944436919308e-06
4.846760451972356e+00,1.927502089288595e-03,1.592169144940317e-06
4.937050705150487e+00,1.992956209564266e-03,1.647130775616526e-06
5.029022974574263e+00,2.060471504259426e-03,1.703879581443533e-06
5.122708594507916e+00,2.130102697015603e-03,1.762466846971575e-06
5.218139482941381e+00,2.201905271998054e-03,1.822944878783692e-06
5.315348152464515e+00,2.275935428630681e-03,1.885366992316763e-06
5.414367721343894e+00,2.352250030423283e-03,1.949787495248413e-06
5.515231924805961e+00,2.430906547429587e-03,2.016261667153351e-06
5.617975126530360e+00,2.511962991843452e-03,2.084845735112007e-06
5.722632330357391e+00,2.595477846207745e-03,2.155596844932363e-06
5.829239192213553e+00,2.681509983675377e-03,2.228573027622487e-06
5.937832032259250e+00,2.770118579724824e-03,2.303833160726357e-06
6.048447847262800e+00,2.861363014692958e-03,2.381436924109172e-06
6.161124323204961e+00,2.955302766446106e-03,2.461444749750164e-06
6.275899848118253e+00,3.051997292465645e-03,2.543917765071047e-06
6.392813525165484e+00,3.151505900577224e-03,2.628917729296480e-06
6.511905185961898e+00,3.253887607502415e-03,2.716506962309107e-06
6.633215404145512e+00,3.359200984358330e-03,2.806748265425881e-06
6.756785509200250e+00,3.467503988174076e-03,2.899704833484225e-06
6.882657600536588e+00,3.578853778432923e-03,2.995440157586104e-06
7.010874561834508e+00,3.693306517585206e-03,3.094017917805024e-06
7.141480075653652e+00,3.810917154409372e-03,3.195501865115273e-06
7.274518638315634e+00,3.931739189026748e-03,3.299955691754231e-06
7.410035575063613e+00,4.055824418299414e-03,3.407442889176972e-06
7.548077055504261e+00,4.183222660259691e-03,3.518026592707721e-06
7.688690109337400e+00,4.313981456134055e-03,3.631769411934598e-06
7.831922642378672e+00,4.448145748433224e-03,3.748733245832448e-06
7.977823452880691e+00,4.585757533483724e-03,3.868979081533064e-06
8.126442248158245e+00,4.726855486673865e-03,3.992566775592689e-06
8.277829661523201e+00,4.871474558578458e-03,4.119554816532906e-06
8.432037269534893e+00,5.019645540011577e-03,4.250000067352840e-06
8.589117609571902e+00,5.171394593934512e-03,4.383957486627589e-06
8.749124197731090e+00,5.326742752016602e-03,4.521479826719655e-06
8.912111547060183e+00,5.485705373509568e-03,4.662617307536882e-06
9.078135186129934e+00,5.648291563950227e-03,4.807417264171153e-06
9.247251677952303e+00,5.814503551052427e-03,4.955923766647021e-06
9.419518639251047e+00,5.984336014985409e-03,5.108177209898042e-06
9.594994760091307e+00,6.157775370062581e-03,5.264213871970205e-06
9.773739823874877e+00,6.334798994680934e-03,5.424065438326577e-06
9.955814727707955e+00,6.515374406156655e-03,5.587758489994277e-06
1.014128150314834e+01,6.699458376896198e-03,5.755313953153902e-06
1.033020333733912e+01,6.886995988123341e-03,5.926746507622115e-06
1.052264459453605e+01,7.077919617151154e-03,6.102063951519582e-06
1.071867083803598e+01,7.272147853942191e-03,6.281266519248529e-06
1.091834885251377e+01,7.469584342440155e-03,6.464346149726045e-06
1.112174666677534e+01,7.670116541880630e-03,6.651285701630608e-06
1.132893357693459e+01,7.873614402996460e-03,6.842058112219173e-06
1.153998017002201e+01,8.079928953724077e-03,7.036625496060242e-06
1.175495834803324e+01,8.288890788689258e-03,7.234938179803492e-06
1.197394135242546e+01,8.500308456403814e-03,7.436933668868652e-06
1.219700378907026e+01,8.713966737736945e-03,7.642535541683778e-06
1.242422165367126e+01,8.929624808835740e-03,7.851652266835858e-06
1.265567235765534e+01,9.147014281257531e-03,8.064175938213408e-06
1.289143475454606e+01,9.365837162454564e-03,8.279980922920517e-06
1.313158916682853e+01,9.585766009851397e-03,8.498922416423897e-06
1.337621741331462e+01,9.806449249277694e-03,8.720834899057669e-06
1.362540283701808e+01,1.002751916570923e-02,8.945530487653703e-06
1.387923033354883e+01,1.024859554075999e-02,9.172797175687444e-06
1.413778638003628e+01,1.046928813044381e-02,9.402396954928671e-06
1.440115906459145e+01,1.068919842433377e-02,9.634063811162652e-06
1.466943811631792e+01,1.090792112772825e-02,9.867501586097949e-06
1.494271493588185e+01,1.112504573134553e-02,1.010238169710142e-05
1.522108262665154e+01,1.134015914903591e-02,1.033834070589721e-05
1.550463602641702e+01,1.155284584593195e-02,1.057497772683286e-05
1.579347173970057e+01,1.176268849564429e-02,1.081185166475097e-05
1.608768817066920e+01,1.196927102330635e-02,1.104847827190613e-05
1.638738555666017e+01,1.217217953377501e-02,1.128432701273376e-05
1.669266600233113e+01,1.237100101191336e-02,1.151881772460645e-05
1.700363351444638e+01,1.256532916060592e-02,1.175131706200308e-05
1.732039403731125e+01,1.275476244536975e-02,1.198113471076457e-05
1.764305548886646e+01,1.293890451504997e-02,1.220751935831328e-05
1.797172779745503e+01,1.311737162815568e-02,1.242965440487120e-05
1.830652293927401e+01,1.328978435215192e-02,1.264665339981991e-05
1.864755497652389e+01,1.345578091472238e-02,1.285755518640252e-05
1.899494009626883e+01,1.361500655521332e-02,1.306131873697363e-05
1.934879665002065e+01,1.376712710372766e-02,1.325681765997009e-05
1.970924519406032e+01,1.391181958707447e-02,1.344283435886831e-05
2.007640853051063e+01,1.404878491231321e-02,1.361811092409912e-05
2.045041174917387e+01,1.417773788194453e-02,1.378201276218881e-05
2.083138227014907e+01,1.429842505736104e-02,1.393437191031143e-05
2.121944988724304e+01,1.441060498426207e-02,1.407503763345575e-05
2.161474681219010e+01,1.451407870782207e-02,1.420386969113026e-05
2.201740771969578e+01,1.460866128689320e-02,1.432073986253562e-05
2.242756979331930e+01,1.469421986089158e-02,1.442553284899718e-05
2.284537277221110e+01,1.477065792238265e-02,1.451814828598311e-05
2.327095899872087e+01,1.483783243550417e-02,1.459850224924381e-05
2.370447346689257e+01,1.489576204816058e-02,1.466652867395062e-05
2.414606387186276e+01,1.494436752643677e-02,1.472218160584644e-05
2.459588066017929e+01,1.498361441398720e-02,1.476543770367418e-05
2.505407708105727e+01,1.501350590114951e-02,1.479629762600599e-05
2.552080923858994e+01,1.503398246766906e-02,1.481478526600470e-05
2.599623614493216e+01,1.504516164700032e-02,1.482096051960324e-05
2.648051977447470e+01,1.504703341268676e-02,1.481490967719351e-05
2.697382511902764e+01,1.503957985856282e-02,1.479675533710334e-05
2.747632024403191e+01,1.502297050044632e-02,1.476665776601282e-05
2.798817634581790e+01,1.499720076360958e-02,1.472481835334990e-05
2.850956780993073e+01,1.496229497619011e-02,1.467148298825721e-05
2.904067227054219e+01,1.491849477692923e-02,1.460694586859440e-05
2.958167067096929e+01,1.486581759588715e-02,1.453155414616793e-05
3.013274732532033e+01,1.480427146842229e-02,1.444571098198087e-05
3.069408998128936e+01,1.473414286004047e-02,1.434986988869134e-05
3.126588988412036e+01,1.465542709712729e-02,1.424459510875472e-05
3.184834184176312e+01,1.456844357197121e-02,1.413045980037402e-05
3.244164429124280e+01,1.447326143325942e-02,1.400815244479933e-05
3.304599936626598e+01,1.436994421534274e-02,1.387843272447703e-05
3.366161296608610e+01,1.425881101519078e-02,1.374215902773919e-05
3.428869482565177e+01,1.413983754365457e-02,1.360027887097908e-05
3.492745858706190e+01,1.401337573377015e-02,1.345553837881127e-05
3.557812187235201e+01,1.387943058311870e-02,1.330504296067394e-05
3.624090635763636e+01,1.373827376760630e-02,1.315047111559216e-05
3.691603784863140e+01,1.359019109466453e-02,1.299175963919502e-05
3.760374635758607e+01,1.343517455233564e-02,1.282884811449244e-05
3.830426618164524e+01,1.327361146525883e-02,1.266167914271571e-05
3.901783598267303e+01,1.310549508896965e-02,1.249019987253894e-05
3.974469886856306e+01,1.293111159702579e-02,1.231435870725049e-05
4.048510247606357e+01,1.275077081096285e-02,1.213411235408805e-05
4.123929905514533e+01,1.256445839625467e-02,1.194942015642352e-05
4.200754555494138e+01,1.237258754717931e-02,1.176024784358358e-05
4.279010371128766e+01,1.217516764693987e-02,1.156656708764150e-05
4.358724013589440e+01,1.197250395448871e-02,1.136835680188150e-05
4.439922640717883e+01,1.176481874943864e-02,1.116560349188253e-05
4.522633916278983e+01,1.155246425635878e-02,1.095830200009974e-05
4.606886019385638e+01,1.133544850867022e-02,1.074645620557835e-05
4.692707654099160e+01,1.111411665438291e-02,1.053008083215463e-05
4.780128059208544e+01,1.088885011559441e-02,1.030920089775595e-05
4.869177018191898e+01,1.065969052422222e-02,1.008385353303673e-05
4.959884869363451e+01,1.042697117477838e-02,9.854090046151529e-06
5.052282516209596e+01,1.019093292542599e-02,9.619974847260603e-06
5.146401437917470e+01,9.951846912212108e-03,9.381588388673774e-06
5.242273700099680e+01,9.710129469234221e-03,9.139028502600633e-06
5.339931965718819e+01,9.465843391004545e-03,8.892410787948210e-06
5.439409506215490e+01,9.219387424731105e-03,8.641871020359362e-06
5.540740212843634e+01,8.971029447574726e-03,8.387566379558228e-06
5.643958608217046e+01,8.721031350098003e-03,8.129676887179684e-06
5.749099858070942e+01,8.469683204174433e-03,7.868409171777269e-06
5.856199783242680e+01,8.217305934437539e-03,7.603995699883625e-06
5.965294871875648e+01,7.964304339582003e-03,7.336697717737228e-06
6.076422291850505e+01,7.710821769224436e-03,7.066809175559608e-06
6.189619903447990e+01,7.457238803284279e-03,6.794657356422120e-06
6.304926272247646e+01,7.203862627746244e-03,6.520606168245995e-06
6.422380682266821e+01,6.951016523001221e-03,6.245058651504288e-06
6.542023149344440e+01,6.699003956669089e-03,5.968460262526570e-06
6.663894434774097e+01,6.448150726322209e-03,5.691301402410959e-06
6.788036059191131e+01,6.198795359368010e-03,5.414121375548134e-06
6.914490316718391e+01,5.951254073176023e-03,5.137511631139804e-06
7.043300289375524e+01,5.705857668367745e-03,4.862119491501536e-06
7.174509861756705e+01,5.462942546999435e-03,4.588652321634921e-06
7.308163735981786e+01,5.222825923709901e-03,4.317881706305713e-06
7.444307446925970e+01,4.985833598965564e-03,4.050648010867920e-06
7.582987377733208e+01,4.752285371648709e-03,3.787865410672522e-06
7.724250775618589e+01,4.522487107477259e-03,3.530526873010465e-06
7.868145767965107e+01,4.296744994428130e-03,3.279709680982723e-06
8.014721378720310e+01,4.075342504725439e-03,3.036581071770157e-06
8.164027545098379e+01,3.858561872172753e-03,2.802339613335270e-06
8.316115134593376e+01,3.646601266641021e-03,2.577532990376328e-06
8.471035962309415e+01,3.439832033683435e-03,2.362270760203396e-06
8.628842808613675e+01,3.238453631804401e-03,2.156644972373591e-06
8.789589437118281e+01,3.042713405032705e-03,1.960736048072957e-06
8.953330612997166e+01,2.852828017278701e-03,1.774610948133130e-06
9.120122121644152e+01,2.668994273444529e-03,1.598322840572062e-06
9.290020787678620e+01,2.491375366845296e-03,1.431908555774239e-06
9.463084494305230e+01,2.319990545769171e-03,1.275387423038455e-06
9.639372203034296e+01,2.155207376135804e-03,1.128759452813120e-06
9.818943973769534e+01,1.997053668257222e-03,9.920034732767996e-07
1.000186098527002e+02,1.845642399209936e-03,8.650751737882006e-07
1.018818555599334e+02,1.701045575624758e-03,7.479047871201548e-07
1.037798116532700e+02,1.563188274595173e-03,6.403951532183886e-07
1.057131247521543e+02,1.432341043354402e-03,5.424187876147163e-07
1.076824535218976e+02,1.308414768861611e-03,4.538155995856870e-07
1.096884688980811e+02,1.191278225437714e-03,3.743899139487788e-07
