# MN,Msqrd
0.01,7.2809652773956952862e-25
0.01023292992280754131,7.6241065842182516687e-25
0.010471285480508995335,7.9834196411498464811e-25
0.010715193052376064174,8.3596665991519150705e-25
0.010964781961431850131,8.7536455282405315948e-25
0.011220184543019634356,9.1661921102979923754e-25
0.011481536214968827515,9.5981814116640249945e-25
0.011748975549395295417,1.0050529739266508876e-24
0.012022644346174129058,1.0524196584228789871e-24
0.012302687708123815342,1.102018665707621906e-24
0.012589254117941672104,1.1539552018858838151e-24
0.012882495516931339628,1.208339431271058258e-24
0.01318256738556407102,1.2652867100578410255e-24
0.013489628825916536092,1.3249178310077840661e-24
0.013803842646028848378,1.3873592796664978928e-24
0.014125375446227543022,1.4527435026559697905e-24
0.014454397707459275119,1.5212091886110777085e-24
0.014791083881682074222,1.5929015623561993594e-24
0.015135612484362081625,1.6679726929458996338e-24
0.015488166189124813447,1.7465818162230865293e-24
0.015848931924611134852,1.828895672578818774e-24
0.016218100973589299728,1.9150888606301924893e-24
0.016595869074375606343,2.0053442075664979978e-24
0.016982436524617443546,2.0998531569491928231e-24
0.01737800828749375467,2.1988161747882580686e-24
0.017782794100389228012,2.3024431747562711888e-24
0.018197008586099834401,2.4109539634421209306e-24
0.018620871366628674487,2.5245787065887959927e-24
0.019054607179632471827,2.6435584173041879016e-24
0.019498445997580453236,2.7681454672804551141e-24
0.019952623149688796014,2.8986041221062982978e-24
0.020417379446695293314,3.0352111018075995945e-24
0.020892961308540394831,3.1782561678053898487e-24
0.021379620895022320975,3.3280427375361407478e-24
0.021877616239495525622,3.484888528038052435e-24
0.02238721138568339612,3.6491262298684458386e-24
0.022908676527677730457,3.8211042127817030318e-24
0.023442288153199221181,4.0011872646645648243e-24
0.023988329190194904653,4.1897573652961353666e-24
0.024547089156850303561,4.3872144965738084286e-24
0.025118864315095801111,4.5939774909236758324e-24
0.025703957827688638007,4.8104849196949693279e-24
0.026302679918953819173,5.0371960234228947432e-24
0.026915348039269157174,5.2745916859330213862e-24
0.027542287033381664486,5.52317545435337874e-24
0.028183829312644538191,5.7834746071977836923e-24
0.028840315031266059424,6.0560412727858813536e-24
0.029512092266663857079,6.3414536003721471787e-24
0.030199517204020161986,6.6403169864678940149e-24
0.030902954325135905196,6.9532653589573919382e-24
0.03162277660168379332,7.2809625217317895502e-24
0.032359365692962826268,7.6241035626928827285e-24
0.03311311214825910943,7.9834163281131828461e-24
0.033884415613920254705,8.3596629664794762068e-24
0.034673685045253163945,8.7536415450944383131e-24
0.035481338923357545843,9.1661877428651830965e-24
0.036307805477010134247,9.5981766228692156029e-24
0.037153522909717253862,1.0050524488457459471e-23
0.038018939632056119615,1.0524190826831206635e-23
0.038904514499428060109,1.1020180344215361699e-23
0.039810717055349725077,1.1539545096944620722e-23
0.04073802778041127305,1.2083386722982645616e-23
0.041686938347033540177,1.2652858778607302295e-23
0.0426579518801592658,1.3249169185218074701e-23
0.043651583224016596746,1.3873582791455320778e-23
0.044668359215096311856,1.4527424056065595487e-23
0.0457088189614875029,1.5212079857203348538e-23
0.046773514128719819358,1.5929002434127453503e-23
0.047863009232263834392,1.6679712467531808886e-23
0.048977881936844619591,1.7465802305043265661e-23
0.0501187233627272285,1.8288939338728003117e-23
0.051286138399136485555,1.9150869541769848032e-23
0.052480746024977259736,2.0053421171821594651e-23
0.05370317963702527309,2.0998508648883850087e-23
0.054954087385762455209,2.198813661593605078e-23
0.056234132519034908039,2.3024404190931854982e-23
0.057543993733715693006,2.4109509419176935283e-23
0.058884365535558896727,2.5245753935532133879e-23
0.060255958607435774697,2.6435547846329902267e-23
0.061659500186148216632,2.7681414841357869079e-23
0.063095734448019324943,2.8985997546751252244e-23
0.064565422903465551588,3.0352063130146688182e-23
0.066069344800759600651,3.1782509169984973823e-23
0.067608297539198177106,3.3280369801410340086e-23
0.069183097091893648753,3.4848822151800384729e-23
0.07079457843841379108,3.6491193079574930685e-23
0.072443596007499006355,3.8210966230575143982e-23
0.074131024130091751491,4.0011789426977605234e-23
0.075857757502918376875,4.1897482404413106682e-23
0.077624711662869173389,4.3872044913698236059e-23
0.079432823472428150207,4.5939665204360872657e-23
0.081283051616409924654,4.810472890795019683e-23
0.083176377110267100617,5.0371828339969415805e-23
0.085113803820237646782,5.2745772240156930471e-23
0.087096358995608063751,5.5231595971770988839e-23
0.089125093813374552995,5.7834572201505959122e-23
0.091201083935590974212,6.0560222082687268639e-23
0.093325430079699104353,6.3414326965458950269e-23
0.095499258602143594972,6.640294065879487388e-23
0.09772372209558106827,6.9532402270334479553e-23
0.1,7.2809349651268647535e-23
0.1023292992280754131,7.624073347478382751e-23
0.10471285480508995335,7.9833831977915419761e-23
0.10715193052376064174,8.3596266398067492939e-23
0.10964781961431850131,8.7536017136928210922e-23
0.11220184543019634356,9.1661440686051937232e-23
0.11481536214968827515,9.5981287349993148696e-23
0.11748975549395295417,1.0050471980456743204e-22
0.12022644346174129058,1.0524133252958452961e-22
0.12302687708123815342,1.1020117215725138257e-22
0.12589254117941672104,1.1539475877938330608e-22
0.12882495516931339628,1.2083310825859291889e-22
0.1318256738556407102,1.2652775559075352932e-22
0.13489628825916536092,1.3249077936826084128e-22
0.13803842646028848378,1.3873482739594878915e-22
0.14125375446227543022,1.4527314351395695887e-22
0.14454397707459275119,1.5211959568440355738e-22
0.14791083881682074222,1.5928870540139464397e-22
0.15135612484362081625,1.6679567848670298023e-22
0.15488166189124813447,1.7465643733638429857e-22
0.15848931924611134852,1.8288765468667121554e-22
0.16218100973589299728,1.9150678897070189952e-22
