# MN,Msqrd
0.01,3.9763857947338698903e-34
0.01023292992280754131,4.1634340369148243929e-34
0.010471285480508995335,4.3592635498443952195e-34
0.010715193052376064174,4.5642849007807053714e-34
0.010964781961431850131,4.7789276902874015413e-34
0.011220184543019634356,5.0036414188107791727e-34
0.011481536214968827515,5.2388963911707572983e-34
0.011748975549395295417,5.4851846604715953029e-34
0.012022644346174129058,5.7430210129823218883e-34
0.012302687708123815342,6.0129439955804387933e-34
0.012589254117941672104,6.2955169873953026894e-34
0.012882495516931339628,6.5913293173293773486e-34
0.01318256738556407102,6.9009974291759448941e-34
0.013489628825916536092,7.2251660960904868104e-34
0.013803842646028848378,7.564509686209361919e-34
0.014125375446227543022,7.9197334812431366796e-34
0.014454397707459275119,8.2915750499024219212e-34
0.014791083881682074222,8.6808056780407345448e-34
0.015135612484362081625,9.0882318574210575776e-34
0.015488166189124813447,9.5146968350296644366e-34
0.015848931924611134852,9.961082224871565427e-34
0.016218100973589299728,1.0428309684185694706e-33
0.016595869074375606343,1.0917342656013649656e-33
0.016982436524617443546,1.142918818004227427e-33
0.01737800828749375467,1.1964898773616372339e-33
0.017782794100389228012,1.2525574384781937336e-33
0.018197008586099834401,1.3112364419170937716e-33
0.018620871366628674487,1.3726469842474179097e-33
0.019054607179632471827,1.4369145360167180379e-33
0.019498445997580453236,1.5041701676053255801e-33
0.019952623149688796014,1.5745507831065782001e-33
0.020417379446695293314,1.6481993623625408164e-33
0.020892961308540394831,1.7252652112674943036e-33
0.021379620895022320975,1.8059042204311752252e-33
0.021877616239495525622,1.8902791322701347017e-33
0.02238721138568339612,1.9785598165682735024e-33
0.022908676527677730457,2.0709235545161971358e-33
0.023442288153199221181,2.1675553312030735255e-33
0.023988329190194904653,2.2686481364936787347e-33
0.024547089156850303561,2.3744032741767489711e-33
0.025118864315095801111,2.4850306792180355644e-33
0.025703957827688638007,2.60074924289194531e-33
0.026302679918953819173,2.7217871454986443755e-33
0.026915348039269157174,2.8483821962982491918e-33
0.027542287033381664486,2.9807821802093931292e-33
0.028183829312644538191,3.1192452107251399663e-33
0.028840315031266059424,3.2640400883939311128e-33
0.029512092266663857079,3.4154466640959343035e-33
0.030199517204020161986,3.5737562062146458624e-33
0.030902954325135905196,3.7392717706586265659e-33
0.03162277660168379332,3.9123085725274565868e-33
0.032359365692962826268,4.093194358037898828e-33
0.03311311214825910943,4.2822697751292623392e-33
0.033884415613920254705,4.4798887409493303489e-33
0.034673685045253163945,4.68641880418209655e-33
0.035481338923357545843,4.9022414999139305749e-33
0.036307805477010134247,5.127752694443509375e-33
0.037153522909717253862,5.3633629171205866244e-33
0.038018939632056119615,5.6094976759469420653e-33
0.038904514499428060109,5.8665977532869987565e-33
0.039810717055349725077,6.135119477612781542e-33
0.04073802778041127305,6.4155349667450943236e-33
0.041686938347033540177,6.708332337546809779e-33
