T (GeV)      ,gstar  ,heff   ,geff
1.          ,8.99818,74.2203,75.3246
1.05925     ,9.02837,74.8832,75.9577
1.12202     ,9.05732,75.5335,76.5805
1.1885      ,9.08465,76.1703,77.1915
1.25893     ,9.11007,76.7924,77.7887
1.33352     ,9.13336,77.3981,78.3697
1.41254     ,9.15442,77.9856,78.9322
1.49624     ,9.17323,78.5531,79.4738
1.58489     ,9.18985,79.0988,79.9925
1.67881     ,9.20436,79.6212,80.4865
1.77828     ,9.21692,80.1191,80.9545
1.88365     ,9.22769,80.5915,81.3956
1.99526     ,9.23685,81.0378,81.8092
2.11349     ,9.24459,81.4577,82.1954
2.23872     ,9.25109,81.8513,82.5543
2.37138     ,9.25653,82.2189,82.8867
2.51189     ,9.26102,82.5611,83.1933
2.81838     ,9.26791,83.1724,83.7336
3.16228     ,9.2726 ,83.6932,84.1855
3.54814     ,9.27591,84.133 ,84.5603
3.98107     ,9.27828,84.5016,84.8691
4.46684     ,9.28006,84.8091,85.1225
5.01187     ,9.28149,85.0646,85.33
5.62341     ,9.28283,85.2765,85.5002
6.30958     ,9.28446,85.4531,85.6411
7.07946     ,9.28708,85.6026,85.7609
7.94329     ,9.29181,85.7348,85.8698
8.91251     ,9.30021,85.862 ,85.9812
10.         ,9.31417,85.9999,86.1122
10.5925     ,9.32373,86.0786,86.1913
11.2202     ,9.33528,86.1673,86.2833
11.885      ,9.34891,86.2684,86.3907
12.5892     ,9.3647 ,86.3845,86.5163
13.3352     ,9.38268,86.518 ,86.6626
14.1254     ,9.40285,86.6712,86.8318
14.9624     ,9.42515,86.8461,87.0258
15.8489     ,9.44954,87.0444,87.2464
16.788      ,9.47597,87.2678,87.4949
17.7828     ,9.50437,87.5177,87.7727
18.8365     ,9.53471,87.7953,88.0806
19.9526     ,9.56693,88.1015,88.4194
21.1349     ,9.60096,88.4372,88.7899
22.3872     ,9.63672,88.8032,89.1925
23.7137     ,9.67406,89.1998,89.6273
25.1189     ,9.7128 ,89.6273,90.0944
26.6072     ,9.75271,90.0855,90.5931
28.1838     ,9.79348,90.5738,91.1226
29.8539     ,9.83475,91.0912,91.6813
31.6228     ,9.8761 ,91.6359,92.2669
33.4965     ,9.91712,92.2058,92.8769
35.4813     ,9.95736,92.7982,93.5077
37.5837     ,9.99639,93.4096,94.1554
39.8107     ,10.0338,94.0364,94.8155
42.1696     ,10.0693,94.6744,95.4832
44.6684     ,10.1025,95.3191,96.1536
47.3151     ,10.1333,95.966 ,96.8214
50.1187     ,10.1614,96.6104,97.4818
53.0884     ,10.1869,97.2481,98.13
56.2341     ,10.2098,97.8747,98.7617
59.5664     ,10.23  ,98.4864,99.373
63.0957     ,10.2477,99.0797,99.9605
66.8344     ,10.263 ,99.6518,100.522
70.7946     ,10.2762,100.2  ,101.054
74.9894     ,10.2874,100.723,101.557
79.4328     ,10.2968,101.218,102.028
84.1395     ,10.3047,101.686,102.468
89.1251     ,10.3112,102.125,102.877
94.4061     ,10.3165,102.535,103.255
100.        ,10.3208,102.918,103.603
105.925     ,10.3243,103.272,103.922
112.202     ,10.327 ,103.6  ,104.214
118.85      ,10.3292,103.902,104.48
125.892     ,10.3309,104.18 ,104.721
133.352     ,10.3322,104.435,104.94
141.254     ,10.3332,104.667,105.138
149.624     ,10.334 ,104.879,105.316
158.489     ,10.3346,105.072,105.477
167.88      ,10.335 ,105.248,105.621
177.828     ,10.3353,105.407,105.751
188.366     ,10.3355,105.551,105.867
199.526     ,10.3357,105.681,105.971
211.349     ,10.3358,105.799,106.064
223.873     ,10.3358,105.905,106.147
237.137     ,10.3359,106.   ,106.221
251.189     ,10.3359,106.086,106.287
266.072     ,10.3359,106.164,106.346
281.838     ,10.3359,106.233,106.399
298.538     ,10.3359,106.296,106.446
316.228     ,10.3359,106.352,106.488
334.966     ,10.3359,106.402,106.525
354.813     ,10.3359,106.447,106.558
375.839     ,10.3359,106.488,106.588
398.107     ,10.3359,106.524,106.614
421.697     ,10.3359,106.556,106.638
446.685     ,10.3359,106.585,106.659
473.152     ,10.3359,106.611,106.677
501.187     ,10.3358,106.635,106.694
530.884     ,10.3358,106.655,106.709
562.341     ,10.3358,106.674,106.722
595.662     ,10.3358,106.691,106.734
630.957     ,10.3358,106.705,106.744
